method,split,stress_level,rows,success,ci95_success,safety_violation,ci95_safety_violation,damage,ci95_damage,fault_f1,ci95_fault_f1,interaction_f1,ci95_interaction_f1,missed_fault,ci95_missed_fault,false_isolation,ci95_false_isolation,recovery_latency,ci95_recovery_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
bayesian_sensor_fusion_monitor,stress_00,0.00000,10,0.68854,0.01442,0.10451,0.00858,0.04792,0.00918,0.54236,0.01865,0.52986,0.01740,0.15313,0.01602,0.03333,0.00825,0.50753,0.00045,0.00200,0.00000,0.21967,0.00037,0.38402,0.02040
bayesian_sensor_fusion_monitor,stress_01,0.11111,10,0.67500,0.01339,0.11563,0.00963,0.06528,0.00687,0.53264,0.01807,0.51528,0.01227,0.16701,0.01451,0.04306,0.00754,0.53579,0.00040,0.00200,0.00000,0.23108,0.00048,0.33293,0.01952
bayesian_sensor_fusion_monitor,stress_02,0.22222,10,0.65243,0.01788,0.13819,0.00889,0.08299,0.00802,0.51979,0.01655,0.49896,0.01384,0.17187,0.01457,0.06007,0.01083,0.56377,0.00068,0.00214,0.00003,0.24146,0.00049,0.26116,0.02421
bayesian_sensor_fusion_monitor,stress_03,0.33333,10,0.62569,0.01663,0.15625,0.00930,0.09306,0.01106,0.52396,0.01805,0.47535,0.02040,0.18785,0.01482,0.07778,0.00690,0.59134,0.00068,0.00583,0.00008,0.25168,0.00069,0.19268,0.01990
bayesian_sensor_fusion_monitor,stress_04,0.44444,10,0.61736,0.01745,0.18056,0.01243,0.10139,0.01029,0.51319,0.01811,0.44861,0.01483,0.20035,0.01420,0.08889,0.00886,0.61890,0.00057,0.01415,0.00011,0.26117,0.00055,0.13958,0.02623
bayesian_sensor_fusion_monitor,stress_05,0.55556,10,0.60625,0.02561,0.19097,0.01074,0.10938,0.01070,0.49861,0.02057,0.43646,0.01522,0.21215,0.02033,0.09514,0.01031,0.64644,0.00058,0.02542,0.00011,0.27054,0.00051,0.10016,0.02838
bayesian_sensor_fusion_monitor,stress_06,0.66667,10,0.61007,0.01175,0.20590,0.01522,0.12187,0.01085,0.49444,0.01698,0.42222,0.01210,0.21215,0.01923,0.10312,0.00994,0.67312,0.00043,0.03779,0.00012,0.28067,0.00069,0.07028,0.01750
bayesian_sensor_fusion_monitor,stress_07,0.77778,10,0.59514,0.01243,0.22812,0.01508,0.12986,0.00844,0.47882,0.02141,0.40486,0.01268,0.22708,0.01546,0.12014,0.00754,0.69910,0.00033,0.05018,0.00013,0.29035,0.00075,0.01096,0.01407
bayesian_sensor_fusion_monitor,stress_08,0.88889,10,0.57569,0.01165,0.24410,0.01406,0.13681,0.00674,0.46042,0.01863,0.39236,0.01327,0.24653,0.01327,0.13403,0.01021,0.72415,0.00044,0.06266,0.00016,0.29990,0.00060,-0.04573,0.01648
bayesian_sensor_fusion_monitor,stress_09,1.00000,10,0.55590,0.01240,0.26736,0.01243,0.14826,0.00681,0.45417,0.01204,0.38299,0.01484,0.26667,0.01718,0.14549,0.01711,0.74906,0.00041,0.07509,0.00022,0.30872,0.00054,-0.11394,0.01551
causal_sensor_graph_monitor,stress_00,0.00000,10,0.69236,0.02325,0.09931,0.01304,0.05937,0.00821,0.53090,0.01027,0.61319,0.01362,0.13889,0.00941,0.03090,0.00749,0.46224,0.00065,0.00200,0.00000,0.20127,0.00047,0.39512,0.02606
causal_sensor_graph_monitor,stress_01,0.11111,10,0.68576,0.01758,0.11910,0.01079,0.06007,0.00902,0.52326,0.01743,0.59792,0.02315,0.15347,0.01008,0.04132,0.00684,0.48986,0.00048,0.00201,0.00000,0.21085,0.00044,0.35501,0.02073
causal_sensor_graph_monitor,stress_02,0.22222,10,0.66910,0.01005,0.13472,0.01147,0.06736,0.00643,0.51111,0.01603,0.58472,0.02567,0.16493,0.01231,0.04722,0.00862,0.51765,0.00040,0.00371,0.00007,0.21971,0.00057,0.30579,0.01252
causal_sensor_graph_monitor,stress_03,0.33333,10,0.66389,0.00723,0.14861,0.01200,0.08160,0.00667,0.50382,0.01027,0.57813,0.02188,0.17431,0.01322,0.05174,0.01061,0.54543,0.00034,0.01092,0.00014,0.22834,0.00053,0.26478,0.01452
causal_sensor_graph_monitor,stress_04,0.44444,10,0.65660,0.01249,0.16840,0.01655,0.09549,0.00675,0.49306,0.00902,0.55556,0.01922,0.18646,0.01772,0.06181,0.01147,0.57340,0.00035,0.02145,0.00015,0.23676,0.00033,0.21317,0.02221
causal_sensor_graph_monitor,stress_05,0.55556,10,0.64618,0.01305,0.17396,0.01644,0.11076,0.00960,0.49132,0.01461,0.56563,0.01810,0.20174,0.01913,0.07049,0.01020,0.60089,0.00033,0.03371,0.00011,0.24477,0.00042,0.17203,0.03139
causal_sensor_graph_monitor,stress_06,0.66667,10,0.63194,0.01161,0.19132,0.01776,0.12014,0.01079,0.47431,0.01502,0.54271,0.02042,0.21701,0.01798,0.08681,0.01161,0.62773,0.00033,0.04615,0.00014,0.25300,0.00054,0.11742,0.03148
causal_sensor_graph_monitor,stress_07,0.77778,10,0.61979,0.00594,0.22257,0.01994,0.12639,0.01153,0.46562,0.01699,0.50972,0.01760,0.22569,0.01174,0.10521,0.00753,0.65305,0.00036,0.05858,0.00013,0.26172,0.00065,0.05420,0.02835
causal_sensor_graph_monitor,stress_08,0.88889,10,0.59340,0.01293,0.24063,0.01617,0.12639,0.01369,0.45382,0.01410,0.50417,0.01697,0.23125,0.01621,0.11319,0.01026,0.67819,0.00041,0.07110,0.00014,0.26992,0.00064,-0.00042,0.01845
causal_sensor_graph_monitor,stress_09,1.00000,10,0.58646,0.01738,0.26215,0.01546,0.14167,0.01438,0.44931,0.01395,0.49479,0.01671,0.23056,0.01595,0.11979,0.00682,0.70369,0.00046,0.08353,0.00013,0.27740,0.00038,-0.04972,0.02459
conformal_sensor_reliability_filter,stress_00,0.00000,10,0.63993,0.01829,0.08264,0.00906,0.04514,0.00696,0.46076,0.02123,0.41181,0.01499,0.17292,0.01133,0.00590,0.00380,0.59210,0.00070,0.00200,0.00000,0.25944,0.00026,0.34258,0.01933
conformal_sensor_reliability_filter,stress_01,0.11111,10,0.63160,0.02292,0.09826,0.00957,0.05347,0.00558,0.44514,0.02128,0.39201,0.01764,0.19653,0.01798,0.01250,0.00499,0.61995,0.00065,0.00200,0.00000,0.27327,0.00054,0.29713,0.02624
conformal_sensor_reliability_filter,stress_02,0.22222,10,0.61354,0.01930,0.11424,0.00975,0.06285,0.00653,0.42882,0.01968,0.37674,0.02167,0.22604,0.01776,0.02639,0.00690,0.64760,0.00051,0.00200,0.00000,0.28641,0.00059,0.23725,0.02474
conformal_sensor_reliability_filter,stress_03,0.33333,10,0.59306,0.01398,0.13646,0.01010,0.07986,0.00884,0.42361,0.02111,0.35660,0.02183,0.23646,0.01756,0.03646,0.00819,0.67529,0.00042,0.00200,0.00000,0.29946,0.00066,0.16857,0.02091
conformal_sensor_reliability_filter,stress_04,0.44444,10,0.57951,0.01726,0.15417,0.01010,0.09271,0.00666,0.43125,0.02641,0.34236,0.01292,0.25347,0.01588,0.04653,0.00747,0.70302,0.00055,0.00205,0.00001,0.31216,0.00050,0.11313,0.02533
conformal_sensor_reliability_filter,stress_05,0.55556,10,0.55521,0.01761,0.17118,0.01271,0.09896,0.00726,0.41562,0.02944,0.31597,0.01263,0.25451,0.02197,0.05174,0.00960,0.73047,0.00043,0.00462,0.00008,0.32434,0.00043,0.05891,0.02438
conformal_sensor_reliability_filter,stress_06,0.66667,10,0.53646,0.01499,0.19167,0.01459,0.10729,0.01313,0.40937,0.02217,0.30625,0.01318,0.25590,0.01798,0.06215,0.00965,0.75690,0.00043,0.01185,0.00011,0.33677,0.00020,0.00329,0.02176
conformal_sensor_reliability_filter,stress_07,0.77778,10,0.51840,0.01495,0.21563,0.01293,0.11667,0.01276,0.38924,0.02200,0.29653,0.01683,0.27361,0.02079,0.07222,0.00581,0.78231,0.00035,0.02155,0.00012,0.34895,0.00052,-0.06106,0.01832
conformal_sensor_reliability_filter,stress_08,0.88889,10,0.50174,0.01633,0.22500,0.01676,0.11910,0.01213,0.37708,0.01944,0.28160,0.01451,0.28611,0.01740,0.08576,0.00963,0.80767,0.00037,0.03355,0.00016,0.36086,0.00041,-0.10199,0.01867
conformal_sensor_reliability_filter,stress_09,1.00000,10,0.48750,0.02485,0.24688,0.01744,0.13368,0.01060,0.37500,0.01704,0.26007,0.00899,0.30382,0.01824,0.09687,0.00782,0.83317,0.00043,0.04585,0.00011,0.37223,0.00050,-0.16499,0.02130
multimodal_mixture_of_experts_router,stress_00,0.00000,10,0.69340,0.02009,0.08681,0.01508,0.05312,0.00925,0.54583,0.00967,0.56632,0.01007,0.15035,0.01130,0.03507,0.00769,0.46271,0.00057,0.00200,0.00000,0.19789,0.00037,0.40927,0.02864
multimodal_mixture_of_experts_router,stress_01,0.11111,10,0.68333,0.01998,0.10938,0.01539,0.06563,0.01001,0.54306,0.00990,0.55278,0.01077,0.16875,0.01184,0.04757,0.00941,0.49027,0.00057,0.00282,0.00006,0.20839,0.00043,0.35131,0.02986
multimodal_mixture_of_experts_router,stress_02,0.22222,10,0.67049,0.01902,0.13056,0.01358,0.08368,0.00762,0.52639,0.01388,0.52882,0.01555,0.17049,0.01198,0.05833,0.01063,0.51773,0.00053,0.00902,0.00008,0.21839,0.00039,0.29258,0.02101
multimodal_mixture_of_experts_router,stress_03,0.33333,10,0.67188,0.00985,0.14444,0.01339,0.09410,0.01017,0.52951,0.01343,0.51979,0.01315,0.17465,0.01512,0.07187,0.01299,0.54557,0.00050,0.01910,0.00012,0.22762,0.00071,0.26049,0.01658
multimodal_mixture_of_experts_router,stress_04,0.44444,10,0.65139,0.01994,0.16181,0.01516,0.10729,0.01081,0.51250,0.00909,0.50174,0.01453,0.18646,0.01431,0.08090,0.01170,0.57380,0.00061,0.03144,0.00017,0.23665,0.00059,0.19906,0.02910
multimodal_mixture_of_experts_router,stress_05,0.55556,10,0.64618,0.01934,0.18194,0.01627,0.11319,0.00964,0.50590,0.01676,0.48299,0.01537,0.19062,0.01355,0.09271,0.01442,0.60129,0.00066,0.04387,0.00018,0.24556,0.00055,0.15763,0.03409
multimodal_mixture_of_experts_router,stress_06,0.66667,10,0.64444,0.02121,0.19410,0.01081,0.11979,0.01288,0.50382,0.02020,0.46528,0.01815,0.19340,0.01373,0.10174,0.01376,0.62744,0.00069,0.05623,0.00023,0.25461,0.00047,0.12905,0.02870
multimodal_mixture_of_experts_router,stress_07,0.77778,10,0.63507,0.02144,0.22083,0.00850,0.12708,0.01084,0.49097,0.01464,0.46493,0.01560,0.20729,0.01373,0.10903,0.01373,0.65301,0.00069,0.06873,0.00024,0.26362,0.00042,0.07368,0.02604
multimodal_mixture_of_experts_router,stress_08,0.88889,10,0.61215,0.01743,0.23056,0.01108,0.13090,0.01226,0.48750,0.01453,0.44306,0.02188,0.21806,0.01679,0.12674,0.01193,0.67831,0.00077,0.08118,0.00024,0.27268,0.00056,0.02448,0.02595
multimodal_mixture_of_experts_router,stress_09,1.00000,10,0.59132,0.01633,0.24618,0.01332,0.13750,0.00942,0.48854,0.02204,0.41771,0.02371,0.23854,0.01728,0.13125,0.01106,0.70353,0.00052,0.09359,0.00019,0.28062,0.00078,-0.03102,0.03041
