method,split,stress_level,rows,success,ci95_success,safety_violation,ci95_safety_violation,damage,ci95_damage,fault_f1,ci95_fault_f1,interaction_f1,ci95_interaction_f1,missed_fault,ci95_missed_fault,false_isolation,ci95_false_isolation,recovery_latency,ci95_recovery_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
oracle_failure_aware_policy,stress_00,0.00000,10,0.90660,0.01042,0.01979,0.00476,0.00625,0.00222,0.72708,0.00958,0.87674,0.01046,0.00278,0.00170,0.00243,0.00204,0.19953,0.00037,0.00200,0.00000,0.00000,0.00000,0.83462,0.01031
oracle_failure_aware_policy,stress_01,0.11111,10,0.90208,0.00983,0.03472,0.00681,0.01146,0.00228,0.72326,0.01010,0.85104,0.01061,0.00521,0.00209,0.00174,0.00113,0.22575,0.00039,0.00200,0.00000,0.00000,0.00000,0.80469,0.01510
oracle_failure_aware_policy,stress_02,0.22222,10,0.89965,0.00612,0.04965,0.00666,0.01181,0.00340,0.71840,0.00960,0.83819,0.01566,0.00937,0.00366,0.00139,0.00111,0.25191,0.00079,0.00200,0.00000,0.00000,0.00000,0.78024,0.00828
oracle_failure_aware_policy,stress_03,0.33333,10,0.89583,0.01035,0.06597,0.00861,0.01493,0.00352,0.71597,0.01679,0.82396,0.01562,0.01493,0.00269,0.00139,0.00111,0.27856,0.00055,0.00200,0.00000,0.00000,0.00000,0.75003,0.01284
oracle_failure_aware_policy,stress_04,0.44444,10,0.88715,0.01180,0.07708,0.00709,0.02396,0.00621,0.70139,0.01319,0.80417,0.01252,0.02118,0.00629,0.00139,0.00111,0.30576,0.00060,0.00200,0.00000,0.00000,0.00000,0.71545,0.01035
oracle_failure_aware_policy,stress_05,0.55556,10,0.88403,0.00897,0.09306,0.01302,0.03299,0.00740,0.69861,0.01613,0.80417,0.01327,0.02708,0.00463,0.00174,0.00152,0.33280,0.00061,0.00200,0.00000,0.00000,0.00000,0.68122,0.01510
oracle_failure_aware_policy,stress_06,0.66667,10,0.88333,0.00909,0.10347,0.01087,0.03750,0.00934,0.69097,0.01585,0.78681,0.01201,0.03472,0.00465,0.00243,0.00177,0.35840,0.00046,0.00200,0.00000,0.00000,0.00000,0.65877,0.01506
oracle_failure_aware_policy,stress_07,0.77778,10,0.88299,0.01505,0.12569,0.00866,0.04618,0.00989,0.67743,0.01615,0.76979,0.01319,0.04340,0.00558,0.00243,0.00177,0.38375,0.00055,0.00200,0.00000,0.00000,0.00000,0.62039,0.01687
oracle_failure_aware_policy,stress_08,0.88889,10,0.87396,0.01962,0.14479,0.00861,0.05556,0.00546,0.67361,0.01481,0.75313,0.01612,0.05556,0.00696,0.00243,0.00177,0.40903,0.00047,0.00200,0.00000,0.00000,0.00000,0.57510,0.02254
oracle_failure_aware_policy,stress_09,1.00000,10,0.86597,0.02077,0.15486,0.01252,0.06389,0.00519,0.65486,0.01888,0.73576,0.01788,0.07083,0.01180,0.00208,0.00150,0.43422,0.00056,0.00227,0.00002,0.00000,0.00000,0.54061,0.02588
proposed_sensor_failure_composition_v4,stress_00,0.00000,10,0.75625,0.01806,0.07014,0.01147,0.02500,0.00624,0.59062,0.03070,0.66597,0.02767,0.09132,0.01287,0.00868,0.00325,0.37080,0.00040,0.00200,0.00000,0.15082,0.00043,0.55434,0.02603
proposed_sensor_failure_composition_v4,stress_01,0.11111,10,0.74132,0.01461,0.08472,0.00979,0.03785,0.00522,0.58090,0.02989,0.65938,0.02867,0.11319,0.01070,0.01806,0.00554,0.39851,0.00065,0.00200,0.00000,0.15852,0.00054,0.49961,0.01928
proposed_sensor_failure_composition_v4,stress_02,0.22222,10,0.72917,0.01648,0.10208,0.00985,0.05174,0.00661,0.56840,0.02351,0.65660,0.01896,0.11285,0.00926,0.02847,0.00463,0.42616,0.00058,0.00200,0.00000,0.16561,0.00046,0.45022,0.01968
proposed_sensor_failure_composition_v4,stress_03,0.33333,10,0.71493,0.01090,0.11910,0.01420,0.07083,0.00747,0.54722,0.01373,0.61806,0.02230,0.13125,0.01270,0.03854,0.00541,0.45384,0.00055,0.00244,0.00004,0.17222,0.00045,0.38927,0.02005
proposed_sensor_failure_composition_v4,stress_04,0.44444,10,0.71285,0.01271,0.13090,0.01749,0.08229,0.01083,0.54583,0.01828,0.60278,0.02097,0.14965,0.01328,0.04757,0.00732,0.48183,0.00046,0.00735,0.00010,0.17840,0.00041,0.35225,0.02550
proposed_sensor_failure_composition_v4,stress_05,0.55556,10,0.70729,0.01331,0.16285,0.01810,0.08611,0.01124,0.54410,0.01701,0.59688,0.01289,0.16424,0.01342,0.05625,0.00730,0.50926,0.00063,0.01591,0.00015,0.18457,0.00046,0.29735,0.02690
proposed_sensor_failure_composition_v4,stress_06,0.66667,10,0.69826,0.00954,0.17708,0.01840,0.09132,0.01157,0.53715,0.01731,0.58576,0.01255,0.17674,0.01289,0.05903,0.01217,0.53580,0.00051,0.02748,0.00012,0.19130,0.00047,0.25894,0.02779
proposed_sensor_failure_composition_v4,stress_07,0.77778,10,0.68715,0.01963,0.19062,0.01894,0.09722,0.01380,0.53715,0.01849,0.55833,0.02130,0.18368,0.01475,0.07778,0.01327,0.56096,0.00048,0.03988,0.00007,0.19805,0.00047,0.21663,0.03429
proposed_sensor_failure_composition_v4,stress_08,0.88889,10,0.68021,0.01465,0.20729,0.01746,0.10382,0.01090,0.52639,0.01832,0.53958,0.01559,0.18472,0.01101,0.08368,0.00904,0.58648,0.00058,0.05223,0.00014,0.20459,0.00034,0.17934,0.02706
proposed_sensor_failure_composition_v4,stress_09,1.00000,10,0.65972,0.01183,0.21944,0.01294,0.12083,0.01462,0.50451,0.01406,0.53160,0.01433,0.19687,0.01477,0.09097,0.00615,0.61188,0.00048,0.06459,0.00011,0.21063,0.00034,0.12120,0.02063
risk_aware_sensor_reconfiguration,stress_00,0.00000,10,0.72569,0.01604,0.05868,0.01113,0.02396,0.00621,0.52812,0.02288,0.57917,0.01748,0.11701,0.00994,0.01632,0.00642,0.41812,0.00056,0.00200,0.00000,0.18005,0.00052,0.51693,0.01982
risk_aware_sensor_reconfiguration,stress_01,0.11111,10,0.70764,0.01916,0.07604,0.00996,0.03507,0.00560,0.53507,0.01699,0.56632,0.01451,0.13403,0.00712,0.02951,0.00576,0.44588,0.00047,0.00200,0.00000,0.18988,0.00043,0.45803,0.02403
risk_aware_sensor_reconfiguration,stress_02,0.22222,10,0.70069,0.01642,0.09201,0.01060,0.04757,0.00773,0.52222,0.02104,0.54861,0.01111,0.16250,0.01096,0.03958,0.00548,0.47377,0.00036,0.00200,0.00000,0.19874,0.00057,0.40788,0.02341
risk_aware_sensor_reconfiguration,stress_03,0.33333,10,0.67361,0.01623,0.10486,0.01156,0.05243,0.01219,0.50590,0.01673,0.52569,0.01725,0.17569,0.00931,0.04792,0.00615,0.50158,0.00034,0.00213,0.00003,0.20731,0.00060,0.35224,0.02756
risk_aware_sensor_reconfiguration,stress_04,0.44444,10,0.65521,0.01417,0.12674,0.01388,0.06667,0.01357,0.50000,0.01111,0.50938,0.01854,0.18611,0.01350,0.05243,0.00676,0.52944,0.00035,0.00549,0.00011,0.21580,0.00042,0.28936,0.02544
risk_aware_sensor_reconfiguration,stress_05,0.55556,10,0.64618,0.01850,0.14826,0.01664,0.07153,0.01450,0.48438,0.01126,0.48507,0.01611,0.19340,0.01614,0.06597,0.00537,0.55648,0.00028,0.01341,0.00010,0.22412,0.00029,0.24251,0.03705
risk_aware_sensor_reconfiguration,stress_06,0.66667,10,0.63854,0.01825,0.15694,0.01842,0.08437,0.01267,0.48333,0.01564,0.48715,0.01906,0.19062,0.00864,0.07535,0.00454,0.58297,0.00030,0.02408,0.00015,0.23253,0.00030,0.20829,0.03949
risk_aware_sensor_reconfiguration,stress_07,0.77778,10,0.63819,0.02000,0.17743,0.01461,0.09132,0.01121,0.47431,0.01608,0.46007,0.01320,0.20417,0.01306,0.08958,0.00416,0.60822,0.00047,0.03636,0.00011,0.24118,0.00051,0.16750,0.03350
risk_aware_sensor_reconfiguration,stress_08,0.88889,10,0.61354,0.01505,0.18993,0.01456,0.10590,0.00800,0.46910,0.00887,0.44514,0.01360,0.21528,0.01783,0.09826,0.00793,0.63365,0.00043,0.04875,0.00013,0.24960,0.00048,0.10678,0.02955
risk_aware_sensor_reconfiguration,stress_09,1.00000,10,0.61806,0.01745,0.21111,0.01290,0.11667,0.00754,0.45174,0.01586,0.43333,0.01462,0.23090,0.01677,0.11181,0.00940,0.65906,0.00050,0.06109,0.00011,0.25715,0.00041,0.06647,0.02443
risk_calibrated_sensor_composition_v5,stress_00,0.00000,10,0.83750,0.01200,0.02778,0.00366,0.01111,0.00440,0.65729,0.01542,0.79097,0.01791,0.02361,0.00301,0.00243,0.00177,0.26711,0.00076,0.00200,0.00000,0.06813,0.00041,0.73267,0.01461
risk_calibrated_sensor_composition_v5,stress_01,0.11111,10,0.83368,0.01580,0.04618,0.00366,0.01979,0.00476,0.62951,0.01515,0.78507,0.01567,0.03924,0.00773,0.00347,0.00176,0.29498,0.00063,0.00200,0.00000,0.07159,0.00038,0.69219,0.01394
risk_calibrated_sensor_composition_v5,stress_02,0.22222,10,0.83889,0.00942,0.05764,0.00659,0.01979,0.00547,0.62708,0.01734,0.75938,0.01689,0.04826,0.00943,0.00313,0.00188,0.32302,0.00050,0.00200,0.00000,0.07477,0.00043,0.67763,0.01374
risk_calibrated_sensor_composition_v5,stress_03,0.33333,10,0.82326,0.01711,0.06875,0.00640,0.02535,0.00696,0.62986,0.01827,0.74306,0.01766,0.05694,0.00819,0.00208,0.00111,0.35083,0.00057,0.00200,0.00000,0.07773,0.00068,0.63837,0.02240
risk_calibrated_sensor_composition_v5,stress_04,0.44444,10,0.81632,0.01269,0.09479,0.01196,0.03437,0.00676,0.62743,0.01035,0.72569,0.01387,0.06806,0.01031,0.00278,0.00198,0.37861,0.00060,0.00200,0.00000,0.08035,0.00045,0.58767,0.02181
risk_calibrated_sensor_composition_v5,stress_05,0.55556,10,0.79271,0.01152,0.11111,0.00930,0.04618,0.00739,0.62361,0.02129,0.71701,0.01418,0.08125,0.01144,0.00382,0.00159,0.40560,0.00044,0.00200,0.00000,0.08287,0.00046,0.52796,0.01962
risk_calibrated_sensor_composition_v5,stress_06,0.66667,10,0.78819,0.00873,0.13194,0.01035,0.05729,0.00868,0.63021,0.01674,0.71076,0.01230,0.09201,0.01366,0.00347,0.00176,0.43210,0.00047,0.00200,0.00000,0.08627,0.00032,0.48418,0.01737
risk_calibrated_sensor_composition_v5,stress_07,0.77778,10,0.77951,0.01201,0.15382,0.01230,0.06146,0.00711,0.61146,0.02000,0.68889,0.01392,0.10417,0.01287,0.00729,0.00258,0.45762,0.00042,0.00200,0.00000,0.09006,0.00039,0.43956,0.01484
risk_calibrated_sensor_composition_v5,stress_08,0.88889,10,0.76771,0.00875,0.16875,0.01070,0.07569,0.00624,0.60139,0.01561,0.68090,0.01359,0.11181,0.01270,0.01042,0.00406,0.48276,0.00064,0.00302,0.00004,0.09355,0.00045,0.39257,0.00993
risk_calibrated_sensor_composition_v5,stress_09,1.00000,10,0.76389,0.01217,0.18125,0.00929,0.08090,0.00739,0.58333,0.01004,0.66285,0.00986,0.12153,0.01380,0.01285,0.00288,0.50806,0.00058,0.00806,0.00007,0.09618,0.00073,0.36282,0.01989
robust_single_worst_sensor_policy,stress_00,0.00000,10,0.64861,0.01545,0.09236,0.01171,0.05312,0.00952,0.48681,0.01423,0.36528,0.02468,0.22257,0.00910,0.04410,0.00725,0.59075,0.00042,0.01599,0.00016,0.27324,0.00028,0.30840,0.02350
robust_single_worst_sensor_policy,stress_01,0.11111,10,0.63264,0.01613,0.10764,0.01395,0.06840,0.01148,0.47708,0.01331,0.35556,0.01973,0.23542,0.01897,0.05590,0.00821,0.61865,0.00065,0.02823,0.00011,0.28737,0.00030,0.25111,0.02914
robust_single_worst_sensor_policy,stress_02,0.22222,10,0.60625,0.01206,0.12639,0.01522,0.07882,0.00799,0.48194,0.00998,0.34340,0.02292,0.24757,0.01920,0.07917,0.00598,0.64646,0.00055,0.04067,0.00011,0.30082,0.00058,0.18110,0.02117
robust_single_worst_sensor_policy,stress_03,0.33333,10,0.58715,0.01269,0.14965,0.01506,0.08785,0.01247,0.47569,0.01803,0.32396,0.01734,0.25000,0.01311,0.08542,0.00819,0.67430,0.00056,0.05312,0.00014,0.31380,0.00046,0.12164,0.02684
robust_single_worst_sensor_policy,stress_04,0.44444,10,0.56042,0.02109,0.16215,0.01460,0.09514,0.01005,0.46111,0.02279,0.31424,0.01506,0.25833,0.01084,0.09931,0.01227,0.70230,0.00057,0.06550,0.00019,0.32720,0.00031,0.06397,0.02293
robust_single_worst_sensor_policy,stress_05,0.55556,10,0.54097,0.01724,0.17569,0.01188,0.10174,0.00799,0.44479,0.02350,0.28368,0.01565,0.27396,0.01659,0.11458,0.01532,0.72969,0.00050,0.07789,0.00019,0.33961,0.00045,0.01061,0.01323
robust_single_worst_sensor_policy,stress_06,0.66667,10,0.53646,0.01646,0.19861,0.01225,0.10590,0.00576,0.44861,0.02478,0.26458,0.01476,0.28299,0.01328,0.12986,0.01790,0.75610,0.00045,0.09026,0.00016,0.35236,0.00042,-0.03380,0.01766
robust_single_worst_sensor_policy,stress_07,0.77778,10,0.52986,0.02179,0.21354,0.01214,0.10972,0.00974,0.43924,0.02035,0.25590,0.01652,0.30451,0.01010,0.15451,0.01749,0.78169,0.00041,0.10268,0.00012,0.36499,0.00053,-0.07725,0.02053
robust_single_worst_sensor_policy,stress_08,0.88889,10,0.49722,0.01730,0.22778,0.00953,0.11667,0.01098,0.41701,0.01557,0.24826,0.01036,0.31597,0.01786,0.18125,0.01980,0.80655,0.00053,0.11513,0.00012,0.37706,0.00059,-0.14591,0.01596
robust_single_worst_sensor_policy,stress_09,1.00000,10,0.46424,0.02338,0.24132,0.01180,0.12326,0.01231,0.42153,0.01863,0.23611,0.01391,0.32014,0.01564,0.18924,0.01960,0.83188,0.00053,0.12758,0.00015,0.38856,0.00064,-0.20727,0.02065
sensor_dropout_transformer_policy,stress_00,0.00000,10,0.69132,0.01123,0.10764,0.01097,0.07257,0.01007,0.53194,0.02420,0.51528,0.02504,0.17569,0.01210,0.03264,0.00585,0.50706,0.00031,0.00283,0.00007,0.21893,0.00035,0.35362,0.01497
sensor_dropout_transformer_policy,stress_01,0.11111,10,0.67014,0.01387,0.11806,0.01406,0.07986,0.01134,0.53403,0.02392,0.51146,0.02491,0.18437,0.01145,0.04583,0.00671,0.53432,0.00048,0.00915,0.00011,0.23083,0.00050,0.30437,0.01890
sensor_dropout_transformer_policy,stress_02,0.22222,10,0.64896,0.01348,0.13750,0.01512,0.08403,0.00615,0.50972,0.01682,0.48438,0.02301,0.20139,0.01598,0.06215,0.01042,0.56199,0.00035,0.01987,0.00010,0.24198,0.00058,0.24429,0.02357
sensor_dropout_transformer_policy,stress_03,0.33333,10,0.63438,0.01442,0.14340,0.01722,0.08785,0.00681,0.49375,0.01195,0.47292,0.01669,0.21979,0.01598,0.07465,0.01108,0.58987,0.00042,0.03227,0.00009,0.25244,0.00062,0.20607,0.02081
sensor_dropout_transformer_policy,stress_04,0.44444,10,0.62153,0.01449,0.16667,0.01438,0.10625,0.01218,0.48646,0.01543,0.45278,0.02242,0.22465,0.01763,0.08958,0.01278,0.61760,0.00050,0.04471,0.00012,0.26282,0.00049,0.14238,0.02686
sensor_dropout_transformer_policy,stress_05,0.55556,10,0.61389,0.01626,0.19444,0.01568,0.11944,0.01206,0.47396,0.01519,0.43333,0.01876,0.22743,0.01256,0.09861,0.01312,0.64559,0.00048,0.05708,0.00016,0.27267,0.00066,0.08530,0.02712
sensor_dropout_transformer_policy,stress_06,0.66667,10,0.58889,0.01939,0.22118,0.01740,0.12812,0.01589,0.47187,0.01656,0.42118,0.02266,0.24826,0.01056,0.10868,0.01350,0.67208,0.00050,0.06940,0.00016,0.28280,0.00057,0.01028,0.02819
sensor_dropout_transformer_policy,stress_07,0.77778,10,0.57778,0.01432,0.21701,0.01602,0.12569,0.01555,0.46979,0.01582,0.39097,0.02397,0.24653,0.01501,0.12049,0.01271,0.69705,0.00037,0.08185,0.00012,0.29287,0.00054,-0.00177,0.02868
sensor_dropout_transformer_policy,stress_08,0.88889,10,0.56806,0.01435,0.23090,0.01471,0.13889,0.01299,0.45903,0.01405,0.37153,0.01895,0.26354,0.02308,0.12986,0.01256,0.72232,0.00038,0.09430,0.00010,0.30270,0.00035,-0.04983,0.02651
