method,split,seed,mean_success,ci95_success,mean_safety_violation,ci95_safety_violation,mean_damage,ci95_damage,mean_fault_f1,ci95_fault_f1,mean_interaction_f1,ci95_interaction_f1,mean_false_isolation,ci95_false_isolation,mean_recovery_latency,ci95_recovery_latency,mean_total_cost,ci95_total_cost,groups
bayesian_sensor_fusion_monitor,combined_stress,0,0.5276,0.0173,0.2456,0.0331,0.1605,0.0182,0.4595,0.0200,0.3711,0.0189,0.2612,0.0161,0.7676,0.0274,0.4942,0.0309,35
bayesian_sensor_fusion_monitor,combined_stress,1,0.5429,0.0229,0.2320,0.0281,0.1568,0.0172,0.4422,0.0237,0.3687,0.0188,0.2463,0.0136,0.7700,0.0256,0.4958,0.0303,35
bayesian_sensor_fusion_monitor,combined_stress,2,0.5520,0.0266,0.2286,0.0314,0.1592,0.0165,0.4582,0.0166,0.3571,0.0174,0.2548,0.0186,0.7671,0.0249,0.4935,0.0304,35
bayesian_sensor_fusion_monitor,combined_stress,3,0.5469,0.0187,0.2296,0.0310,0.1544,0.0202,0.4418,0.0176,0.3616,0.0157,0.2609,0.0173,0.7646,0.0236,0.4941,0.0306,35
bayesian_sensor_fusion_monitor,combined_stress,4,0.5405,0.0193,0.2344,0.0327,0.1599,0.0166,0.4452,0.0198,0.3806,0.0177,0.2653,0.0156,0.7667,0.0239,0.4923,0.0304,35
bayesian_sensor_fusion_monitor,combined_stress,5,0.5537,0.0165,0.2344,0.0308,0.1701,0.0201,0.4670,0.0175,0.3803,0.0153,0.2616,0.0151,0.7660,0.0246,0.4948,0.0295,35
bayesian_sensor_fusion_monitor,combined_stress,6,0.5449,0.0208,0.2374,0.0320,0.1551,0.0159,0.4531,0.0137,0.3738,0.0146,0.2633,0.0159,0.7637,0.0251,0.4931,0.0298,35
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,0,0.5701,0.0260,0.1874,0.0214,0.1401,0.0149,0.4864,0.0220,0.3816,0.0178,0.2337,0.0163,0.7792,0.0209,0.4531,0.0254,35
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,1,0.5878,0.0236,0.2037,0.0281,0.1401,0.0171,0.4793,0.0151,0.4003,0.0165,0.2490,0.0204,0.7779,0.0220,0.4541,0.0254,35
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,2,0.5694,0.0198,0.2044,0.0254,0.1435,0.0178,0.4609,0.0199,0.4061,0.0164,0.2364,0.0180,0.7747,0.0214,0.4554,0.0257,35
