method,split,seed,mean_success,ci95_success,mean_safety_violation,ci95_safety_violation,mean_damage,ci95_damage,mean_fault_f1,ci95_fault_f1,mean_interaction_f1,ci95_interaction_f1,mean_false_isolation,ci95_false_isolation,mean_recovery_latency,ci95_recovery_latency,mean_total_cost,ci95_total_cost,groups
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,3,0.5874,0.0201,0.1881,0.0251,0.1469,0.0206,0.4803,0.0208,0.4058,0.0203,0.2425,0.0164,0.7761,0.0190,0.4537,0.0250,35
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,4,0.5721,0.0199,0.1976,0.0267,0.1357,0.0151,0.4690,0.0176,0.3755,0.0151,0.2367,0.0148,0.7816,0.0203,0.4533,0.0249,35
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,5,0.5857,0.0245,0.1905,0.0254,0.1398,0.0195,0.4697,0.0159,0.4027,0.0149,0.2398,0.0163,0.7808,0.0195,0.4553,0.0258,35
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,6,0.5782,0.0183,0.1884,0.0285,0.1401,0.0189,0.4568,0.0178,0.4153,0.0170,0.2344,0.0143,0.7799,0.0217,0.4559,0.0255,35
bayesian_sensor_fusion_monitor,nominal,0,0.6650,0.0181,0.1374,0.0158,0.1129,0.0136,0.5388,0.0182,0.4643,0.0184,0.1813,0.0155,0.5167,0.0135,0.3306,0.0172,35
bayesian_sensor_fusion_monitor,nominal,1,0.6629,0.0187,0.1517,0.0209,0.1051,0.0165,0.5272,0.0202,0.4507,0.0174,0.1833,0.0113,0.5175,0.0148,0.3310,0.0181,35
bayesian_sensor_fusion_monitor,nominal,2,0.6810,0.0184,0.1320,0.0186,0.0969,0.0117,0.5384,0.0160,0.4544,0.0181,0.1799,0.0157,0.5286,0.0144,0.3334,0.0183,35
bayesian_sensor_fusion_monitor,nominal,3,0.6810,0.0222,0.1371,0.0212,0.0935,0.0125,0.5313,0.0157,0.4684,0.0189,0.1861,0.0118,0.5238,0.0145,0.3306,0.0173,35
bayesian_sensor_fusion_monitor,nominal,4,0.6510,0.0179,0.1500,0.0146,0.1099,0.0187,0.5167,0.0182,0.4578,0.0191,0.1803,0.0116,0.5223,0.0137,0.3326,0.0175,35
bayesian_sensor_fusion_monitor,nominal,5,0.6636,0.0196,0.1313,0.0206,0.0932,0.0115,0.5194,0.0242,0.4633,0.0171,0.1922,0.0142,0.5208,0.0136,0.3324,0.0170,35
bayesian_sensor_fusion_monitor,nominal,6,0.6677,0.0187,0.1456,0.0187,0.0969,0.0140,0.5177,0.0190,0.4524,0.0154,0.1959,0.0128,0.5219,0.0144,0.3315,0.0172,35
bayesian_sensor_fusion_monitor,paired_sensor_shift,0,0.5752,0.0220,0.2061,0.0283,0.1265,0.0154,0.4966,0.0190,0.4092,0.0171,0.2323,0.0172,0.6034,0.0220,0.4245,0.0275,35
bayesian_sensor_fusion_monitor,paired_sensor_shift,1,0.5776,0.0234,0.1922,0.0230,0.1391,0.0155,0.4946,0.0196,0.4003,0.0184,0.2320,0.0160,0.6057,0.0238,0.4258,0.0282,35
bayesian_sensor_fusion_monitor,paired_sensor_shift,2,0.5793,0.0204,0.2017,0.0262,0.1340,0.0172,0.4963,0.0167,0.4163,0.0162,0.2473,0.0191,0.6080,0.0227,0.4260,0.0281,35
bayesian_sensor_fusion_monitor,paired_sensor_shift,3,0.5769,0.0160,0.1980,0.0282,0.1381,0.0140,0.5105,0.0164,0.3969,0.0154,0.2473,0.0158,0.6094,0.0238,0.4251,0.0283,35
bayesian_sensor_fusion_monitor,paired_sensor_shift,4,0.5871,0.0246,0.1976,0.0235,0.1439,0.0162,0.4993,0.0207,0.3857,0.0135,0.2500,0.0151,0.6016,0.0234,0.4232,0.0267,35
bayesian_sensor_fusion_monitor,paired_sensor_shift,5,0.5803,0.0200,0.1966,0.0285,0.1395,0.0175,0.4946,0.0205,0.3976,0.0203,0.2306,0.0143,0.6107,0.0233,0.4274,0.0277,35
bayesian_sensor_fusion_monitor,paired_sensor_shift,6,0.5762,0.0182,0.2075,0.0310,0.1293,0.0155,0.4976,0.0211,0.4027,0.0162,0.2473,0.0174,0.6053,0.0220,0.4256,0.0281,35
bayesian_sensor_fusion_monitor,single_sensor_shift,0,0.6255,0.0150,0.2031,0.0243,0.1265,0.0148,0.4782,0.0195,0.4585,0.0206,0.1993,0.0145,0.5793,0.0189,0.3973,0.0229,35
bayesian_sensor_fusion_monitor,single_sensor_shift,1,0.6303,0.0188,0.1990,0.0256,0.1136,0.0176,0.4755,0.0227,0.4408,0.0204,0.1932,0.0148,0.5756,0.0178,0.3986,0.0228,35
bayesian_sensor_fusion_monitor,single_sensor_shift,2,0.6201,0.0218,0.1912,0.0232,0.1303,0.0159,0.4656,0.0179,0.4490,0.0201,0.1946,0.0143,0.5797,0.0189,0.3979,0.0231,35
bayesian_sensor_fusion_monitor,single_sensor_shift,3,0.5929,0.0215,0.1922,0.0283,0.1173,0.0126,0.4663,0.0213,0.4548,0.0163,0.1942,0.0146,0.5761,0.0183,0.3947,0.0230,35
bayesian_sensor_fusion_monitor,single_sensor_shift,4,0.6180,0.0180,0.1946,0.0228,0.1235,0.0160,0.4813,0.0181,0.4473,0.0192,0.1844,0.0136,0.5766,0.0194,0.3960,0.0235,35
bayesian_sensor_fusion_monitor,single_sensor_shift,5,0.6173,0.0215,0.1905,0.0228,0.1245,0.0162,0.4776,0.0176,0.4412,0.0196,0.1864,0.0124,0.5810,0.0183,0.3966,0.0226,35
bayesian_sensor_fusion_monitor,single_sensor_shift,6,0.6133,0.0203,0.1990,0.0271,0.1279,0.0152,0.4871,0.0186,0.4425,0.0180,0.1963,0.0175,0.5710,0.0188,0.3958,0.0230,35
conformal_sensor_reliability_filter,combined_stress,0,0.4949,0.0223,0.2395,0.0398,0.1493,0.0215,0.3966,0.0173,0.3051,0.0193,0.3952,0.0203,0.8331,0.0252,0.5425,0.0307,35
conformal_sensor_reliability_filter,combined_stress,1,0.5133,0.0191,0.2269,0.0304,0.1391,0.0191,0.4082,0.0169,0.2946,0.0176,0.4024,0.0186,0.8352,0.0251,0.5433,0.0301,35
conformal_sensor_reliability_filter,combined_stress,2,0.5010,0.0169,0.2235,0.0281,0.1486,0.0159,0.4088,0.0170,0.3017,0.0193,0.3946,0.0177,0.8368,0.0255,0.5448,0.0297,35
conformal_sensor_reliability_filter,combined_stress,3,0.4966,0.0169,0.2248,0.0351,0.1354,0.0190,0.4054,0.0116,0.2881,0.0181,0.4007,0.0192,0.8314,0.0256,0.5395,0.0311,35
conformal_sensor_reliability_filter,combined_stress,4,0.4976,0.0163,0.2378,0.0288,0.1520,0.0188,0.3861,0.0180,0.3129,0.0179,0.4119,0.0187,0.8286,0.0258,0.5429,0.0308,35
conformal_sensor_reliability_filter,combined_stress,5,0.5014,0.0188,0.2289,0.0308,0.1357,0.0171,0.3983,0.0167,0.2912,0.0161,0.4000,0.0162,0.8331,0.0250,0.5402,0.0299,35
conformal_sensor_reliability_filter,combined_stress,6,0.5020,0.0202,0.2299,0.0290,0.1405,0.0173,0.3898,0.0187,0.3034,0.0188,0.4068,0.0190,0.8295,0.0250,0.5426,0.0302,35
conformal_sensor_reliability_filter,delayed_sensor_recovery,0,0.5456,0.0232,0.1898,0.0252,0.1265,0.0143,0.4241,0.0165,0.3187,0.0172,0.3813,0.0179,0.8465,0.0206,0.5024,0.0248,35
conformal_sensor_reliability_filter,delayed_sensor_recovery,1,0.5514,0.0159,0.1864,0.0224,0.1279,0.0148,0.4231,0.0196,0.3207,0.0155,0.3779,0.0152,0.8457,0.0202,0.5019,0.0245,35
conformal_sensor_reliability_filter,delayed_sensor_recovery,2,0.5425,0.0200,0.1939,0.0245,0.1286,0.0172,0.4085,0.0189,0.3255,0.0166,0.3776,0.0198,0.8447,0.0211,0.5041,0.0250,35
conformal_sensor_reliability_filter,delayed_sensor_recovery,3,0.5449,0.0194,0.1833,0.0246,0.1313,0.0146,0.4007,0.0198,0.3364,0.0176,0.3854,0.0207,0.8451,0.0202,0.5004,0.0244,35
conformal_sensor_reliability_filter,delayed_sensor_recovery,4,0.5463,0.0183,0.2003,0.0288,0.1327,0.0168,0.4412,0.0192,0.3269,0.0145,0.3969,0.0183,0.8462,0.0202,0.5030,0.0249,35
conformal_sensor_reliability_filter,delayed_sensor_recovery,5,0.5490,0.0216,0.1963,0.0253,0.1320,0.0137,0.4337,0.0190,0.3160,0.0202,0.3922,0.0160,0.8477,0.0204,0.5059,0.0248,35
conformal_sensor_reliability_filter,delayed_sensor_recovery,6,0.5439,0.0241,0.1905,0.0298,0.1248,0.0158,0.4347,0.0198,0.3231,0.0174,0.3595,0.0162,0.8437,0.0202,0.5024,0.0254,35
conformal_sensor_reliability_filter,nominal,0,0.6384,0.0150,0.1289,0.0156,0.0935,0.0138,0.4803,0.0161,0.3997,0.0196,0.3262,0.0139,0.5833,0.0158,0.3772,0.0179,35
conformal_sensor_reliability_filter,nominal,1,0.6418,0.0167,0.1262,0.0178,0.0901,0.0120,0.4738,0.0200,0.3939,0.0176,0.3112,0.0146,0.5852,0.0139,0.3748,0.0171,35
conformal_sensor_reliability_filter,nominal,2,0.6531,0.0162,0.1296,0.0192,0.0891,0.0127,0.4731,0.0199,0.3741,0.0194,0.3112,0.0149,0.5879,0.0135,0.3770,0.0173,35
conformal_sensor_reliability_filter,nominal,3,0.6463,0.0146,0.1446,0.0176,0.0871,0.0137,0.5000,0.0149,0.3806,0.0188,0.2969,0.0128,0.5859,0.0142,0.3776,0.0177,35
conformal_sensor_reliability_filter,nominal,4,0.6357,0.0175,0.1486,0.0178,0.0850,0.0126,0.4847,0.0210,0.4014,0.0211,0.3187,0.0163,0.5886,0.0150,0.3763,0.0174,35
conformal_sensor_reliability_filter,nominal,5,0.6361,0.0179,0.1429,0.0197,0.0898,0.0141,0.4731,0.0180,0.3718,0.0166,0.3058,0.0166,0.5899,0.0127,0.3774,0.0173,35
conformal_sensor_reliability_filter,nominal,6,0.6316,0.0194,0.1371,0.0189,0.0966,0.0101,0.4813,0.0140,0.3959,0.0152,0.3085,0.0169,0.5888,0.0150,0.3777,0.0172,35
conformal_sensor_reliability_filter,paired_sensor_shift,0,0.5605,0.0203,0.2116,0.0326,0.1207,0.0154,0.4694,0.0184,0.3190,0.0184,0.3622,0.0141,0.6704,0.0223,0.4744,0.0269,35
conformal_sensor_reliability_filter,paired_sensor_shift,1,0.5422,0.0166,0.1976,0.0271,0.1252,0.0183,0.4602,0.0182,0.3122,0.0178,0.3490,0.0196,0.6716,0.0244,0.4716,0.0273,35
conformal_sensor_reliability_filter,paired_sensor_shift,2,0.5391,0.0198,0.2020,0.0275,0.1259,0.0120,0.4466,0.0176,0.3163,0.0201,0.3789,0.0162,0.6733,0.0226,0.4743,0.0278,35
conformal_sensor_reliability_filter,paired_sensor_shift,3,0.5425,0.0191,0.2061,0.0294,0.1224,0.0173,0.4554,0.0204,0.3218,0.0184,0.3707,0.0186,0.6722,0.0241,0.4736,0.0282,35
conformal_sensor_reliability_filter,paired_sensor_shift,4,0.5473,0.0174,0.1980,0.0290,0.1238,0.0145,0.4452,0.0203,0.3340,0.0127,0.3898,0.0160,0.6712,0.0207,0.4728,0.0270,35
conformal_sensor_reliability_filter,paired_sensor_shift,5,0.5548,0.0194,0.1867,0.0222,0.1245,0.0195,0.4493,0.0177,0.3350,0.0160,0.3718,0.0201,0.6729,0.0216,0.4733,0.0266,35
conformal_sensor_reliability_filter,paired_sensor_shift,6,0.5510,0.0238,0.1993,0.0304,0.1323,0.0204,0.4442,0.0166,0.3116,0.0159,0.3677,0.0153,0.6750,0.0234,0.4760,0.0277,35
conformal_sensor_reliability_filter,single_sensor_shift,0,0.5721,0.0202,0.1837,0.0242,0.1092,0.0114,0.4459,0.0185,0.3738,0.0178,0.3119,0.0154,0.6410,0.0185,0.4426,0.0227,35
conformal_sensor_reliability_filter,single_sensor_shift,1,0.5694,0.0208,0.1779,0.0223,0.1143,0.0165,0.4303,0.0198,0.3820,0.0167,0.3194,0.0191,0.6373,0.0177,0.4403,0.0232,35
conformal_sensor_reliability_filter,single_sensor_shift,2,0.5844,0.0163,0.1803,0.0228,0.1204,0.0174,0.4231,0.0146,0.3776,0.0165,0.3156,0.0195,0.6427,0.0186,0.4414,0.0232,35
conformal_sensor_reliability_filter,single_sensor_shift,3,0.5660,0.0238,0.1861,0.0250,0.1156,0.0160,0.4350,0.0174,0.3898,0.0167,0.3320,0.0149,0.6435,0.0181,0.4414,0.0228,35
conformal_sensor_reliability_filter,single_sensor_shift,4,0.5721,0.0221,0.1922,0.0281,0.1177,0.0121,0.4075,0.0187,0.3741,0.0167,0.3024,0.0182,0.6429,0.0192,0.4426,0.0225,35
conformal_sensor_reliability_filter,single_sensor_shift,5,0.5949,0.0211,0.1867,0.0218,0.1296,0.0132,0.4269,0.0190,0.3986,0.0200,0.3286,0.0129,0.6416,0.0195,0.4409,0.0229,35
conformal_sensor_reliability_filter,single_sensor_shift,6,0.5871,0.0191,0.1830,0.0238,0.1190,0.0135,0.4194,0.0173,0.3929,0.0177,0.3286,0.0128,0.6401,0.0204,0.4424,0.0236,35
ensemble_uncertainty_gating,combined_stress,0,0.5194,0.0203,0.2330,0.0311,0.1605,0.0194,0.3942,0.0141,0.2789,0.0146,0.3524,0.0177,0.8251,0.0264,0.5409,0.0306,35
ensemble_uncertainty_gating,combined_stress,1,0.5122,0.0213,0.2401,0.0312,0.1490,0.0146,0.4007,0.0151,0.2932,0.0135,0.3724,0.0163,0.8284,0.0253,0.5393,0.0308,35
ensemble_uncertainty_gating,combined_stress,2,0.4952,0.0170,0.2412,0.0348,0.1452,0.0171,0.3827,0.0168,0.2884,0.0183,0.3639,0.0143,0.8248,0.0259,0.5371,0.0304,35
ensemble_uncertainty_gating,combined_stress,3,0.4874,0.0208,0.2330,0.0343,0.1466,0.0191,0.3901,0.0149,0.2629,0.0165,0.3609,0.0166,0.8298,0.0268,0.5386,0.0304,35
ensemble_uncertainty_gating,combined_stress,4,0.4969,0.0174,0.2425,0.0307,0.1531,0.0214,0.3837,0.0150,0.2963,0.0168,0.3704,0.0175,0.8288,0.0266,0.5382,0.0317,35
ensemble_uncertainty_gating,combined_stress,5,0.5194,0.0207,0.2245,0.0291,0.1684,0.0175,0.3922,0.0216,0.2844,0.0160,0.3653,0.0196,0.8253,0.0249,0.5389,0.0298,35
ensemble_uncertainty_gating,combined_stress,6,0.4935,0.0192,0.2469,0.0301,0.1486,0.0165,0.3898,0.0161,0.2721,0.0164,0.3687,0.0153,0.8285,0.0253,0.5393,0.0304,35
ensemble_uncertainty_gating,delayed_sensor_recovery,0,0.5357,0.0159,0.2037,0.0247,0.1347,0.0152,0.4129,0.0158,0.3082,0.0174,0.3388,0.0198,0.8345,0.0219,0.4965,0.0256,35
ensemble_uncertainty_gating,delayed_sensor_recovery,1,0.5418,0.0184,0.2099,0.0220,0.1432,0.0182,0.3949,0.0153,0.3143,0.0164,0.3320,0.0168,0.8370,0.0213,0.4975,0.0254,35
ensemble_uncertainty_gating,delayed_sensor_recovery,2,0.5391,0.0216,0.2027,0.0246,0.1395,0.0148,0.3888,0.0190,0.3037,0.0149,0.3537,0.0175,0.8347,0.0197,0.4972,0.0241,35
ensemble_uncertainty_gating,delayed_sensor_recovery,3,0.5415,0.0201,0.2017,0.0260,0.1435,0.0197,0.3993,0.0146,0.2946,0.0175,0.3316,0.0131,0.8319,0.0210,0.4962,0.0253,35
ensemble_uncertainty_gating,delayed_sensor_recovery,4,0.5456,0.0203,0.1993,0.0269,0.1361,0.0170,0.4126,0.0187,0.2963,0.0146,0.3371,0.0162,0.8309,0.0214,0.4967,0.0247,35
ensemble_uncertainty_gating,delayed_sensor_recovery,5,0.5537,0.0175,0.2088,0.0245,0.1313,0.0163,0.4088,0.0142,0.3041,0.0164,0.3344,0.0179,0.8363,0.0224,0.4973,0.0260,35
ensemble_uncertainty_gating,delayed_sensor_recovery,6,0.5381,0.0149,0.1854,0.0289,0.1388,0.0160,0.4051,0.0156,0.3228,0.0147,0.3456,0.0172,0.8355,0.0219,0.4953,0.0252,35
ensemble_uncertainty_gating,nominal,0,0.6429,0.0216,0.1422,0.0203,0.1003,0.0150,0.4796,0.0140,0.3656,0.0147,0.2759,0.0178,0.5810,0.0150,0.3703,0.0177,35
ensemble_uncertainty_gating,nominal,1,0.6551,0.0180,0.1415,0.0214,0.1017,0.0127,0.4684,0.0171,0.3677,0.0179,0.2707,0.0200,0.5791,0.0147,0.3707,0.0181,35
ensemble_uncertainty_gating,nominal,2,0.6456,0.0158,0.1367,0.0204,0.0983,0.0108,0.4534,0.0176,0.3701,0.0165,0.2701,0.0147,0.5773,0.0144,0.3722,0.0174,35
ensemble_uncertainty_gating,nominal,3,0.6279,0.0195,0.1568,0.0168,0.1007,0.0109,0.4599,0.0206,0.3789,0.0182,0.2776,0.0156,0.5807,0.0141,0.3718,0.0173,35
ensemble_uncertainty_gating,nominal,4,0.6381,0.0185,0.1391,0.0219,0.1119,0.0126,0.4510,0.0202,0.3704,0.0167,0.2680,0.0146,0.5742,0.0148,0.3706,0.0177,35
ensemble_uncertainty_gating,nominal,5,0.6412,0.0157,0.1422,0.0184,0.0891,0.0134,0.4684,0.0213,0.3544,0.0168,0.2619,0.0149,0.5750,0.0135,0.3688,0.0176,35
ensemble_uncertainty_gating,nominal,6,0.6449,0.0156,0.1483,0.0229,0.0959,0.0111,0.4769,0.0185,0.3497,0.0163,0.2769,0.0181,0.5790,0.0145,0.3726,0.0172,35
ensemble_uncertainty_gating,paired_sensor_shift,0,0.5575,0.0162,0.2095,0.0307,0.1350,0.0173,0.4201,0.0186,0.3146,0.0233,0.3449,0.0185,0.6693,0.0214,0.4694,0.0271,35
ensemble_uncertainty_gating,paired_sensor_shift,1,0.5629,0.0217,0.2122,0.0257,0.1354,0.0165,0.4262,0.0184,0.3058,0.0168,0.3378,0.0160,0.6732,0.0243,0.4708,0.0274,35
ensemble_uncertainty_gating,paired_sensor_shift,2,0.5378,0.0228,0.2037,0.0311,0.1259,0.0151,0.4129,0.0178,0.3286,0.0177,0.3367,0.0175,0.6648,0.0222,0.4678,0.0270,35
ensemble_uncertainty_gating,paired_sensor_shift,3,0.5497,0.0191,0.2146,0.0298,0.1310,0.0146,0.4344,0.0215,0.2946,0.0170,0.3214,0.0151,0.6682,0.0223,0.4689,0.0277,35
ensemble_uncertainty_gating,paired_sensor_shift,4,0.5629,0.0177,0.2014,0.0244,0.1367,0.0188,0.4214,0.0203,0.3126,0.0145,0.3364,0.0160,0.6708,0.0218,0.4715,0.0274,35
ensemble_uncertainty_gating,paired_sensor_shift,5,0.5497,0.0165,0.2153,0.0289,0.1316,0.0180,0.4170,0.0156,0.3214,0.0171,0.3313,0.0182,0.6674,0.0220,0.4695,0.0274,35
ensemble_uncertainty_gating,paired_sensor_shift,6,0.5490,0.0238,0.2037,0.0262,0.1415,0.0200,0.4235,0.0203,0.3034,0.0173,0.3405,0.0178,0.6653,0.0208,0.4696,0.0268,35
ensemble_uncertainty_gating,single_sensor_shift,0,0.5816,0.0224,0.1956,0.0252,0.1333,0.0147,0.3915,0.0173,0.3503,0.0200,0.2820,0.0184,0.6383,0.0172,0.4355,0.0228,35
ensemble_uncertainty_gating,single_sensor_shift,1,0.5861,0.0196,0.1925,0.0256,0.1286,0.0151,0.4146,0.0194,0.3551,0.0128,0.2769,0.0153,0.6368,0.0178,0.4364,0.0225,35
ensemble_uncertainty_gating,single_sensor_shift,2,0.5864,0.0185,0.1929,0.0242,0.1367,0.0161,0.4078,0.0173,0.3636,0.0160,0.2738,0.0168,0.6331,0.0201,0.4365,0.0237,35
ensemble_uncertainty_gating,single_sensor_shift,3,0.5759,0.0245,0.1912,0.0209,0.1211,0.0126,0.4211,0.0152,0.3724,0.0143,0.2830,0.0188,0.6333,0.0194,0.4394,0.0235,35
ensemble_uncertainty_gating,single_sensor_shift,4,0.5946,0.0206,0.2082,0.0227,0.1320,0.0170,0.4065,0.0165,0.3558,0.0151,0.2704,0.0143,0.6371,0.0201,0.4379,0.0225,35
ensemble_uncertainty_gating,single_sensor_shift,5,0.5888,0.0189,0.2000,0.0278,0.1241,0.0163,0.4122,0.0146,0.3704,0.0197,0.2922,0.0149,0.6322,0.0201,0.4363,0.0239,35
ensemble_uncertainty_gating,single_sensor_shift,6,0.5748,0.0169,0.1864,0.0273,0.1194,0.0145,0.4058,0.0155,0.3554,0.0205,0.2741,0.0124,0.6317,0.0172,0.4346,0.0229,35
independent_fault_detectors,combined_stress,0,0.5112,0.0183,0.2612,0.0268,0.1639,0.0214,0.4357,0.0182,0.2636,0.0108,0.3218,0.0190,0.8596,0.0247,0.5477,0.0304,35
independent_fault_detectors,combined_stress,1,0.5048,0.0200,0.2636,0.0257,0.1905,0.0208,0.4248,0.0147,0.2650,0.0147,0.3340,0.0199,0.8556,0.0258,0.5492,0.0303,35
independent_fault_detectors,combined_stress,2,0.4969,0.0194,0.2524,0.0322,0.1694,0.0223,0.4316,0.0184,0.2724,0.0144,0.3197,0.0158,0.8599,0.0243,0.5522,0.0313,35
independent_fault_detectors,combined_stress,3,0.5020,0.0209,0.2731,0.0300,0.1670,0.0155,0.4473,0.0197,0.2850,0.0153,0.3252,0.0130,0.8608,0.0273,0.5493,0.0309,35
independent_fault_detectors,combined_stress,4,0.4888,0.0192,0.2684,0.0295,0.1735,0.0205,0.4337,0.0181,0.2653,0.0163,0.3378,0.0155,0.8600,0.0245,0.5520,0.0301,35
independent_fault_detectors,combined_stress,5,0.5139,0.0169,0.2551,0.0296,0.1697,0.0230,0.4374,0.0182,0.2626,0.0159,0.3259,0.0166,0.8631,0.0255,0.5486,0.0310,35
independent_fault_detectors,combined_stress,6,0.4997,0.0243,0.2571,0.0294,0.1878,0.0183,0.4347,0.0217,0.2585,0.0137,0.3238,0.0158,0.8585,0.0255,0.5517,0.0309,35
independent_fault_detectors,delayed_sensor_recovery,0,0.5323,0.0193,0.2245,0.0240,0.1578,0.0147,0.4677,0.0201,0.2901,0.0178,0.2820,0.0175,0.8631,0.0202,0.5092,0.0242,35
independent_fault_detectors,delayed_sensor_recovery,1,0.5320,0.0190,0.2207,0.0271,0.1612,0.0179,0.4670,0.0198,0.2922,0.0224,0.3044,0.0180,0.8685,0.0190,0.5064,0.0245,35
independent_fault_detectors,delayed_sensor_recovery,2,0.5415,0.0215,0.2139,0.0212,0.1507,0.0198,0.4344,0.0179,0.3020,0.0149,0.2762,0.0181,0.8651,0.0208,0.5075,0.0249,35
independent_fault_detectors,delayed_sensor_recovery,3,0.5330,0.0185,0.2190,0.0240,0.1639,0.0154,0.4361,0.0173,0.2837,0.0177,0.3020,0.0175,0.8691,0.0222,0.5079,0.0254,35
independent_fault_detectors,delayed_sensor_recovery,4,0.5350,0.0190,0.2276,0.0269,0.1544,0.0190,0.4609,0.0151,0.2813,0.0148,0.2990,0.0149,0.8661,0.0211,0.5079,0.0247,35
independent_fault_detectors,delayed_sensor_recovery,5,0.5503,0.0231,0.2330,0.0283,0.1619,0.0158,0.4803,0.0170,0.3109,0.0172,0.2942,0.0183,0.8738,0.0198,0.5089,0.0246,35
independent_fault_detectors,delayed_sensor_recovery,6,0.5371,0.0221,0.2238,0.0243,0.1456,0.0173,0.4616,0.0171,0.2833,0.0195,0.2973,0.0138,0.8670,0.0190,0.5057,0.0246,35
independent_fault_detectors,nominal,0,0.6337,0.0200,0.1711,0.0221,0.1177,0.0135,0.5112,0.0186,0.3650,0.0149,0.2327,0.0151,0.6122,0.0139,0.3792,0.0185,35
independent_fault_detectors,nominal,1,0.6245,0.0173,0.1752,0.0222,0.1116,0.0127,0.5095,0.0175,0.3599,0.0149,0.2327,0.0163,0.6092,0.0127,0.3811,0.0178,35
independent_fault_detectors,nominal,2,0.6316,0.0151,0.1728,0.0216,0.1245,0.0128,0.5296,0.0225,0.3741,0.0159,0.2214,0.0157,0.6142,0.0141,0.3810,0.0173,35
independent_fault_detectors,nominal,3,0.6224,0.0172,0.1660,0.0214,0.1153,0.0137,0.5139,0.0187,0.3463,0.0166,0.2184,0.0180,0.6082,0.0140,0.3804,0.0179,35
independent_fault_detectors,nominal,4,0.6133,0.0202,0.1656,0.0178,0.1037,0.0120,0.5054,0.0199,0.3435,0.0180,0.2143,0.0154,0.6093,0.0152,0.3798,0.0174,35
independent_fault_detectors,nominal,5,0.6354,0.0193,0.1650,0.0208,0.1112,0.0140,0.5119,0.0177,0.3541,0.0226,0.2221,0.0138,0.6086,0.0144,0.3804,0.0176,35
independent_fault_detectors,nominal,6,0.6374,0.0174,0.1755,0.0168,0.1272,0.0110,0.5231,0.0187,0.3493,0.0154,0.2224,0.0146,0.6025,0.0145,0.3786,0.0173,35
independent_fault_detectors,paired_sensor_shift,0,0.5534,0.0184,0.2269,0.0326,0.1517,0.0165,0.4935,0.0196,0.2816,0.0199,0.3099,0.0172,0.6945,0.0206,0.4795,0.0261,35
independent_fault_detectors,paired_sensor_shift,1,0.5466,0.0157,0.2306,0.0311,0.1541,0.0178,0.4878,0.0186,0.2963,0.0166,0.2881,0.0154,0.7008,0.0236,0.4820,0.0264,35
