method,split,rows,success,ci95_success,safety_violation,ci95_safety_violation,damage,ci95_damage,fault_f1,ci95_fault_f1,interaction_f1,ci95_interaction_f1,missed_fault,ci95_missed_fault,false_isolation,ci95_false_isolation,recovery_latency,ci95_recovery_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
conformal_sensor_reliability_filter,nominal,480,0.64583,0.01756,0.08924,0.01027,0.05417,0.00865,0.44514,0.01755,0.41076,0.01807,0.19861,0.01478,0.00590,0.00276,0.58139,0.00421,0.00200,0.00000,0.26169,0.00241,0.32807,0.02180
conformal_sensor_reliability_filter,paired_sensor_shift,480,0.57292,0.01813,0.16771,0.01546,0.10486,0.01164,0.42743,0.01890,0.31354,0.01675,0.25104,0.01592,0.06181,0.00872,0.67101,0.00645,0.00360,0.00022,0.32125,0.00300,0.08434,0.02864
conformal_sensor_reliability_filter,recovery_latency_shift,480,0.53194,0.01808,0.18507,0.01476,0.11736,0.01249,0.41007,0.01867,0.29861,0.01775,0.26701,0.01678,0.06771,0.00958,0.81772,0.00803,0.01236,0.00082,0.34317,0.00367,-0.01740,0.02703
conformal_sensor_reliability_filter,single_sensor_shift,480,0.61285,0.01733,0.16424,0.01347,0.09167,0.01087,0.39931,0.01842,0.41076,0.01797,0.24236,0.01576,0.01806,0.00511,0.63794,0.00542,0.00200,0.00000,0.30119,0.00261,0.15767,0.02585
ensemble_uncertainty_gating,combined_extreme,480,0.49410,0.01829,0.25486,0.01766,0.16076,0.01363,0.36042,0.01827,0.27535,0.01703,0.32153,0.01715,0.15174,0.01340,0.81061,0.00816,0.10153,0.00130,0.37589,0.00421,-0.20376,0.03049
ensemble_uncertainty_gating,delayed_recovery,480,0.57743,0.01825,0.19792,0.01570,0.12153,0.01224,0.41285,0.01688,0.31111,0.01662,0.26701,0.01730,0.07639,0.01018,0.76495,0.00747,0.06089,0.00094,0.33338,0.00326,0.01829,0.02775
ensemble_uncertainty_gating,desynchronization_shift,480,0.53403,0.01883,0.22431,0.01584,0.12431,0.01269,0.40174,0.01813,0.29375,0.01656,0.29479,0.01668,0.10694,0.01137,0.75389,0.00811,0.07520,0.00109,0.35118,0.00374,-0.07068,0.02941
ensemble_uncertainty_gating,false_alarm_shift,480,0.53056,0.01875,0.21667,0.01578,0.12431,0.01232,0.39479,0.01787,0.31076,0.01745,0.29063,0.01693,0.11181,0.01203,0.70724,0.00701,0.07611,0.00112,0.34109,0.00361,-0.05795,0.02898
ensemble_uncertainty_gating,nominal,480,0.64340,0.01820,0.12361,0.01252,0.07743,0.00986,0.44549,0.01660,0.41076,0.01725,0.23299,0.01549,0.02743,0.00594,0.57241,0.00424,0.01552,0.00066,0.27168,0.00256,0.25853,0.02484
ensemble_uncertainty_gating,paired_sensor_shift,480,0.54201,0.01785,0.21667,0.01628,0.13021,0.01310,0.41146,0.01827,0.30243,0.01678,0.28125,0.01591,0.12222,0.01195,0.66259,0.00641,0.06682,0.00098,0.33489,0.00317,-0.04278,0.02747
ensemble_uncertainty_gating,recovery_latency_shift,480,0.52743,0.01771,0.22847,0.01562,0.15139,0.01303,0.37222,0.01763,0.30174,0.01712,0.30799,0.01702,0.11944,0.01237,0.80925,0.00803,0.08204,0.00114,0.35707,0.00384,-0.12084,0.02788
ensemble_uncertainty_gating,single_sensor_shift,480,0.57882,0.01766,0.20694,0.01523,0.11250,0.01155,0.37812,0.01854,0.38368,0.01760,0.25139,0.01553,0.05833,0.00881,0.62928,0.00541,0.05348,0.00090,0.31342,0.00280,0.04993,0.02722
independent_fault_detectors,combined_extreme,480,0.48576,0.01897,0.29826,0.01838,0.16806,0.01409,0.41840,0.01818,0.21458,0.01487,0.30243,0.01624,0.16910,0.01388,0.85923,0.00816,0.12752,0.00130,0.38849,0.00452,-0.26847,0.03315
independent_fault_detectors,delayed_recovery,480,0.55625,0.01885,0.22049,0.01593,0.14896,0.01422,0.45937,0.01790,0.26007,0.01661,0.25868,0.01575,0.10139,0.01133,0.81314,0.00753,0.08690,0.00094,0.34653,0.00361,-0.05828,0.02900
independent_fault_detectors,desynchronization_shift,480,0.52812,0.01712,0.23889,0.01674,0.16215,0.01357,0.44757,0.01840,0.21736,0.01510,0.28021,0.01677,0.11875,0.01208,0.80219,0.00812,0.10135,0.00111,0.36491,0.00412,-0.12687,0.02860
independent_fault_detectors,false_alarm_shift,480,0.53194,0.01851,0.23854,0.01615,0.15174,0.01354,0.43611,0.01832,0.25243,0.01556,0.28125,0.01681,0.12882,0.01219,0.75537,0.00700,0.10204,0.00111,0.35372,0.00393,-0.10895,0.03060
independent_fault_detectors,nominal,480,0.62847,0.01719,0.15243,0.01412,0.08958,0.01067,0.49757,0.01834,0.36285,0.01782,0.20972,0.01577,0.03229,0.00691,0.62140,0.00421,0.04146,0.00067,0.28449,0.00275,0.20318,0.02607
independent_fault_detectors,paired_sensor_shift,480,0.53889,0.01873,0.23819,0.01654,0.15451,0.01350,0.46250,0.01723,0.24653,0.01612,0.25799,0.01648,0.12535,0.01252,0.71179,0.00643,0.09297,0.00098,0.34718,0.00346,-0.08805,0.02999
independent_fault_detectors,recovery_latency_shift,480,0.50208,0.01846,0.26250,0.01712,0.16042,0.01344,0.43542,0.01873,0.24653,0.01467,0.26528,0.01638,0.13785,0.01257,0.85754,0.00806,0.10807,0.00115,0.36982,0.00418,-0.18697,0.02937
independent_fault_detectors,single_sensor_shift,480,0.57083,0.01747,0.20694,0.01526,0.12535,0.01171,0.44271,0.01795,0.31285,0.01696,0.23715,0.01513,0.06042,0.00870,0.67823,0.00546,0.07950,0.00090,0.32410,0.00296,0.03004,0.02818
learned_latent_failure_classifier,combined_extreme,480,0.58924,0.01720,0.24618,0.01618,0.15451,0.01301,0.46771,0.01837,0.45312,0.01786,0.22187,0.01566,0.12535,0.01252,0.71813,0.00820,0.07931,0.00128,0.28137,0.00279,-0.04162,0.02742
learned_latent_failure_classifier,delayed_recovery,480,0.64062,0.01736,0.18507,0.01579,0.11215,0.01147,0.50903,0.01911,0.50556,0.01725,0.19514,0.01496,0.06632,0.00951,0.67223,0.00752,0.03874,0.00095,0.25179,0.00205,0.14334,0.02699
learned_latent_failure_classifier,desynchronization_shift,480,0.62049,0.01808,0.21736,0.01623,0.12847,0.01276,0.50486,0.01817,0.47361,0.01731,0.21424,0.01496,0.09167,0.01053,0.66102,0.00812,0.05325,0.00111,0.26438,0.00237,0.06402,0.02791
learned_latent_failure_classifier,false_alarm_shift,480,0.61493,0.01756,0.19653,0.01581,0.11597,0.01214,0.48993,0.01731,0.52118,0.01842,0.18819,0.01471,0.09861,0.01024,0.61426,0.00699,0.05391,0.00111,0.25744,0.00227,0.10526,0.02858
learned_latent_failure_classifier,nominal,480,0.70833,0.01652,0.11389,0.01203,0.07569,0.01031,0.53785,0.01777,0.60278,0.01776,0.13299,0.01334,0.03507,0.00694,0.47966,0.00416,0.00242,0.00007,0.21019,0.00175,0.37924,0.02336
learned_latent_failure_classifier,paired_sensor_shift,480,0.65312,0.01688,0.20347,0.01616,0.11528,0.01192,0.50625,0.01887,0.50903,0.01775,0.19757,0.01459,0.08333,0.00978,0.57041,0.00642,0.04483,0.00099,0.25138,0.00193,0.14547,0.02659
learned_latent_failure_classifier,recovery_latency_shift,480,0.60972,0.01833,0.22222,0.01555,0.13160,0.01233,0.48160,0.01829,0.47535,0.01764,0.21458,0.01521,0.10312,0.01202,0.71639,0.00802,0.06006,0.00114,0.26818,0.00246,0.03270,0.02719
learned_latent_failure_classifier,single_sensor_shift,480,0.66389,0.01818,0.17674,0.01438,0.10486,0.01115,0.48438,0.01801,0.56979,0.01854,0.18819,0.01455,0.05069,0.00839,0.53692,0.00544,0.03128,0.00089,0.23891,0.00174,0.21094,0.02693
multimodal_mixture_of_experts_router,combined_extreme,480,0.58611,0.01920,0.23715,0.01631,0.13264,0.01285,0.47049,0.01841,0.43889,0.01781,0.22917,0.01633,0.12500,0.01199,0.68949,0.00817,0.07640,0.00128,0.27200,0.00282,-0.01459,0.02985
multimodal_mixture_of_experts_router,delayed_recovery,480,0.65278,0.01748,0.17326,0.01452,0.09931,0.01171,0.51875,0.01789,0.48229,0.01863,0.20660,0.01547,0.06701,0.00887,0.64355,0.00756,0.03582,0.00095,0.24190,0.00206,0.17975,0.02687
multimodal_mixture_of_experts_router,desynchronization_shift,480,0.63264,0.01655,0.19514,0.01477,0.11354,0.01188,0.50486,0.01838,0.45000,0.01757,0.22431,0.01624,0.09062,0.01088,0.63305,0.00809,0.05016,0.00110,0.25435,0.00245,0.11411,0.02527
multimodal_mixture_of_experts_router,false_alarm_shift,480,0.62153,0.01689,0.19236,0.01503,0.11493,0.01137,0.49410,0.01849,0.49479,0.01866,0.20868,0.01496,0.10312,0.01126,0.58592,0.00701,0.05103,0.00111,0.24819,0.00236,0.11450,0.02613
multimodal_mixture_of_experts_router,nominal,480,0.70278,0.01679,0.10972,0.01152,0.06354,0.00942,0.54167,0.01779,0.58958,0.01847,0.16007,0.01332,0.03299,0.00647,0.45127,0.00423,0.00215,0.00003,0.19937,0.00178,0.38487,0.02316
multimodal_mixture_of_experts_router,paired_sensor_shift,480,0.66979,0.01670,0.20104,0.01475,0.10243,0.01160,0.50035,0.01879,0.48750,0.01830,0.22187,0.01474,0.08785,0.01068,0.54261,0.00643,0.04183,0.00099,0.24258,0.00199,0.17136,0.02616
multimodal_mixture_of_experts_router,recovery_latency_shift,480,0.65035,0.01621,0.21389,0.01529,0.10312,0.01134,0.49306,0.01902,0.47014,0.01819,0.23333,0.01654,0.09965,0.01131,0.68782,0.00804,0.05698,0.00114,0.25879,0.00249,0.10545,0.02694
multimodal_mixture_of_experts_router,single_sensor_shift,480,0.67153,0.01685,0.15278,0.01367,0.08576,0.01006,0.50972,0.01839,0.55833,0.01775,0.20278,0.01467,0.05486,0.00829,0.50896,0.00544,0.02841,0.00088,0.22852,0.00180,0.25919,0.02458
nominal_multimodal_policy,combined_extreme,480,0.30104,0.01770,0.34028,0.01835,0.21667,0.01488,0.13924,0.01245,0.05139,0.00852,0.47014,0.01775,0.23646,0.01625,0.99252,0.00816,0.17342,0.00128,0.58144,0.00630,-0.62428,0.03162
nominal_multimodal_policy,delayed_recovery,480,0.39201,0.01860,0.28264,0.01720,0.19097,0.01429,0.16146,0.01315,0.10937,0.01192,0.45660,0.01834,0.14306,0.01308,0.94669,0.00751,0.13282,0.00094,0.51974,0.00520,-0.41288,0.03112
nominal_multimodal_policy,desynchronization_shift,480,0.34653,0.01622,0.29757,0.01722,0.19687,0.01528,0.17500,0.01388,0.08056,0.00987,0.43681,0.01857,0.19583,0.01510,0.93573,0.00811,0.14734,0.00110,0.54446,0.00582,-0.48521,0.02855
nominal_multimodal_policy,false_alarm_shift,480,0.35208,0.01680,0.31562,0.01860,0.18924,0.01449,0.16389,0.01317,0.10972,0.01132,0.45208,0.01891,0.18194,0.01379,0.88883,0.00703,0.14797,0.00111,0.52982,0.00554,-0.48622,0.03024
nominal_multimodal_policy,nominal,480,0.49306,0.01741,0.21424,0.01514,0.14201,0.01264,0.19514,0.01406,0.19062,0.01428,0.40243,0.01727,0.06632,0.00886,0.75428,0.00422,0.08734,0.00068,0.42740,0.00375,-0.12726,0.02733
nominal_multimodal_policy,paired_sensor_shift,480,0.39132,0.01824,0.28646,0.01722,0.21042,0.01482,0.17604,0.01422,0.10451,0.01124,0.45000,0.01829,0.17431,0.01361,0.84479,0.00642,0.13888,0.00097,0.52079,0.00506,-0.42227,0.03016
nominal_multimodal_policy,recovery_latency_shift,480,0.32882,0.01670,0.32708,0.01791,0.21181,0.01434,0.15208,0.01332,0.06701,0.00943,0.44514,0.01868,0.19792,0.01395,0.99098,0.00806,0.15407,0.00113,0.55338,0.00596,-0.55990,0.03190
nominal_multimodal_policy,single_sensor_shift,480,0.42222,0.01926,0.26632,0.01706,0.17813,0.01440,0.15278,0.01287,0.17257,0.01446,0.44062,0.01753,0.10451,0.01103,0.81140,0.00540,0.12545,0.00088,0.49132,0.00434,-0.31696,0.03276
oracle_failure_aware_policy,combined_extreme,480,0.86771,0.01308,0.15035,0.01423,0.06285,0.00916,0.66319,0.01758,0.74410,0.01556,0.06076,0.00957,0.00104,0.00118,0.42056,0.00817,0.00200,0.00000,0.00000,0.00000,0.55368,0.02104
oracle_failure_aware_policy,delayed_recovery,480,0.90417,0.01134,0.09410,0.01136,0.03611,0.00719,0.69653,0.01681,0.80069,0.01454,0.02778,0.00634,0.00104,0.00118,0.37455,0.00745,0.00200,0.00000,0.00000,0.00000,0.69053,0.01708
oracle_failure_aware_policy,desynchronization_shift,480,0.89306,0.01181,0.11215,0.01226,0.03854,0.00787,0.69028,0.01672,0.77535,0.01534,0.02986,0.00683,0.00243,0.00179,0.36393,0.00807,0.00200,0.00000,0.00000,0.00000,0.65878,0.01930
oracle_failure_aware_policy,false_alarm_shift,480,0.88194,0.01228,0.10521,0.01164,0.04063,0.00723,0.69757,0.01724,0.80312,0.01375,0.02639,0.00653,0.00243,0.00179,0.31739,0.00698,0.00200,0.00000,0.00000,0.00000,0.66241,0.01784
oracle_failure_aware_policy,nominal,480,0.91285,0.01077,0.02257,0.00602,0.00625,0.00299,0.73021,0.01531,0.87986,0.01265,0.00208,0.00166,0.00174,0.00152,0.18757,0.00397,0.00200,0.00000,0.00000,0.00000,0.84028,0.01184
oracle_failure_aware_policy,paired_sensor_shift,480,0.89583,0.01141,0.10243,0.01147,0.03681,0.00742,0.68993,0.01682,0.79896,0.01459,0.02569,0.00627,0.00347,0.00213,0.27373,0.00635,0.00200,0.00000,0.00000,0.00000,0.68981,0.01758
oracle_failure_aware_policy,recovery_latency_shift,480,0.87431,0.01228,0.11597,0.01295,0.04687,0.00797,0.68472,0.01710,0.76181,0.01585,0.04861,0.00891,0.00382,0.00223,0.41941,0.00807,0.00200,0.00000,0.00000,0.00000,0.61368,0.02002
oracle_failure_aware_policy,single_sensor_shift,480,0.90104,0.01168,0.08160,0.01064,0.02812,0.00622,0.67396,0.01782,0.86215,0.01208,0.01528,0.00510,0.00417,0.00233,0.24053,0.00531,0.00200,0.00000,0.00000,0.00000,0.73324,0.01697
proposed_sensor_failure_composition_v4,combined_extreme,480,0.68056,0.01762,0.20451,0.01586,0.10347,0.01154,0.51250,0.01825,0.53368,0.01817,0.18125,0.01400,0.08021,0.01037,0.59812,0.00814,0.04725,0.00129,0.20406,0.00190,0.18322,0.02767
proposed_sensor_failure_composition_v4,delayed_recovery,480,0.71111,0.01669,0.15660,0.01428,0.07951,0.01033,0.54201,0.01881,0.60833,0.01648,0.14549,0.01378,0.04132,0.00713,0.55179,0.00752,0.00960,0.00063,0.18164,0.00129,0.31575,0.02402
proposed_sensor_failure_composition_v4,desynchronization_shift,480,0.71424,0.01629,0.17431,0.01488,0.08438,0.01010,0.56042,0.01879,0.55694,0.01841,0.14826,0.01358,0.06458,0.00898,0.54123,0.00810,0.02124,0.00106,0.19060,0.00152,0.29032,0.02415
proposed_sensor_failure_composition_v4,false_alarm_shift,480,0.69028,0.01748,0.17188,0.01410,0.09062,0.01071,0.54479,0.01803,0.59132,0.01806,0.15035,0.01373,0.06701,0.00952,0.49457,0.00702,0.02216,0.00109,0.18708,0.00152,0.27052,0.02568
proposed_sensor_failure_composition_v4,nominal,480,0.75174,0.01565,0.07708,0.01076,0.03438,0.00670,0.58611,0.01903,0.68924,0.01764,0.10000,0.01155,0.00868,0.00345,0.36013,0.00421,0.00200,0.00000,0.15183,0.00129,0.53385,0.02015
proposed_sensor_failure_composition_v4,paired_sensor_shift,480,0.70937,0.01768,0.16667,0.01432,0.08576,0.01090,0.54444,0.01774,0.59201,0.01869,0.14931,0.01336,0.04340,0.00760,0.45095,0.00645,0.01392,0.00084,0.18226,0.00127,0.31320,0.02524
proposed_sensor_failure_composition_v4,recovery_latency_shift,480,0.69375,0.01744,0.17639,0.01446,0.08681,0.01010,0.53819,0.01867,0.55729,0.01795,0.17049,0.01350,0.07187,0.00963,0.59662,0.00806,0.02788,0.00114,0.19449,0.00160,0.24730,0.02531
proposed_sensor_failure_composition_v4,single_sensor_shift,480,0.74167,0.01512,0.13264,0.01252,0.07257,0.00919,0.52153,0.01761,0.64931,0.01798,0.13958,0.01351,0.02917,0.00651,0.41685,0.00546,0.00514,0.00034,0.17312,0.00122,0.40581,0.02131
risk_aware_sensor_reconfiguration,combined_extreme,480,0.62813,0.01860,0.21528,0.01534,0.09167,0.01087,0.47326,0.01801,0.44826,0.01857,0.22153,0.01545,0.09896,0.01135,0.64490,0.00817,0.04379,0.00127,0.24964,0.00251,0.10205,0.02840
risk_aware_sensor_reconfiguration,delayed_recovery,480,0.68160,0.01714,0.15590,0.01456,0.08229,0.01064,0.50382,0.01901,0.50243,0.01862,0.17188,0.01417,0.05069,0.00850,0.59921,0.00755,0.00758,0.00052,0.22065,0.00180,0.26412,0.02618
risk_aware_sensor_reconfiguration,desynchronization_shift,480,0.65694,0.01780,0.16736,0.01419,0.09097,0.01066,0.50035,0.01778,0.44826,0.01722,0.21042,0.01537,0.07535,0.00985,0.58780,0.00811,0.01833,0.00103,0.23216,0.00212,0.20368,0.02671
risk_aware_sensor_reconfiguration,false_alarm_shift,480,0.64792,0.01774,0.15868,0.01409,0.07986,0.01005,0.49132,0.01817,0.49514,0.01843,0.19097,0.01574,0.08611,0.01077,0.54146,0.00701,0.01895,0.00104,0.22742,0.00209,0.22422,0.02742
risk_aware_sensor_reconfiguration,nominal,480,0.72465,0.01711,0.07014,0.01022,0.03958,0.00724,0.53681,0.01801,0.59167,0.01653,0.12812,0.01210,0.01562,0.00456,0.40708,0.00421,0.00200,0.00000,0.18084,0.00162,0.48941,0.02175
risk_aware_sensor_reconfiguration,paired_sensor_shift,480,0.67535,0.01744,0.16215,0.01494,0.08368,0.01051,0.50243,0.01864,0.48056,0.01755,0.19201,0.01514,0.08229,0.01060,0.49763,0.00643,0.01134,0.00073,0.22203,0.00176,0.25336,0.02589
risk_aware_sensor_reconfiguration,recovery_latency_shift,480,0.65486,0.01723,0.18229,0.01488,0.08750,0.01139,0.48750,0.01717,0.47431,0.01834,0.20035,0.01415,0.08715,0.01059,0.64337,0.00806,0.02464,0.00113,0.23640,0.00220,0.17862,0.02682
risk_aware_sensor_reconfiguration,single_sensor_shift,480,0.70417,0.01718,0.12431,0.01323,0.06840,0.00988,0.48056,0.01797,0.54861,0.01775,0.18229,0.01424,0.03160,0.00660,0.46443,0.00543,0.00387,0.00024,0.20914,0.00160,0.35683,0.02331
risk_calibrated_sensor_composition_v5,combined_extreme,480,0.78021,0.01572,0.16007,0.01380,0.06979,0.00961,0.58090,0.01823,0.65799,0.01781,0.11875,0.01208,0.00868,0.00345,0.49428,0.00821,0.00226,0.00006,0.09339,0.00086,0.41571,0.02261
risk_calibrated_sensor_composition_v5,delayed_recovery,480,0.80799,0.01474,0.11389,0.01249,0.05556,0.00858,0.63160,0.01734,0.70729,0.01630,0.07743,0.01041,0.00208,0.00166,0.44871,0.00753,0.00200,0.00000,0.08082,0.00095,0.52678,0.02012
risk_calibrated_sensor_composition_v5,desynchronization_shift,480,0.78646,0.01639,0.13437,0.01319,0.05174,0.00901,0.61806,0.01862,0.68924,0.01724,0.09236,0.01087,0.00382,0.00223,0.43731,0.00808,0.00200,0.00000,0.08551,0.00081,0.48330,0.02242
risk_calibrated_sensor_composition_v5,false_alarm_shift,480,0.78715,0.01545,0.12604,0.01346,0.05417,0.00865,0.61944,0.01778,0.71910,0.01734,0.09028,0.01134,0.00729,0.00320,0.39057,0.00704,0.00200,0.00000,0.08469,0.00076,0.49874,0.02091
risk_calibrated_sensor_composition_v5,nominal,480,0.82812,0.01370,0.03160,0.00645,0.01076,0.00379,0.65903,0.01788,0.80486,0.01458,0.02917,0.00607,0.00069,0.00096,0.25575,0.00417,0.00200,0.00000,0.06824,0.00077,0.72014,0.01503
risk_calibrated_sensor_composition_v5,paired_sensor_shift,480,0.80625,0.01537,0.12500,0.01285,0.04896,0.00816,0.61979,0.01783,0.70660,0.01640,0.08542,0.01055,0.00278,0.00191,0.34651,0.00642,0.00200,0.00000,0.08207,0.00087,0.53327,0.02136
risk_calibrated_sensor_composition_v5,recovery_latency_shift,480,0.79757,0.01497,0.13194,0.01288,0.06424,0.00903,0.58194,0.01813,0.68194,0.01626,0.10000,0.01159,0.00590,0.00292,0.49223,0.00802,0.00200,0.00000,0.08759,0.00078,0.47466,0.02169
risk_calibrated_sensor_composition_v5,single_sensor_shift,480,0.83368,0.01404,0.10312,0.01151,0.03924,0.00722,0.60486,0.01800,0.77222,0.01526,0.06771,0.00948,0.00278,0.00191,0.31289,0.00540,0.00200,0.00000,0.07864,0.00077,0.60332,0.02031
robust_single_worst_sensor_policy,combined_extreme,480,0.49792,0.01841,0.24375,0.01643,0.13715,0.01324,0.41563,0.01734,0.24201,0.01558,0.30729,0.01668,0.17986,0.01469,0.81758,0.00821,0.11029,0.00129,0.37707,0.00413,-0.17786,0.02946
robust_single_worst_sensor_policy,delayed_recovery,480,0.57639,0.01781,0.17604,0.01476,0.09549,0.01114,0.44549,0.01758,0.29514,0.01636,0.27465,0.01603,0.09514,0.01093,0.77153,0.00749,0.06976,0.00094,0.33584,0.00328,0.04869,0.02692
robust_single_worst_sensor_policy,desynchronization_shift,480,0.53403,0.01848,0.20069,0.01606,0.10694,0.01149,0.44167,0.01709,0.25069,0.01577,0.29097,0.01631,0.12535,0.01222,0.76116,0.00806,0.08426,0.00110,0.35403,0.00374,-0.04109,0.02851
robust_single_worst_sensor_policy,false_alarm_shift,480,0.52708,0.01765,0.19097,0.01514,0.09514,0.01081,0.45347,0.01959,0.28681,0.01681,0.28819,0.01667,0.13715,0.01196,0.71435,0.00704,0.08509,0.00111,0.34322,0.00360,-0.02195,0.02773
robust_single_worst_sensor_policy,nominal,480,0.63194,0.01744,0.09410,0.01094,0.05417,0.00827,0.51146,0.01852,0.39201,0.01838,0.23264,0.01456,0.04236,0.00718,0.58004,0.00416,0.02432,0.00066,0.27510,0.00249,0.28763,0.02374
