method,split,rows,success,ci95_success,safety_violation,ci95_safety_violation,damage,ci95_damage,fault_f1,ci95_fault_f1,interaction_f1,ci95_interaction_f1,missed_fault,ci95_missed_fault,false_isolation,ci95_false_isolation,recovery_latency,ci95_recovery_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
bayesian_sensor_fusion_monitor,combined_extreme,480,0.57569,0.01842,0.23299,0.01656,0.14479,0.01340,0.47813,0.01806,0.40521,0.01747,0.24271,0.01567,0.13889,0.01308,0.73484,0.00817,0.05781,0.00127,0.29985,0.00319,-0.04178,0.02820
bayesian_sensor_fusion_monitor,delayed_recovery,480,0.64132,0.01782,0.18472,0.01533,0.10417,0.01169,0.48750,0.01842,0.44965,0.01744,0.20972,0.01559,0.07674,0.01009,0.68907,0.00754,0.01749,0.00089,0.26741,0.00237,0.14470,0.02619
bayesian_sensor_fusion_monitor,desynchronization_shift,480,0.60938,0.01761,0.20556,0.01609,0.10660,0.01149,0.49410,0.01689,0.41771,0.01776,0.22708,0.01482,0.09792,0.01132,0.67818,0.00811,0.03172,0.00110,0.28115,0.00280,0.07883,0.02712
bayesian_sensor_fusion_monitor,false_alarm_shift,480,0.60417,0.01780,0.18264,0.01562,0.11424,0.01179,0.48576,0.01742,0.46111,0.01853,0.21250,0.01520,0.10868,0.01158,0.63104,0.00705,0.03228,0.00111,0.27364,0.00268,0.10187,0.02945
bayesian_sensor_fusion_monitor,nominal,480,0.68993,0.01723,0.09375,0.01136,0.06563,0.00931,0.55243,0.01827,0.55208,0.01875,0.15313,0.01393,0.03715,0.00685,0.49713,0.00421,0.00200,0.00000,0.22100,0.00199,0.38336,0.02217
bayesian_sensor_fusion_monitor,paired_sensor_shift,480,0.63924,0.01740,0.20694,0.01511,0.10972,0.01164,0.49236,0.01827,0.45382,0.01753,0.20556,0.01499,0.09896,0.01090,0.58740,0.00643,0.02320,0.00098,0.26759,0.00228,0.12687,0.02642
bayesian_sensor_fusion_monitor,recovery_latency_shift,480,0.60278,0.01739,0.21076,0.01640,0.12222,0.01222,0.48715,0.01813,0.41319,0.01848,0.23681,0.01651,0.10174,0.01090,0.73362,0.00806,0.03854,0.00113,0.28560,0.00286,0.04006,0.02870
bayesian_sensor_fusion_monitor,single_sensor_shift,480,0.66215,0.01803,0.15660,0.01428,0.08854,0.01050,0.47778,0.01742,0.51319,0.01767,0.21875,0.01537,0.05937,0.00867,0.55383,0.00540,0.01145,0.00069,0.25200,0.00204,0.23360,0.02533
causal_sensor_graph_monitor,combined_extreme,480,0.59549,0.01817,0.23785,0.01654,0.13924,0.01230,0.45625,0.01947,0.49340,0.01813,0.22535,0.01637,0.11667,0.01182,0.68956,0.00815,0.06626,0.00129,0.26999,0.00251,-0.00653,0.02775
causal_sensor_graph_monitor,delayed_recovery,480,0.65521,0.01724,0.17326,0.01403,0.10451,0.01145,0.48299,0.01777,0.54097,0.01809,0.19375,0.01485,0.06562,0.00869,0.64345,0.00754,0.02568,0.00095,0.24155,0.00180,0.18382,0.02556
causal_sensor_graph_monitor,desynchronization_shift,480,0.62674,0.01820,0.19375,0.01525,0.10868,0.01178,0.47431,0.01913,0.50069,0.01900,0.21736,0.01514,0.08264,0.00983,0.63263,0.00807,0.04011,0.00109,0.25323,0.00212,0.11947,0.02729
causal_sensor_graph_monitor,false_alarm_shift,480,0.63160,0.01840,0.19931,0.01486,0.09688,0.01121,0.49792,0.01805,0.55000,0.01788,0.19340,0.01440,0.09583,0.01105,0.58579,0.00703,0.04093,0.00113,0.24790,0.00207,0.13994,0.02604
causal_sensor_graph_monitor,nominal,480,0.69063,0.01746,0.09375,0.01132,0.06042,0.00848,0.53438,0.01803,0.61424,0.01690,0.15035,0.01318,0.03368,0.00665,0.45153,0.00423,0.00200,0.00000,0.20305,0.00165,0.39625,0.02320
causal_sensor_graph_monitor,paired_sensor_shift,480,0.66181,0.01715,0.18299,0.01471,0.10069,0.01150,0.50139,0.01843,0.53993,0.01812,0.19167,0.01444,0.07882,0.00967,0.54141,0.00648,0.03170,0.00099,0.24168,0.00173,0.19743,0.02672
causal_sensor_graph_monitor,recovery_latency_shift,480,0.62396,0.01784,0.21701,0.01573,0.11285,0.01178,0.47083,0.01747,0.50799,0.01830,0.20486,0.01575,0.09618,0.01062,0.68786,0.00805,0.04695,0.00114,0.25708,0.00218,0.07878,0.02687
causal_sensor_graph_monitor,single_sensor_shift,480,0.66042,0.01679,0.15868,0.01416,0.08681,0.01064,0.48368,0.01782,0.59340,0.01772,0.18090,0.01409,0.05208,0.00826,0.50838,0.00540,0.01842,0.00087,0.23057,0.00158,0.24988,0.02465
conformal_sensor_reliability_filter,combined_extreme,480,0.51007,0.01919,0.22639,0.01604,0.13646,0.01210,0.38194,0.01804,0.28993,0.01566,0.27361,0.01664,0.09931,0.01143,0.81879,0.00814,0.02873,0.00129,0.36109,0.00398,-0.11045,0.02927
conformal_sensor_reliability_filter,delayed_recovery,480,0.56771,0.01840,0.17674,0.01513,0.08299,0.01010,0.42951,0.01809,0.33819,0.01731,0.25035,0.01580,0.04167,0.00752,0.77334,0.00751,0.00227,0.00006,0.32045,0.00312,0.07505,0.02723
conformal_sensor_reliability_filter,desynchronization_shift,480,0.54271,0.01880,0.19514,0.01574,0.10382,0.01104,0.41389,0.01771,0.28854,0.01630,0.26562,0.01674,0.05625,0.00860,0.76212,0.00812,0.00788,0.00056,0.33756,0.00358,0.00653,0.02889
conformal_sensor_reliability_filter,false_alarm_shift,480,0.55347,0.01788,0.17917,0.01444,0.10035,0.01146,0.39931,0.01864,0.33542,0.01726,0.24514,0.01626,0.06563,0.00936,0.71527,0.00702,0.00837,0.00059,0.32774,0.00349,0.04921,0.02693
