method,risk_budget,seed,rows,success,ci95_success,safety_violation,ci95_safety_violation,damage,ci95_damage,fault_f1,ci95_fault_f1,interaction_f1,ci95_interaction_f1,missed_fault,ci95_missed_fault,false_isolation,ci95_false_isolation,recovery_latency,ci95_recovery_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,covered,ci95_covered
bayesian_sensor_fusion_monitor,0.08000,0,576,0.01562,0.01014,0.00000,0.00000,0.00000,0.00000,0.01389,0.00957,0.01389,0.00957,0.01389,0.00957,0.03125,0.01422,0.03600,0.01644,0.00758,0.00360,0.00898,0.00413,-0.00307,0.00711,0.03125,0.01422
bayesian_sensor_fusion_monitor,0.08000,1,576,0.01389,0.00957,0.00000,0.00000,0.00000,0.00000,0.00868,0.00758,0.00347,0.00481,0.00521,0.00588,0.02083,0.01167,0.02509,0.01409,0.00594,0.00338,0.00647,0.00364,0.00239,0.00524,0.02083,0.01167
bayesian_sensor_fusion_monitor,0.08000,2,576,0.01042,0.00830,0.00000,0.00000,0.00000,0.00000,0.00347,0.00481,0.00868,0.00758,0.00347,0.00481,0.01562,0.01014,0.01823,0.01185,0.00408,0.00272,0.00454,0.00295,0.00205,0.00537,0.01562,0.01014
bayesian_sensor_fusion_monitor,0.08000,3,576,0.01042,0.00830,0.00000,0.00000,0.00000,0.00000,0.00868,0.00758,0.00521,0.00588,0.00694,0.00679,0.01389,0.00957,0.01641,0.01134,0.00345,0.00245,0.00421,0.00292,0.00180,0.00471,0.01389,0.00957
bayesian_sensor_fusion_monitor,0.08000,4,576,0.01910,0.01119,0.00000,0.00000,0.00000,0.00000,0.01562,0.01014,0.01389,0.00957,0.00694,0.00679,0.02951,0.01383,0.03422,0.01609,0.00699,0.00339,0.00853,0.00403,0.00327,0.00734,0.02951,0.01383
bayesian_sensor_fusion_monitor,0.08000,5,576,0.01736,0.01068,0.00000,0.00000,0.00000,0.00000,0.00868,0.00758,0.00347,0.00481,0.00694,0.00679,0.02083,0.01167,0.02337,0.01313,0.00432,0.00252,0.00586,0.00331,0.00575,0.00588,0.02083,0.01167
bayesian_sensor_fusion_monitor,0.08000,6,576,0.00694,0.00679,0.00000,0.00000,0.00000,0.00000,0.01215,0.00896,0.00868,0.00758,0.00174,0.00340,0.02257,0.01214,0.02602,0.01404,0.00503,0.00273,0.00662,0.00358,-0.00404,0.00574,0.02257,0.01214
bayesian_sensor_fusion_monitor,0.08000,7,576,0.01910,0.01119,0.00000,0.00000,0.00000,0.00000,0.00521,0.00588,0.00868,0.00758,0.00347,0.00481,0.02431,0.01259,0.02816,0.01463,0.00592,0.00319,0.00705,0.00368,0.00673,0.00611,0.02431,0.01259
bayesian_sensor_fusion_monitor,0.08000,8,576,0.01215,0.00896,0.00000,0.00000,0.00000,0.00000,0.01562,0.01014,0.01736,0.01068,0.00347,0.00481,0.02951,0.01383,0.03383,0.01591,0.00742,0.00361,0.00863,0.00407,-0.00260,0.00659,0.02951,0.01383
bayesian_sensor_fusion_monitor,0.08000,9,576,0.01042,0.00830,0.00000,0.00000,0.00000,0.00000,0.00347,0.00481,0.00174,0.00340,0.00347,0.00481,0.01389,0.00957,0.01588,0.01095,0.00325,0.00231,0.00397,0.00276,0.00295,0.00438,0.01389,0.00957
bayesian_sensor_fusion_monitor,0.12000,0,576,0.01215,0.00896,0.00000,0.00000,0.00000,0.00000,0.01389,0.00957,0.00868,0.00758,0.00174,0.00340,0.02257,0.01214,0.02616,0.01412,0.00503,0.00280,0.00657,0.00356,0.00115,0.00603,0.02257,0.01214
bayesian_sensor_fusion_monitor,0.12000,1,576,0.00694,0.00679,0.00000,0.00000,0.00000,0.00000,0.01042,0.00830,0.00521,0.00588,0.00347,0.00481,0.01910,0.01119,0.02184,0.01284,0.00443,0.00267,0.00531,0.00312,-0.00293,0.00623,0.01910,0.01119
bayesian_sensor_fusion_monitor,0.12000,2,576,0.01736,0.01068,0.00000,0.00000,0.00000,0.00000,0.01042,0.00830,0.01042,0.00830,0.00521,0.00588,0.01736,0.01068,0.01922,0.01184,0.00364,0.00232,0.00477,0.00295,0.00790,0.00506,0.01736,0.01068
bayesian_sensor_fusion_monitor,0.12000,3,576,0.02257,0.01214,0.00000,0.00000,0.00000,0.00000,0.01736,0.01068,0.01215,0.00896,0.01215,0.00896,0.03646,0.01532,0.04231,0.01785,0.00881,0.00384,0.01073,0.00456,0.00193,0.00779,0.03646,0.01532
bayesian_sensor_fusion_monitor,0.12000,4,576,0.01215,0.00896,0.00000,0.00000,0.00000,0.00000,0.01215,0.00896,0.00174,0.00340,0.00868,0.00758,0.02431,0.01259,0.02891,0.01502,0.00623,0.00332,0.00727,0.00380,-0.00193,0.00687,0.02431,0.01259
bayesian_sensor_fusion_monitor,0.12000,5,576,0.00694,0.00679,0.00000,0.00000,0.00000,0.00000,0.00521,0.00588,0.00347,0.00481,0.00000,0.00000,0.01042,0.00830,0.01182,0.00946,0.00249,0.00205,0.00301,0.00242,0.00214,0.00433,0.01042,0.00830
bayesian_sensor_fusion_monitor,0.12000,6,576,0.01042,0.00830,0.00000,0.00000,0.00000,0.00000,0.01042,0.00830,0.01215,0.00896,0.00521,0.00588,0.02604,0.01302,0.03073,0.01542,0.00678,0.00351,0.00779,0.00394,-0.00341,0.00643,0.02604,0.01302
bayesian_sensor_fusion_monitor,0.12000,7,576,0.01389,0.00957,0.00000,0.00000,0.00000,0.00000,0.01215,0.00896,0.00694,0.00679,0.00694,0.00679,0.02257,0.01214,0.02666,0.01438,0.00586,0.00327,0.00692,0.00375,0.00117,0.00649,0.02257,0.01214
bayesian_sensor_fusion_monitor,0.12000,8,576,0.01736,0.01068,0.00000,0.00000,0.00000,0.00000,0.00868,0.00758,0.01042,0.00830,0.00521,0.00588,0.02257,0.01214,0.02640,0.01423,0.00519,0.00291,0.00686,0.00372,0.00526,0.00640,0.02257,0.01214
bayesian_sensor_fusion_monitor,0.12000,9,576,0.01562,0.01014,0.00000,0.00000,0.00000,0.00000,0.01215,0.00896,0.01389,0.00957,0.00347,0.00481,0.02951,0.01383,0.03501,0.01646,0.00703,0.00339,0.00873,0.00413,0.00070,0.00707,0.02951,0.01383
bayesian_sensor_fusion_monitor,0.16000,0,576,0.05382,0.01845,0.00868,0.00758,0.00694,0.00679,0.05208,0.01816,0.03472,0.01496,0.01736,0.01068,0.02604,0.01302,0.07363,0.01867,0.00640,0.00257,0.02552,0.00626,0.01312,0.01771,0.10069,0.02460
bayesian_sensor_fusion_monitor,0.16000,1,576,0.06076,0.01953,0.01215,0.00896,0.00694,0.00679,0.05208,0.01816,0.04861,0.01758,0.01910,0.01119,0.03125,0.01422,0.07494,0.01914,0.00716,0.00301,0.02601,0.00640,0.01427,0.01868,0.10069,0.02460
bayesian_sensor_fusion_monitor,0.16000,2,576,0.05382,0.01845,0.01215,0.00896,0.00694,0.00679,0.05382,0.01845,0.03993,0.01600,0.00694,0.00679,0.02604,0.01302,0.07712,0.01901,0.00632,0.00247,0.02718,0.00648,0.01184,0.01839,0.10590,0.02515
bayesian_sensor_fusion_monitor,0.16000,3,576,0.05729,0.01900,0.01042,0.00830,0.00174,0.00340,0.06597,0.02029,0.03819,0.01567,0.02604,0.01302,0.02431,0.01259,0.07589,0.01919,0.00751,0.00320,0.02650,0.00646,0.01632,0.01604,0.10243,0.02478
bayesian_sensor_fusion_monitor,0.16000,4,576,0.05903,0.01926,0.00694,0.00679,0.00694,0.00679,0.04514,0.01697,0.02604,0.01302,0.01389,0.00957,0.03819,0.01567,0.08173,0.02036,0.00873,0.00340,0.02746,0.00656,0.01672,0.01571,0.10590,0.02515
bayesian_sensor_fusion_monitor,0.16000,5,576,0.05556,0.01872,0.01042,0.00830,0.00347,0.00481,0.05382,0.01845,0.03472,0.01496,0.01910,0.01119,0.02431,0.01259,0.07127,0.01819,0.00576,0.00254,0.02510,0.00623,0.01619,0.01897,0.09896,0.02441
bayesian_sensor_fusion_monitor,0.16000,6,576,0.05903,0.01926,0.00347,0.00481,0.00694,0.00679,0.06076,0.01953,0.03993,0.01600,0.01736,0.01068,0.02778,0.01343,0.07689,0.01971,0.00787,0.00323,0.02651,0.00653,0.02288,0.01629,0.10069,0.02460
bayesian_sensor_fusion_monitor,0.16000,7,576,0.04340,0.01666,0.01042,0.00830,0.01042,0.00830,0.04688,0.01728,0.04688,0.01728,0.02431,0.01259,0.02257,0.01214,0.06468,0.01738,0.00521,0.00238,0.02283,0.00595,-0.00154,0.01790,0.09028,0.02342
bayesian_sensor_fusion_monitor,0.16000,8,576,0.04340,0.01666,0.00868,0.00758,0.00174,0.00340,0.03646,0.01532,0.02778,0.01343,0.01736,0.01068,0.02083,0.01167,0.06293,0.01739,0.00525,0.00255,0.02212,0.00592,0.01029,0.01679,0.08681,0.02301
bayesian_sensor_fusion_monitor,0.16000,9,576,0.05903,0.01926,0.01389,0.00957,0.00174,0.00340,0.06250,0.01979,0.03299,0.01460,0.01215,0.00896,0.03646,0.01532,0.07808,0.01980,0.00748,0.00310,0.02643,0.00644,0.01518,0.01896,0.10243,0.02478
bayesian_sensor_fusion_monitor,0.20000,0,576,0.16493,0.03033,0.04688,0.01728,0.03993,0.01600,0.14236,0.02856,0.12847,0.02735,0.05208,0.01816,0.05035,0.01787,0.20949,0.02545,0.01231,0.00222,0.08213,0.00991,0.01359,0.03045,0.31597,0.03800
bayesian_sensor_fusion_monitor,0.20000,1,576,0.19097,0.03213,0.04340,0.01666,0.01910,0.01119,0.16667,0.03046,0.12326,0.02687,0.06076,0.01953,0.05382,0.01845,0.22483,0.02690,0.01570,0.00322,0.08572,0.01005,0.05401,0.03155,0.32986,0.03843
bayesian_sensor_fusion_monitor,0.20000,2,576,0.18229,0.03156,0.03646,0.01532,0.02778,0.01343,0.14062,0.02841,0.13368,0.02782,0.06597,0.02029,0.04861,0.01758,0.21558,0.02682,0.01540,0.00344,0.08190,0.00994,0.04718,0.02998,0.31424,0.03794
bayesian_sensor_fusion_monitor,0.20000,3,576,0.18403,0.03167,0.04688,0.01728,0.02951,0.01383,0.14931,0.02913,0.15104,0.02927,0.07292,0.02125,0.05729,0.01900,0.21543,0.02610,0.01372,0.00270,0.08297,0.00990,0.03214,0.03158,0.32118,0.03817
