case_id,split,task,regime,seed,v5_success,reference_method,reference_success,success_gap,v5_safety_violation,v5_damage,v5_false_isolation,v5_missed_fault,risk_score,lesson
1,desynchronization_shift,deformable_sorting,tactile_deadzone,8,0.16667,proposed_sensor_failure_composition_v4,1.00000,-0.83333,0.50000,0.16667,0.00000,0.00000,1.58450,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
2,desynchronization_shift,grasp_selection_under_occlusion,compositional_multi_sensor,7,0.83333,proposed_sensor_failure_composition_v4,1.00000,-0.16667,0.50000,0.50000,0.00000,0.16667,1.32587,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
3,combined_extreme,deformable_sorting,temporal_desynchronization,4,0.66667,proposed_sensor_failure_composition_v4,1.00000,-0.33333,0.33333,0.33333,0.00000,0.16667,1.18464,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
4,combined_extreme,insertion_alignment_contact,compositional_multi_sensor,1,1.00000,proposed_sensor_failure_composition_v4,1.00000,0.00000,0.83333,0.16667,0.00000,0.16667,1.17793,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
5,combined_extreme,bin_picking_language_goal,temporal_desynchronization,3,0.83333,proposed_sensor_failure_composition_v4,0.83333,0.00000,0.50000,0.50000,0.00000,0.16667,1.16993,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
6,desynchronization_shift,insertion_alignment_contact,force_torque_drift,6,0.66667,proposed_sensor_failure_composition_v4,1.00000,-0.33333,0.50000,0.16667,0.00000,0.16667,1.14490,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
7,combined_extreme,mobile_manip_obstacle_avoidance,depth_scale_holes,1,0.33333,proposed_sensor_failure_composition_v4,0.83333,-0.50000,0.33333,0.16667,0.00000,0.16667,1.14444,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
8,combined_extreme,deformable_sorting,proprioceptive_bias,4,0.33333,proposed_sensor_failure_composition_v4,0.83333,-0.50000,0.33333,0.16667,0.00000,0.16667,1.14094,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
9,recovery_latency_shift,tool_use_force_control,depth_scale_holes,9,0.66667,proposed_sensor_failure_composition_v4,1.00000,-0.33333,0.50000,0.16667,0.00000,0.16667,1.14086,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
10,recovery_latency_shift,tool_use_force_control,compositional_multi_sensor,0,0.50000,proposed_sensor_failure_composition_v4,1.00000,-0.50000,0.33333,0.16667,0.00000,0.00000,1.13077,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
11,paired_sensor_shift,deformable_sorting,force_torque_drift,0,0.83333,proposed_sensor_failure_composition_v4,1.00000,-0.16667,0.66667,0.16667,0.00000,0.16667,1.12427,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
12,recovery_latency_shift,tool_use_force_control,force_torque_drift,7,0.66667,proposed_sensor_failure_composition_v4,0.83333,-0.16667,0.50000,0.33333,0.00000,0.00000,1.10241,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
13,paired_sensor_shift,deformable_sorting,compositional_multi_sensor,2,0.66667,proposed_sensor_failure_composition_v4,0.83333,-0.16667,0.33333,0.33333,0.16667,0.33333,1.09925,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
14,recovery_latency_shift,tool_use_force_control,proprioceptive_bias,4,0.50000,proposed_sensor_failure_composition_v4,1.00000,-0.50000,0.33333,0.16667,0.00000,0.00000,1.08955,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
15,paired_sensor_shift,tool_use_force_control,compositional_multi_sensor,5,0.66667,proposed_sensor_failure_composition_v4,1.00000,-0.33333,0.16667,0.33333,0.00000,0.50000,1.08163,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
16,combined_extreme,deformable_sorting,compositional_multi_sensor,7,0.66667,proposed_sensor_failure_composition_v4,0.83333,-0.16667,0.16667,0.50000,0.16667,0.16667,1.08136,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
17,combined_extreme,grasp_selection_under_occlusion,force_torque_drift,0,0.16667,proposed_sensor_failure_composition_v4,0.66667,-0.50000,0.33333,0.00000,0.00000,0.50000,1.07992,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
18,combined_extreme,insertion_alignment_contact,compositional_multi_sensor,5,0.83333,proposed_sensor_failure_composition_v4,1.00000,-0.16667,0.33333,0.33333,0.16667,0.16667,1.07904,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
19,combined_extreme,mobile_manip_obstacle_avoidance,temporal_desynchronization,2,0.66667,proposed_sensor_failure_composition_v4,1.00000,-0.33333,0.33333,0.16667,0.00000,0.33333,1.06960,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
20,combined_extreme,deformable_sorting,compositional_multi_sensor,8,0.50000,proposed_sensor_failure_composition_v4,0.83333,-0.33333,0.33333,0.16667,0.00000,0.33333,1.06622,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
21,desynchronization_shift,grasp_selection_under_occlusion,vision_dropout,1,0.16667,proposed_sensor_failure_composition_v4,1.00000,-0.83333,0.16667,0.00000,0.00000,0.00000,1.06092,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
22,paired_sensor_shift,bin_picking_language_goal,vision_dropout,6,0.33333,proposed_sensor_failure_composition_v4,0.83333,-0.50000,0.33333,0.16667,0.00000,0.00000,1.05147,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
23,recovery_latency_shift,mobile_manip_obstacle_avoidance,tactile_deadzone,4,0.66667,proposed_sensor_failure_composition_v4,1.00000,-0.33333,0.16667,0.33333,0.00000,0.33333,1.02747,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
24,recovery_latency_shift,tool_use_force_control,compositional_multi_sensor,8,0.50000,proposed_sensor_failure_composition_v4,0.83333,-0.33333,0.33333,0.16667,0.00000,0.16667,1.01341,composition helps least when a robust baseline can down-weight the dominant sensor fault without modeling higher-order interactions
