method,split,task,family,mean_success,ci95_success,mean_safety_violation,ci95_safety_violation,mean_damage,ci95_damage,mean_fault_f1,ci95_fault_f1,mean_interaction_f1,ci95_interaction_f1,mean_false_isolation,ci95_false_isolation,mean_recovery_latency,ci95_recovery_latency,mean_total_cost,ci95_total_cost,groups,mean_regret_to_oracle
bayesian_sensor_fusion_monitor,combined_stress,deformable_handling,compositional_multi_sensor,0.5935,0.0409,0.4677,0.0352,0.2670,0.0381,0.4473,0.0571,0.3912,0.0386,0.2568,0.0337,0.9577,0.0077,0.7403,0.0036,7,0.3605
bayesian_sensor_fusion_monitor,combined_stress,deformable_handling,depth_only,0.5323,0.0258,0.1888,0.0328,0.1599,0.0249,0.4830,0.0455,0.3486,0.0253,0.2891,0.0383,0.7356,0.0105,0.4749,0.0033,7,0.1463
bayesian_sensor_fusion_monitor,combined_stress,deformable_handling,force_torque_only,0.5153,0.0440,0.2313,0.0363,0.1327,0.0187,0.4371,0.0566,0.3895,0.0282,0.2568,0.0404,0.7387,0.0057,0.5042,0.0056,7,0.2092
bayesian_sensor_fusion_monitor,combined_stress,deformable_handling,language_grounding_only,0.5204,0.0268,0.2432,0.0317,0.1701,0.0232,0.4524,0.0514,0.3656,0.0413,0.2653,0.0545,0.7574,0.0092,0.4582,0.0071,7,0.1905
bayesian_sensor_fusion_monitor,combined_stress,deformable_handling,proprioception_only,0.4949,0.0363,0.2058,0.0406,0.1582,0.0182,0.5102,0.0582,0.3759,0.0429,0.2925,0.0506,0.7385,0.0110,0.4636,0.0075,7,0.1854
bayesian_sensor_fusion_monitor,combined_stress,deformable_handling,tactile_only,0.5136,0.0552,0.2177,0.0498,0.1531,0.0290,0.4269,0.0324,0.3759,0.0466,0.2908,0.0446,0.7471,0.0087,0.4828,0.0044,7,0.1922
bayesian_sensor_fusion_monitor,combined_stress,deformable_handling,vision_only,0.5357,0.0367,0.2058,0.0253,0.1548,0.0301,0.4439,0.0258,0.3895,0.0383,0.2534,0.0352,0.7338,0.0111,0.4650,0.0082,7,0.1616
bayesian_sensor_fusion_monitor,combined_stress,grasp_selection,compositional_multi_sensor,0.6020,0.0550,0.3656,0.0606,0.2347,0.0248,0.4303,0.0406,0.3810,0.0349,0.2279,0.0164,0.9272,0.0190,0.6619,0.0090,7,0.3146
bayesian_sensor_fusion_monitor,combined_stress,grasp_selection,depth_only,0.5119,0.0417,0.1922,0.0164,0.1412,0.0454,0.4439,0.0344,0.3656,0.0482,0.2602,0.0399,0.7259,0.0187,0.4358,0.0067,7,0.1888
bayesian_sensor_fusion_monitor,combined_stress,grasp_selection,force_torque_only,0.5476,0.0398,0.1990,0.0167,0.1429,0.0292,0.4286,0.0461,0.3707,0.0372,0.2432,0.0301,0.7357,0.0064,0.4549,0.0064,7,0.2109
