method,split,task,family,mean_success,ci95_success,mean_safety_violation,ci95_safety_violation,mean_damage,ci95_damage,mean_fault_f1,ci95_fault_f1,mean_interaction_f1,ci95_interaction_f1,mean_false_isolation,ci95_false_isolation,mean_recovery_latency,ci95_recovery_latency,mean_total_cost,ci95_total_cost,groups,mean_regret_to_oracle
bayesian_sensor_fusion_monitor,combined_stress,grasp_selection,language_grounding_only,0.5408,0.0496,0.1684,0.0396,0.1276,0.0220,0.4422,0.0740,0.3656,0.0437,0.2772,0.0111,0.7486,0.0132,0.4286,0.0049,7,0.1854
bayesian_sensor_fusion_monitor,combined_stress,grasp_selection,proprioception_only,0.5323,0.0309,0.1599,0.0264,0.1293,0.0224,0.4201,0.0413,0.3537,0.0514,0.2653,0.0174,0.7257,0.0093,0.4257,0.0053,7,0.2109
bayesian_sensor_fusion_monitor,combined_stress,grasp_selection,tactile_only,0.5442,0.0214,0.1956,0.0254,0.1293,0.0187,0.4371,0.0400,0.3673,0.0312,0.2517,0.0386,0.7258,0.0108,0.4358,0.0043,7,0.1650
bayesian_sensor_fusion_monitor,combined_stress,grasp_selection,vision_only,0.5323,0.0309,0.1973,0.0384,0.1224,0.0300,0.4082,0.0337,0.3486,0.0477,0.2551,0.0413,0.7297,0.0120,0.4314,0.0078,7,0.1888
bayesian_sensor_fusion_monitor,combined_stress,insertion_alignment,compositional_multi_sensor,0.6105,0.0498,0.4048,0.0283,0.2687,0.0301,0.4660,0.0213,0.3690,0.0404,0.2670,0.0345,0.9615,0.0162,0.7293,0.0071,7,0.2908
bayesian_sensor_fusion_monitor,combined_stress,insertion_alignment,depth_only,0.5425,0.0571,0.1888,0.0320,0.1514,0.0237,0.4677,0.0195,0.3707,0.0409,0.2313,0.0296,0.7340,0.0114,0.4666,0.0034,7,0.1565
bayesian_sensor_fusion_monitor,combined_stress,insertion_alignment,force_torque_only,0.5323,0.0189,0.2041,0.0406,0.1514,0.0195,0.4507,0.0406,0.3656,0.0455,0.2568,0.0345,0.7420,0.0117,0.4851,0.0082,7,0.2075
bayesian_sensor_fusion_monitor,combined_stress,insertion_alignment,language_grounding_only,0.5255,0.0459,0.1990,0.0383,0.1327,0.0285,0.4694,0.0329,0.3384,0.0426,0.2908,0.0397,0.7627,0.0125,0.4509,0.0047,7,0.1752
bayesian_sensor_fusion_monitor,combined_stress,insertion_alignment,proprioception_only,0.5272,0.0243,0.2041,0.0324,0.1531,0.0336,0.4762,0.0527,0.3537,0.0352,0.2500,0.0338,0.7312,0.0159,0.4542,0.0064,7,0.1718
bayesian_sensor_fusion_monitor,combined_stress,insertion_alignment,tactile_only,0.5578,0.0148,0.2126,0.0241,0.1497,0.0264,0.4592,0.0264,0.3656,0.0258,0.2823,0.0287,0.7350,0.0037,0.4660,0.0083,7,0.1531
bayesian_sensor_fusion_monitor,combined_stress,insertion_alignment,vision_only,0.5255,0.0324,0.2364,0.0415,0.1565,0.0094,0.4728,0.0329,0.3741,0.0292,0.2415,0.0333,0.7265,0.0119,0.4543,0.0111,7,0.1650
bayesian_sensor_fusion_monitor,combined_stress,mobile_manip_near_obstacles,compositional_multi_sensor,0.6497,0.0461,0.4796,0.0488,0.2415,0.0366,0.4575,0.0410,0.3588,0.0389,0.2449,0.0292,0.9366,0.0121,0.7165,0.0047,7,0.2449
bayesian_sensor_fusion_monitor,combined_stress,mobile_manip_near_obstacles,depth_only,0.5340,0.0399,0.1990,0.0380,0.1446,0.0339,0.4558,0.0393,0.3827,0.0372,0.2517,0.0448,0.7271,0.0091,0.4661,0.0075,7,0.1888
bayesian_sensor_fusion_monitor,combined_stress,mobile_manip_near_obstacles,force_torque_only,0.5425,0.0521,0.2602,0.0336,0.1990,0.0387,0.4609,0.0337,0.3639,0.0381,0.2449,0.0112,0.7413,0.0191,0.4948,0.0031,7,0.2075
bayesian_sensor_fusion_monitor,combined_stress,mobile_manip_near_obstacles,language_grounding_only,0.5068,0.0313,0.1803,0.0139,0.1259,0.0143,0.4592,0.0196,0.3724,0.0397,0.2517,0.0490,0.7505,0.0100,0.4502,0.0082,7,0.1718
bayesian_sensor_fusion_monitor,combined_stress,mobile_manip_near_obstacles,proprioception_only,0.5459,0.0487,0.2245,0.0343,0.1514,0.0313,0.4694,0.0485,0.3571,0.0441,0.2670,0.0360,0.7264,0.0148,0.4526,0.0033,7,0.1122
bayesian_sensor_fusion_monitor,combined_stress,mobile_manip_near_obstacles,tactile_only,0.5901,0.0329,0.1786,0.0297,0.1565,0.0187,0.4456,0.0370,0.3673,0.0193,0.2245,0.0294,0.7415,0.0086,0.4684,0.0044,7,0.0935
bayesian_sensor_fusion_monitor,combined_stress,mobile_manip_near_obstacles,vision_only,0.5374,0.0484,0.2092,0.0287,0.1259,0.0269,0.4694,0.0337,0.3384,0.0404,0.2789,0.0227,0.7284,0.0124,0.4556,0.0070,7,0.1361
bayesian_sensor_fusion_monitor,combined_stress,tool_use_contact_control,compositional_multi_sensor,0.6310,0.0438,0.4133,0.0455,0.2313,0.0404,0.4609,0.0600,0.3690,0.0429,0.2823,0.0474,0.9350,0.0120,0.6928,0.0080,7,0.3061
bayesian_sensor_fusion_monitor,combined_stress,tool_use_contact_control,depth_only,0.5425,0.0360,0.1973,0.0313,0.1480,0.0329,0.4558,0.0516,0.3759,0.0301,0.2721,0.0187,0.7383,0.0051,0.4568,0.0063,7,0.1752
bayesian_sensor_fusion_monitor,combined_stress,tool_use_contact_control,force_torque_only,0.5034,0.0359,0.2347,0.0434,0.1565,0.0316,0.4320,0.0373,0.3946,0.0312,0.2602,0.0442,0.7399,0.0177,0.4781,0.0038,7,0.2245
bayesian_sensor_fusion_monitor,combined_stress,tool_use_contact_control,language_grounding_only,0.5204,0.0393,0.1922,0.0094,0.1344,0.0195,0.4626,0.0332,0.3963,0.0333,0.2432,0.0377,0.7427,0.0100,0.4384,0.0044,7,0.1956
bayesian_sensor_fusion_monitor,combined_stress,tool_use_contact_control,proprioception_only,0.4813,0.0360,0.1803,0.0281,0.1207,0.0236,0.4320,0.0337,0.3827,0.0608,0.2466,0.0237,0.7452,0.0139,0.4462,0.0051,7,0.2041
bayesian_sensor_fusion_monitor,combined_stress,tool_use_contact_control,tactile_only,0.5561,0.0387,0.1871,0.0496,0.1480,0.0325,0.4473,0.0446,0.3759,0.0377,0.2602,0.0451,0.7317,0.0135,0.4597,0.0055,7,0.1241
bayesian_sensor_fusion_monitor,combined_stress,tool_use_contact_control,vision_only,0.5629,0.0337,0.1854,0.0227,0.1105,0.0195,0.4541,0.0376,0.4048,0.0318,0.2330,0.0292,0.7235,0.0073,0.4434,0.0047,7,0.1327
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,deformable_handling,compositional_multi_sensor,0.6548,0.0349,0.3776,0.0363,0.2619,0.0371,0.4354,0.0419,0.3980,0.0190,0.2228,0.0329,0.9340,0.0045,0.6590,0.0107,7,0.2585
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,deformable_handling,depth_only,0.5340,0.0351,0.1837,0.0349,0.1139,0.0305,0.4949,0.0455,0.3844,0.0463,0.2721,0.0241,0.7541,0.0092,0.4416,0.0072,7,0.2007
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,deformable_handling,force_torque_only,0.5663,0.0472,0.2313,0.0305,0.1616,0.0233,0.4762,0.0444,0.3759,0.0341,0.2347,0.0393,0.7564,0.0177,0.4640,0.0080,7,0.1939
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,deformable_handling,language_grounding_only,0.5255,0.0535,0.1701,0.0132,0.1241,0.0287,0.4388,0.0206,0.4405,0.0314,0.2347,0.0287,0.7618,0.0130,0.4268,0.0050,7,0.1990
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,deformable_handling,proprioception_only,0.5578,0.0525,0.1871,0.0287,0.1463,0.0400,0.4728,0.0226,0.4116,0.0243,0.2347,0.0282,0.7444,0.0123,0.4273,0.0029,7,0.1599
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,deformable_handling,tactile_only,0.5850,0.0482,0.1718,0.0429,0.1446,0.0257,0.4949,0.0546,0.3997,0.0426,0.2687,0.0441,0.7599,0.0164,0.4480,0.0043,7,0.1667
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,deformable_handling,vision_only,0.5527,0.0636,0.1820,0.0214,0.1650,0.0412,0.4966,0.0506,0.4099,0.0509,0.2296,0.0645,0.7566,0.0082,0.4363,0.0038,7,0.1854
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,grasp_selection,compositional_multi_sensor,0.6803,0.0339,0.3197,0.0406,0.1735,0.0341,0.4541,0.0402,0.4286,0.0367,0.2347,0.0268,0.9157,0.0126,0.5987,0.0076,7,0.2143
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,grasp_selection,depth_only,0.6037,0.0373,0.1514,0.0340,0.1071,0.0288,0.4541,0.0528,0.3827,0.0365,0.1990,0.0278,0.7574,0.0038,0.4039,0.0052,7,0.1531
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,grasp_selection,force_torque_only,0.5782,0.0432,0.1565,0.0257,0.1310,0.0228,0.4745,0.0523,0.4184,0.0316,0.2347,0.0370,0.7566,0.0159,0.4236,0.0077,7,0.1599
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,grasp_selection,language_grounding_only,0.5612,0.0393,0.1276,0.0189,0.1190,0.0279,0.4762,0.0228,0.3912,0.0332,0.2993,0.0303,0.7690,0.0189,0.3975,0.0061,7,0.1837
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,grasp_selection,proprioception_only,0.5527,0.0341,0.1361,0.0190,0.0986,0.0189,0.4830,0.0329,0.4184,0.0339,0.2959,0.0389,0.7529,0.0133,0.3961,0.0062,7,0.1769
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,grasp_selection,tactile_only,0.6156,0.0591,0.1548,0.0536,0.1190,0.0216,0.4983,0.0442,0.4014,0.0208,0.2245,0.0399,0.7466,0.0075,0.4112,0.0044,7,0.1327
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,grasp_selection,vision_only,0.5748,0.0282,0.1190,0.0222,0.1122,0.0317,0.4303,0.0402,0.3759,0.0168,0.2177,0.0416,0.7398,0.0148,0.3925,0.0050,7,0.1599
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,insertion_alignment,compositional_multi_sensor,0.6361,0.0550,0.3571,0.0233,0.2041,0.0365,0.4473,0.0550,0.4320,0.0443,0.2194,0.0259,0.9232,0.0079,0.6429,0.0060,7,0.2857
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,insertion_alignment,depth_only,0.6020,0.0367,0.1667,0.0153,0.1412,0.0351,0.4711,0.0301,0.3861,0.0349,0.2262,0.0310,0.7469,0.0135,0.4304,0.0042,7,0.0833
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,insertion_alignment,force_torque_only,0.5867,0.0623,0.1922,0.0230,0.1327,0.0343,0.5153,0.0248,0.4048,0.0509,0.2296,0.0397,0.7570,0.0105,0.4533,0.0044,7,0.1752
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,insertion_alignment,language_grounding_only,0.5459,0.0276,0.1599,0.0301,0.1122,0.0196,0.4728,0.0434,0.3861,0.0384,0.2364,0.0320,0.7615,0.0106,0.4223,0.0058,7,0.1888
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,insertion_alignment,proprioception_only,0.5527,0.0333,0.1548,0.0161,0.1429,0.0398,0.4898,0.0465,0.3861,0.0243,0.2194,0.0485,0.7497,0.0052,0.4174,0.0046,7,0.2160
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,insertion_alignment,tactile_only,0.5680,0.0457,0.1871,0.0321,0.1378,0.0243,0.5000,0.0374,0.3793,0.0241,0.2449,0.0488,0.7622,0.0130,0.4360,0.0062,7,0.1310
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,insertion_alignment,vision_only,0.5527,0.0463,0.1650,0.0271,0.1327,0.0418,0.4354,0.0443,0.3878,0.0504,0.2228,0.0443,0.7497,0.0095,0.4259,0.0024,7,0.1854
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,mobile_manip_near_obstacles,compositional_multi_sensor,0.6378,0.0511,0.3418,0.0352,0.2211,0.0325,0.4575,0.0370,0.3929,0.0360,0.2483,0.0316,0.9319,0.0137,0.6442,0.0076,7,0.2653
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,mobile_manip_near_obstacles,depth_only,0.5714,0.0544,0.1667,0.0353,0.1105,0.0189,0.4966,0.0313,0.4201,0.0446,0.2296,0.0390,0.7561,0.0122,0.4320,0.0097,7,0.1378
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,mobile_manip_near_obstacles,force_torque_only,0.5731,0.0372,0.1956,0.0349,0.1514,0.0390,0.4592,0.0438,0.3571,0.0398,0.2415,0.0355,0.7678,0.0056,0.4562,0.0078,7,0.1956
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,mobile_manip_near_obstacles,language_grounding_only,0.5697,0.0482,0.1531,0.0294,0.0952,0.0420,0.4728,0.0449,0.3997,0.0381,0.2296,0.0220,0.7677,0.0110,0.4198,0.0062,7,0.1139
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,mobile_manip_near_obstacles,proprioception_only,0.5782,0.0514,0.1548,0.0353,0.1378,0.0352,0.4558,0.0466,0.3997,0.0446,0.2449,0.0360,0.7525,0.0051,0.4194,0.0053,7,0.1735
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,mobile_manip_near_obstacles,tactile_only,0.5952,0.0512,0.1735,0.0333,0.1190,0.0255,0.5017,0.0336,0.3878,0.0441,0.2024,0.0283,0.7503,0.0125,0.4336,0.0054,7,0.1105
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,mobile_manip_near_obstacles,vision_only,0.5612,0.0396,0.1684,0.0219,0.1105,0.0208,0.4830,0.0423,0.3844,0.0333,0.2500,0.0244,0.7437,0.0124,0.4188,0.0046,7,0.1922
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,tool_use_contact_control,compositional_multi_sensor,0.6259,0.0321,0.3571,0.0274,0.2228,0.0214,0.4609,0.0474,0.3827,0.0559,0.2160,0.0172,0.9155,0.0093,0.6209,0.0072,7,0.2806
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,tool_use_contact_control,depth_only,0.5697,0.0459,0.1769,0.0358,0.1395,0.0189,0.4507,0.0351,0.3827,0.0577,0.2415,0.0208,0.7517,0.0092,0.4227,0.0038,7,0.1582
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,tool_use_contact_control,force_torque_only,0.5544,0.0501,0.1599,0.0203,0.1463,0.0232,0.4745,0.0468,0.4337,0.0400,0.2602,0.0503,0.7560,0.0114,0.4359,0.0061,7,0.1735
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,tool_use_contact_control,language_grounding_only,0.5680,0.0373,0.1820,0.0304,0.1088,0.0156,0.4524,0.0353,0.4133,0.0355,0.2313,0.0410,0.7603,0.0141,0.4055,0.0070,7,0.1871
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,tool_use_contact_control,proprioception_only,0.5680,0.0431,0.1854,0.0321,0.1344,0.0291,0.4847,0.0446,0.4116,0.0356,0.2500,0.0360,0.7421,0.0147,0.4082,0.0071,7,0.1667
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,tool_use_contact_control,tactile_only,0.5459,0.0418,0.1752,0.0443,0.1565,0.0382,0.4813,0.0524,0.4201,0.0300,0.2398,0.0252,0.7533,0.0118,0.4226,0.0053,7,0.1820
bayesian_sensor_fusion_monitor,delayed_sensor_recovery,tool_use_contact_control,vision_only,0.5476,0.0338,0.1599,0.0227,0.0969,0.0236,0.4694,0.0341,0.3537,0.0387,0.2755,0.0303,0.7475,0.0115,0.4102,0.0062,7,0.1565
bayesian_sensor_fusion_monitor,nominal,deformable_handling,compositional_multi_sensor,0.6956,0.0227,0.2398,0.0276,0.1497,0.0259,0.5221,0.0351,0.4388,0.0294,0.1531,0.0339,0.6209,0.0070,0.4752,0.0053,7,0.2245
bayesian_sensor_fusion_monitor,nominal,deformable_handling,depth_only,0.6616,0.0449,0.1378,0.0416,0.0935,0.0187,0.5544,0.0404,0.4473,0.0329,0.1565,0.0241,0.5072,0.0092,0.3232,0.0073,7,0.1276
bayesian_sensor_fusion_monitor,nominal,deformable_handling,force_torque_only,0.6548,0.0486,0.1310,0.0353,0.1173,0.0299,0.5204,0.0477,0.4660,0.0332,0.1939,0.0296,0.5078,0.0081,0.3399,0.0055,7,0.1667
bayesian_sensor_fusion_monitor,nominal,deformable_handling,language_grounding_only,0.6497,0.0384,0.1327,0.0399,0.0782,0.0100,0.5289,0.0292,0.4541,0.0316,0.1990,0.0329,0.5202,0.0067,0.3115,0.0050,7,0.1582
bayesian_sensor_fusion_monitor,nominal,deformable_handling,proprioception_only,0.6276,0.0355,0.1139,0.0301,0.1054,0.0164,0.5442,0.0383,0.4490,0.0400,0.1752,0.0317,0.4976,0.0128,0.3116,0.0027,7,0.1514
bayesian_sensor_fusion_monitor,nominal,deformable_handling,tactile_only,0.6497,0.0168,0.1412,0.0219,0.0935,0.0224,0.5527,0.0419,0.4660,0.0389,0.1803,0.0206,0.5006,0.0109,0.3247,0.0052,7,0.1667
bayesian_sensor_fusion_monitor,nominal,deformable_handling,vision_only,0.6344,0.0300,0.1344,0.0300,0.0918,0.0321,0.5340,0.0418,0.4847,0.0313,0.2194,0.0329,0.5074,0.0173,0.3176,0.0050,7,0.1497
bayesian_sensor_fusion_monitor,nominal,grasp_selection,compositional_multi_sensor,0.7466,0.0237,0.2313,0.0555,0.1480,0.0514,0.5136,0.0312,0.4473,0.0391,0.1922,0.0252,0.6172,0.0109,0.4237,0.0070,7,0.1752
bayesian_sensor_fusion_monitor,nominal,grasp_selection,depth_only,0.6905,0.0391,0.1173,0.0267,0.0646,0.0168,0.5272,0.0220,0.4456,0.0585,0.1871,0.0237,0.5022,0.0135,0.2974,0.0085,7,0.1480
bayesian_sensor_fusion_monitor,nominal,grasp_selection,force_torque_only,0.6803,0.0156,0.1054,0.0303,0.0867,0.0189,0.5527,0.0429,0.4439,0.0498,0.1939,0.0159,0.5102,0.0126,0.3124,0.0039,7,0.1463
bayesian_sensor_fusion_monitor,nominal,grasp_selection,language_grounding_only,0.6786,0.0322,0.1088,0.0252,0.0612,0.0119,0.5221,0.0303,0.4388,0.0324,0.1956,0.0269,0.5030,0.0123,0.2911,0.0044,7,0.1054
bayesian_sensor_fusion_monitor,nominal,grasp_selection,proprioception_only,0.6769,0.0465,0.1037,0.0150,0.0816,0.0362,0.5612,0.0528,0.4643,0.0353,0.1837,0.0367,0.5016,0.0115,0.2898,0.0073,7,0.1241
bayesian_sensor_fusion_monitor,nominal,grasp_selection,tactile_only,0.6786,0.0438,0.1003,0.0301,0.0935,0.0224,0.5170,0.0407,0.4371,0.0503,0.1548,0.0464,0.4994,0.0089,0.3028,0.0048,7,0.1241
bayesian_sensor_fusion_monitor,nominal,grasp_selection,vision_only,0.6412,0.0213,0.1190,0.0455,0.0731,0.0206,0.5527,0.0423,0.4728,0.0373,0.2126,0.0156,0.4933,0.0066,0.2913,0.0041,7,0.1616
bayesian_sensor_fusion_monitor,nominal,insertion_alignment,compositional_multi_sensor,0.7024,0.0244,0.2449,0.0196,0.1531,0.0468,0.5017,0.0590,0.4796,0.0383,0.1803,0.0246,0.6261,0.0101,0.4632,0.0068,7,0.2347
bayesian_sensor_fusion_monitor,nominal,insertion_alignment,depth_only,0.6769,0.0436,0.1105,0.0359,0.0850,0.0299,0.5017,0.0406,0.4762,0.0662,0.1888,0.0362,0.5121,0.0061,0.3201,0.0091,7,0.1276
bayesian_sensor_fusion_monitor,nominal,insertion_alignment,force_torque_only,0.6616,0.0305,0.1412,0.0139,0.1105,0.0313,0.5017,0.0376,0.4796,0.0248,0.2041,0.0445,0.5160,0.0154,0.3362,0.0048,7,0.1463
bayesian_sensor_fusion_monitor,nominal,insertion_alignment,language_grounding_only,0.6480,0.0363,0.1037,0.0208,0.0935,0.0267,0.5323,0.0595,0.4626,0.0316,0.1735,0.0215,0.5178,0.0065,0.3041,0.0057,7,0.1361
bayesian_sensor_fusion_monitor,nominal,insertion_alignment,proprioception_only,0.6190,0.0411,0.1429,0.0260,0.0969,0.0213,0.5034,0.0434,0.4558,0.0604,0.1769,0.0271,0.4986,0.0087,0.3101,0.0050,7,0.1837
bayesian_sensor_fusion_monitor,nominal,insertion_alignment,tactile_only,0.6616,0.0397,0.1310,0.0288,0.1088,0.0187,0.5187,0.0499,0.4694,0.0238,0.1854,0.0259,0.5128,0.0184,0.3180,0.0084,7,0.1514
bayesian_sensor_fusion_monitor,nominal,insertion_alignment,vision_only,0.6803,0.0406,0.1156,0.0174,0.0952,0.0191,0.5068,0.0325,0.4507,0.0624,0.1905,0.0384,0.5013,0.0187,0.3129,0.0081,7,0.1139
bayesian_sensor_fusion_monitor,nominal,mobile_manip_near_obstacles,compositional_multi_sensor,0.7143,0.0509,0.2517,0.0351,0.1718,0.0469,0.4949,0.0443,0.4354,0.0292,0.2007,0.0206,0.6166,0.0102,0.4599,0.0068,7,0.2092
bayesian_sensor_fusion_monitor,nominal,mobile_manip_near_obstacles,depth_only,0.6650,0.0412,0.1173,0.0462,0.0833,0.0306,0.5357,0.0615,0.4575,0.0274,0.1990,0.0248,0.5075,0.0099,0.3163,0.0047,7,0.1803
bayesian_sensor_fusion_monitor,nominal,mobile_manip_near_obstacles,force_torque_only,0.6293,0.0618,0.1378,0.0168,0.1293,0.0230,0.5323,0.0482,0.4439,0.0333,0.1735,0.0283,0.5132,0.0177,0.3377,0.0070,7,0.1990
bayesian_sensor_fusion_monitor,nominal,mobile_manip_near_obstacles,language_grounding_only,0.6633,0.0321,0.1344,0.0122,0.0901,0.0160,0.5289,0.0301,0.4643,0.0507,0.2007,0.0290,0.5129,0.0107,0.3035,0.0068,7,0.1361
bayesian_sensor_fusion_monitor,nominal,mobile_manip_near_obstacles,proprioception_only,0.6446,0.0433,0.1224,0.0174,0.0867,0.0268,0.5119,0.0438,0.4643,0.0279,0.1820,0.0363,0.5019,0.0063,0.3054,0.0062,7,0.1582
bayesian_sensor_fusion_monitor,nominal,mobile_manip_near_obstacles,tactile_only,0.7007,0.0448,0.1241,0.0254,0.0969,0.0219,0.5340,0.0303,0.4677,0.0416,0.1735,0.0086,0.4986,0.0074,0.3179,0.0045,7,0.1344
bayesian_sensor_fusion_monitor,nominal,mobile_manip_near_obstacles,vision_only,0.6565,0.0490,0.1429,0.0204,0.0867,0.0237,0.4932,0.0541,0.4490,0.0159,0.2024,0.0239,0.5178,0.0153,0.3152,0.0069,7,0.1514
bayesian_sensor_fusion_monitor,nominal,tool_use_contact_control,compositional_multi_sensor,0.7398,0.0347,0.2381,0.0239,0.1548,0.0356,0.5459,0.0505,0.4371,0.0352,0.1820,0.0291,0.6045,0.0124,0.4449,0.0056,7,0.1820
bayesian_sensor_fusion_monitor,nominal,tool_use_contact_control,depth_only,0.6582,0.0688,0.1156,0.0273,0.0935,0.0351,0.5204,0.0237,0.4643,0.0401,0.1820,0.0189,0.4944,0.0123,0.3031,0.0051,7,0.1293
bayesian_sensor_fusion_monitor,nominal,tool_use_contact_control,force_torque_only,0.6361,0.0387,0.1378,0.0215,0.0867,0.0208,0.5442,0.0477,0.4677,0.0387,0.1990,0.0296,0.5117,0.0109,0.3236,0.0045,7,0.1599
bayesian_sensor_fusion_monitor,nominal,tool_use_contact_control,language_grounding_only,0.6582,0.0508,0.1190,0.0426,0.1122,0.0221,0.5442,0.0317,0.4592,0.0321,0.1820,0.0313,0.5009,0.0126,0.2936,0.0046,7,0.1446
bayesian_sensor_fusion_monitor,nominal,tool_use_contact_control,proprioception_only,0.6378,0.0423,0.1173,0.0246,0.0935,0.0164,0.5408,0.0356,0.4813,0.0112,0.1463,0.0309,0.5059,0.0097,0.3000,0.0051,7,0.1412
bayesian_sensor_fusion_monitor,nominal,tool_use_contact_control,tactile_only,0.6633,0.0363,0.1344,0.0214,0.0850,0.0312,0.5272,0.0503,0.4558,0.0600,0.1837,0.0283,0.5031,0.0093,0.3133,0.0069,7,0.1293
bayesian_sensor_fusion_monitor,nominal,tool_use_contact_control,vision_only,0.6786,0.0306,0.1259,0.0168,0.0901,0.0296,0.5238,0.0624,0.4796,0.0698,0.1922,0.0409,0.4948,0.0117,0.2988,0.0050,7,0.0935
bayesian_sensor_fusion_monitor,paired_sensor_shift,deformable_handling,compositional_multi_sensor,0.6259,0.0360,0.4235,0.0341,0.2262,0.0322,0.5221,0.0358,0.3980,0.0438,0.1939,0.0150,0.7911,0.0082,0.6560,0.0065,7,0.3044
bayesian_sensor_fusion_monitor,paired_sensor_shift,deformable_handling,depth_only,0.5544,0.0615,0.1837,0.0301,0.1310,0.0191,0.4796,0.0182,0.4235,0.0541,0.2211,0.0455,0.5872,0.0085,0.4128,0.0062,7,0.2041
