ablation,rows,success,ci95_success,safety_violation,ci95_safety_violation,damage,ci95_damage,fault_f1,ci95_fault_f1,interaction_f1,ci95_interaction_f1,missed_fault,ci95_missed_fault,false_isolation,ci95_false_isolation,recovery_latency,ci95_recovery_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,interpretation
bayesian_fusion_only,10,0.59358,0.00866,0.20495,0.00779,0.12752,0.00704,0.48047,0.01011,0.41467,0.00817,0.22500,0.00817,0.11198,0.00718,0.68364,0.00027,0.03784,0.00007,0.28332,0.00026,0.04243,0.01488,strong Bayesian-fusion reference
full_risk_calibrated_sensor_composition_v5,10,0.79089,0.00493,0.13620,0.00481,0.05964,0.00435,0.60087,0.01100,0.68576,0.01051,0.09870,0.00630,0.00530,0.00089,0.44261,0.00025,0.00206,0.00000,0.08671,0.00025,0.47612,0.01155,all components
no_active_repair,10,0.71997,0.00958,0.16562,0.00643,0.07413,0.00390,0.59089,0.00953,0.65130,0.01210,0.14045,0.00547,0.00816,0.00234,0.57650,0.00022,0.00646,0.00003,0.15506,0.00023,0.32875,0.01232,removes active repair
no_conformal_calibration,10,0.72318,0.00786,0.18056,0.00640,0.08238,0.00579,0.59132,0.00776,0.64323,0.01255,0.15582,0.00691,0.06623,0.00562,0.49074,0.00028,0.10206,0.00008,0.15085,0.00022,0.29692,0.01107,removes risk calibration
no_cross_modal_disagreement,10,0.64991,0.00661,0.16918,0.00505,0.08099,0.00593,0.49358,0.00937,0.40234,0.00874,0.22023,0.00628,0.03446,0.00290,0.55297,0.00023,0.00543,0.00003,0.23301,0.00024,0.22156,0.01292,removes disagreement evidence
no_false_alarm_suppression,10,0.73863,0.00852,0.15130,0.00760,0.07083,0.00301,0.59002,0.00808,0.65738,0.01033,0.11936,0.00687,0.08056,0.00510,0.48455,0.00023,0.00339,0.00003,0.14517,0.00022,0.36739,0.01194,removes false-alarm suppression
no_pairwise_interaction_edges,10,0.68099,0.00960,0.14870,0.00540,0.07569,0.00302,0.58455,0.00992,0.39887,0.01058,0.16571,0.00497,0.04002,0.00499,0.50603,0.00024,0.00303,0.00002,0.19714,0.00021,0.30177,0.01097,removes cross-sensor interaction edges
no_recovery_action_selection,10,0.71102,0.00627,0.17795,0.00707,0.09644,0.00572,0.58854,0.01040,0.63898,0.00594,0.14106,0.00700,0.00816,0.00200,0.70735,0.00018,0.00573,0.00004,0.17160,0.00030,0.26633,0.01003,detects failures but does not choose recovery actions
no_temporal_recovery_memory,10,0.71597,0.00615,0.16719,0.00490,0.08715,0.00431,0.58290,0.01443,0.59193,0.00828,0.12613,0.00593,0.01016,0.00150,0.66789,0.00019,0.00311,0.00003,0.17072,0.00026,0.29891,0.00948,forgets delayed recovery state
v4_composition_rules,10,0.69436,0.00904,0.18168,0.00769,0.09653,0.00420,0.52969,0.00997,0.56563,0.00760,0.16675,0.00618,0.06753,0.00239,0.54654,0.00026,0.02760,0.00006,0.19290,0.00029,0.24491,0.01323,prior v4 rule proxy
