method,risk_budget,rows,success,ci95_success,safety_violation,ci95_safety_violation,damage,ci95_damage,fault_f1,ci95_fault_f1,interaction_f1,ci95_interaction_f1,missed_fault,ci95_missed_fault,false_isolation,ci95_false_isolation,recovery_latency,ci95_recovery_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,covered,ci95_covered
bayesian_sensor_fusion_monitor,0.08000,10,0.01354,0.00258,0.00000,0.00000,0.00000,0.00000,0.00955,0.00288,0.00851,0.00323,0.00556,0.00214,0.02222,0.00402,0.02572,0.00460,0.00540,0.00100,0.00648,0.00115,0.00152,0.00226,0.02222,0.00402
bayesian_sensor_fusion_monitor,0.12000,10,0.01354,0.00304,0.00000,0.00000,0.00000,0.00000,0.01128,0.00198,0.00851,0.00251,0.00521,0.00215,0.02309,0.00434,0.02690,0.00520,0.00555,0.00112,0.00679,0.00132,0.00120,0.00218,0.02309,0.00434
bayesian_sensor_fusion_monitor,0.16000,10,0.05451,0.00390,0.00972,0.00184,0.00538,0.00186,0.05295,0.00545,0.03698,0.00454,0.01736,0.00344,0.02778,0.00359,0.07372,0.00367,0.00677,0.00073,0.02557,0.00110,0.01353,0.00390,0.09948,0.00386
bayesian_sensor_fusion_monitor,0.20000,10,0.18003,0.00484,0.04479,0.00421,0.03003,0.00425,0.15156,0.00558,0.13177,0.00511,0.06285,0.00408,0.04844,0.00603,0.21433,0.00410,0.01364,0.00091,0.08268,0.00125,0.03533,0.00812,0.31910,0.00442
causal_sensor_graph_monitor,0.08000,10,0.02135,0.00321,0.00000,0.00000,0.00000,0.00000,0.02049,0.00418,0.01927,0.00302,0.00816,0.00197,0.03698,0.00369,0.04103,0.00395,0.00864,0.00079,0.00975,0.00098,0.00195,0.00281,0.03698,0.00369
causal_sensor_graph_monitor,0.12000,10,0.02135,0.00505,0.00000,0.00000,0.00000,0.00000,0.01736,0.00396,0.01719,0.00334,0.00764,0.00260,0.03524,0.00625,0.03956,0.00740,0.00855,0.00169,0.00935,0.00178,0.00280,0.00281,0.03559,0.00650
causal_sensor_graph_monitor,0.16000,10,0.08368,0.00589,0.01441,0.00305,0.00694,0.00183,0.06528,0.00530,0.07014,0.00410,0.02535,0.00204,0.04514,0.00264,0.09941,0.00321,0.01217,0.00049,0.03243,0.00102,0.02440,0.00703,0.13594,0.00380
causal_sensor_graph_monitor,0.20000,10,0.21337,0.00830,0.05729,0.00648,0.02951,0.00625,0.17604,0.00812,0.18420,0.00472,0.06875,0.00352,0.05573,0.00809,0.23140,0.00660,0.02084,0.00144,0.08623,0.00167,0.04764,0.00906,0.35972,0.00639
conformal_sensor_reliability_filter,0.08000,10,0.01337,0.00296,0.00000,0.00000,0.00000,0.00000,0.00851,0.00193,0.00694,0.00273,0.00451,0.00091,0.02378,0.00317,0.02938,0.00393,0.00485,0.00070,0.00832,0.00112,0.00057,0.00227,0.02378,0.00317
conformal_sensor_reliability_filter,0.12000,10,0.03958,0.00320,0.00347,0.00134,0.00434,0.00162,0.02743,0.00316,0.02517,0.00239,0.01927,0.00306,0.02795,0.00404,0.06429,0.00494,0.00524,0.00082,0.02247,0.00145,0.00727,0.00370,0.07187,0.00434
conformal_sensor_reliability_filter,0.16000,10,0.13941,0.00471,0.03628,0.00463,0.01684,0.00325,0.10816,0.00574,0.08142,0.00523,0.06545,0.00537,0.03802,0.00432,0.20911,0.00440,0.00632,0.00058,0.08401,0.00151,0.01704,0.00590,0.27187,0.00465
conformal_sensor_reliability_filter,0.20000,10,0.27257,0.00433,0.08559,0.00776,0.04375,0.00411,0.20694,0.01017,0.14271,0.00676,0.12899,0.00560,0.04653,0.00415,0.39492,0.00351,0.00902,0.00077,0.16462,0.00103,0.01786,0.00805,0.51562,0.00376
ensemble_uncertainty_gating,0.08000,10,0.00608,0.00154,0.00000,0.00000,0.00000,0.00000,0.00521,0.00209,0.00313,0.00122,0.00365,0.00107,0.01163,0.00278,0.01434,0.00347,0.00312,0.00081,0.00428,0.00104,-0.00062,0.00141,0.01163,0.00278
ensemble_uncertainty_gating,0.12000,10,0.00538,0.00224,0.00000,0.00000,0.00000,0.00000,0.00503,0.00261,0.00226,0.00125,0.00330,0.00266,0.01059,0.00378,0.01284,0.00472,0.00282,0.00109,0.00381,0.00142,-0.00067,0.00158,0.01059,0.00378
ensemble_uncertainty_gating,0.16000,10,0.00556,0.00142,0.00017,0.00034,0.00000,0.00000,0.00451,0.00177,0.00295,0.00073,0.00521,0.00176,0.01302,0.00228,0.01623,0.00294,0.00341,0.00064,0.00498,0.00084,-0.00250,0.00135,0.01406,0.00235
ensemble_uncertainty_gating,0.20000,10,0.06892,0.00415,0.02170,0.00301,0.01233,0.00346,0.05069,0.00481,0.03576,0.00356,0.03698,0.00500,0.02726,0.00481,0.09997,0.00289,0.01207,0.00066,0.04123,0.00116,-0.00179,0.00579,0.13038,0.00334
independent_fault_detectors,0.08000,10,0.00347,0.00227,0.00000,0.00000,0.00000,0.00000,0.00295,0.00190,0.00122,0.00073,0.00069,0.00056,0.00608,0.00265,0.00779,0.00340,0.00190,0.00083,0.00230,0.00102,0.00030,0.00126,0.00608,0.00265
independent_fault_detectors,0.12000,10,0.00208,0.00099,0.00000,0.00000,0.00000,0.00000,0.00191,0.00107,0.00104,0.00075,0.00122,0.00073,0.00347,0.00134,0.00431,0.00173,0.00102,0.00043,0.00125,0.00051,0.00005,0.00080,0.00347,0.00134
independent_fault_detectors,0.16000,10,0.00191,0.00129,0.00000,0.00000,0.00000,0.00000,0.00208,0.00150,0.00104,0.00104,0.00122,0.00089,0.00417,0.00198,0.00529,0.00252,0.00128,0.00064,0.00156,0.00076,-0.00048,0.00083,0.00417,0.00198
independent_fault_detectors,0.20000,10,0.00347,0.00196,0.00017,0.00034,0.00000,0.00000,0.00278,0.00162,0.00139,0.00085,0.00104,0.00104,0.00556,0.00272,0.00725,0.00316,0.00164,0.00068,0.00226,0.00097,0.00024,0.00068,0.00625,0.00279
multimodal_mixture_of_experts_router,0.08000,10,0.02188,0.00228,0.00000,0.00000,0.00000,0.00000,0.01441,0.00169,0.01406,0.00246,0.00799,0.00191,0.03542,0.00234,0.03961,0.00268,0.00870,0.00068,0.00950,0.00067,0.00312,0.00224,0.03542,0.00234
multimodal_mixture_of_experts_router,0.12000,10,0.02378,0.00390,0.00000,0.00000,0.00000,0.00000,0.01753,0.00346,0.01684,0.00500,0.00868,0.00300,0.03681,0.00578,0.04105,0.00635,0.00902,0.00136,0.00978,0.00149,0.00420,0.00259,0.03681,0.00578
multimodal_mixture_of_experts_router,0.16000,10,0.06545,0.00671,0.01007,0.00208,0.00608,0.00198,0.05312,0.00390,0.04618,0.00292,0.02396,0.00202,0.04566,0.00567,0.08447,0.00667,0.01247,0.00141,0.02613,0.00178,0.01463,0.00481,0.10903,0.00690
multimodal_mixture_of_experts_router,0.20000,10,0.18264,0.00750,0.05087,0.00669,0.02135,0.00359,0.16111,0.00541,0.14201,0.00722,0.06788,0.00620,0.05486,0.00549,0.21110,0.00654,0.02271,0.00123,0.07741,0.00191,0.03447,0.01145,0.32517,0.00710
oracle_failure_aware_policy,0.08000,10,0.88003,0.01016,0.13247,0.00596,0.05382,0.00642,0.67170,0.01253,0.75868,0.01058,0.04809,0.00465,0.00226,0.00102,0.41979,0.00035,0.00200,0.00000,0.00000,0.00000,0.59637,0.01523,1.00000,0.00000
oracle_failure_aware_policy,0.12000,10,0.87865,0.00696,0.13872,0.00954,0.05556,0.00560,0.66944,0.01258,0.76458,0.00829,0.05399,0.00639,0.00156,0.00079,0.41965,0.00033,0.00200,0.00000,0.00000,0.00000,0.58522,0.01193,1.00000,0.00000
oracle_failure_aware_policy,0.16000,10,0.87431,0.00673,0.13108,0.01039,0.05278,0.00449,0.66667,0.01282,0.75764,0.01224,0.04844,0.00511,0.00191,0.00129,0.41952,0.00037,0.00200,0.00000,0.00000,0.00000,0.59302,0.01111,1.00000,0.00000
oracle_failure_aware_policy,0.20000,10,0.87604,0.00892,0.13229,0.00945,0.05208,0.00667,0.67274,0.00646,0.75781,0.01036,0.04635,0.00723,0.00226,0.00135,0.41961,0.00034,0.00200,0.00000,0.00000,0.00000,0.59454,0.01692,1.00000,0.00000
