method,seed,rows,success,ci95_success,safety_violation,ci95_safety_violation,damage,ci95_damage,fault_f1,ci95_fault_f1,interaction_f1,ci95_interaction_f1,missed_fault,ci95_missed_fault,false_isolation,ci95_false_isolation,recovery_latency,ci95_recovery_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
bayesian_sensor_fusion_monitor,0,192,0.59549,0.02920,0.23177,0.02832,0.11719,0.02004,0.47656,0.02850,0.41319,0.02884,0.23177,0.02423,0.12153,0.01837,0.68383,0.01482,0.03802,0.00255,0.28383,0.00468,0.01947,0.04656
bayesian_sensor_fusion_monitor,1,192,0.61111,0.02712,0.21267,0.02403,0.13108,0.02119,0.50000,0.02708,0.40885,0.02811,0.24653,0.02530,0.12326,0.02151,0.68382,0.01491,0.03796,0.00253,0.28325,0.00464,0.03949,0.04407
bayesian_sensor_fusion_monitor,2,192,0.62847,0.02834,0.20920,0.02521,0.11719,0.01960,0.48611,0.02997,0.43490,0.03012,0.21528,0.02446,0.10503,0.01795,0.68289,0.01493,0.03762,0.00252,0.28310,0.00480,0.08593,0.04438
bayesian_sensor_fusion_monitor,3,192,0.60677,0.02773,0.22222,0.02635,0.11198,0.01775,0.48351,0.02819,0.45573,0.02683,0.21962,0.02434,0.09028,0.01803,0.68396,0.01493,0.03800,0.00255,0.28394,0.00472,0.05646,0.04580
bayesian_sensor_fusion_monitor,4,192,0.60677,0.02730,0.21007,0.02357,0.13108,0.01807,0.49913,0.02870,0.42448,0.02573,0.21094,0.02409,0.13021,0.01921,0.68340,0.01482,0.03769,0.00255,0.28371,0.00475,0.04706,0.04008
bayesian_sensor_fusion_monitor,5,192,0.62934,0.02861,0.22917,0.02648,0.12413,0.01857,0.48438,0.02966,0.41146,0.02864,0.21962,0.02286,0.10764,0.01722,0.68390,0.01500,0.03778,0.00255,0.28369,0.00481,0.05743,0.04698
bayesian_sensor_fusion_monitor,6,192,0.59028,0.02791,0.19097,0.02237,0.12500,0.01945,0.47222,0.02754,0.42014,0.02854,0.22917,0.02692,0.09896,0.01674,0.68298,0.01494,0.03749,0.00254,0.28350,0.00471,0.05830,0.04190
bayesian_sensor_fusion_monitor,7,192,0.61372,0.02873,0.22483,0.02706,0.12674,0.02191,0.49740,0.02798,0.43663,0.03000,0.22135,0.02239,0.09983,0.01707,0.68368,0.01482,0.03775,0.00252,0.28336,0.00477,0.04575,0.04632
bayesian_sensor_fusion_monitor,8,192,0.59549,0.02920,0.19531,0.02408,0.11024,0.01845,0.49913,0.02659,0.41406,0.02750,0.23698,0.02344,0.09983,0.01806,0.68361,0.01499,0.03792,0.00254,0.28395,0.00461,0.06823,0.04442
bayesian_sensor_fusion_monitor,9,192,0.59028,0.02738,0.21441,0.02594,0.11372,0.01881,0.48090,0.02800,0.40538,0.02798,0.24913,0.02729,0.11719,0.01960,0.68305,0.01494,0.03794,0.00251,0.28317,0.00477,0.03183,0.04448
