method,seed,rows,success,ci95_success,safety_violation,ci95_safety_violation,damage,ci95_damage,fault_f1,ci95_fault_f1,interaction_f1,ci95_interaction_f1,missed_fault,ci95_missed_fault,false_isolation,ci95_false_isolation,recovery_latency,ci95_recovery_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
causal_sensor_graph_monitor,0,192,0.62500,0.02854,0.20312,0.02381,0.11111,0.01795,0.47569,0.03061,0.50608,0.02827,0.20486,0.02313,0.08767,0.01562,0.63819,0.01483,0.04595,0.00254,0.25533,0.00363,0.10680,0.04574
causal_sensor_graph_monitor,1,192,0.63455,0.02631,0.19444,0.02428,0.11024,0.01967,0.46528,0.02953,0.51649,0.03057,0.20920,0.02342,0.12760,0.02064,0.63859,0.01495,0.04609,0.00256,0.25520,0.00365,0.11548,0.04216
causal_sensor_graph_monitor,2,192,0.62326,0.02979,0.21962,0.02516,0.11458,0.01783,0.47396,0.02758,0.51997,0.02794,0.20486,0.02412,0.08854,0.01524,0.63777,0.01494,0.04619,0.00254,0.25486,0.00377,0.08426,0.04542
causal_sensor_graph_monitor,3,192,0.63368,0.02907,0.22743,0.02645,0.11111,0.01874,0.44792,0.02911,0.50781,0.02827,0.22569,0.02598,0.09115,0.01769,0.63678,0.01494,0.04619,0.00254,0.25563,0.00370,0.08237,0.04500
causal_sensor_graph_monitor,4,192,0.60417,0.02989,0.20486,0.02424,0.12587,0.01971,0.48785,0.02940,0.51215,0.02818,0.20486,0.02575,0.09809,0.01605,0.63807,0.01488,0.04637,0.00255,0.25558,0.00371,0.06949,0.04493
causal_sensor_graph_monitor,5,192,0.63976,0.02686,0.20747,0.02445,0.12326,0.01937,0.46267,0.02882,0.49826,0.03099,0.20139,0.02398,0.07292,0.01538,0.63748,0.01494,0.04645,0.00249,0.25603,0.00381,0.11158,0.04585
causal_sensor_graph_monitor,6,192,0.60417,0.02829,0.19184,0.02392,0.10764,0.01688,0.49826,0.03099,0.51215,0.02829,0.19531,0.02259,0.08594,0.01525,0.63754,0.01492,0.04645,0.00255,0.25528,0.00366,0.10436,0.03936
causal_sensor_graph_monitor,7,192,0.63021,0.02702,0.20573,0.02556,0.11024,0.01892,0.50521,0.02924,0.49913,0.02880,0.21007,0.02489,0.08333,0.01600,0.63779,0.01493,0.04625,0.00255,0.25601,0.00373,0.10944,0.04378
causal_sensor_graph_monitor,8,192,0.64583,0.02870,0.22135,0.02402,0.11458,0.01815,0.43924,0.02937,0.52604,0.03124,0.23524,0.02567,0.09722,0.01677,0.63809,0.01490,0.04628,0.00256,0.25587,0.00367,0.09369,0.04447
causal_sensor_graph_monitor,9,192,0.62934,0.02922,0.20312,0.02592,0.12500,0.02089,0.50087,0.02979,0.50694,0.02933,0.20660,0.02489,0.10330,0.01733,0.63835,0.01488,0.04635,0.00257,0.25516,0.00368,0.09543,0.04504
conformal_sensor_reliability_filter,0,192,0.52083,0.02950,0.16927,0.02357,0.11024,0.01627,0.42188,0.02685,0.30469,0.02628,0.27170,0.02591,0.07639,0.01579,0.76699,0.01489,0.01317,0.00187,0.34109,0.00602,-0.00053,0.04328
conformal_sensor_reliability_filter,1,192,0.52517,0.02775,0.22830,0.02557,0.11111,0.01905,0.42274,0.02924,0.28993,0.02593,0.25868,0.02618,0.08767,0.01868,0.76755,0.01486,0.01319,0.00187,0.34038,0.00592,-0.05955,0.04399
conformal_sensor_reliability_filter,2,192,0.53906,0.02907,0.21441,0.02693,0.11545,0.01891,0.37153,0.02884,0.27865,0.02566,0.25347,0.02620,0.06684,0.01469,0.76760,0.01488,0.01315,0.00188,0.34073,0.00602,-0.02767,0.04848
conformal_sensor_reliability_filter,3,192,0.52431,0.02944,0.18056,0.02440,0.10764,0.01852,0.42622,0.03000,0.28906,0.02758,0.25868,0.02629,0.07552,0.01483,0.76713,0.01498,0.01326,0.00191,0.34081,0.00602,-0.00303,0.04438
conformal_sensor_reliability_filter,4,192,0.52951,0.03127,0.17448,0.02188,0.11892,0.01863,0.42708,0.02971,0.28993,0.02501,0.27865,0.02742,0.05903,0.01364,0.76799,0.01499,0.01307,0.00186,0.34098,0.00600,-0.00267,0.04784
conformal_sensor_reliability_filter,5,192,0.58073,0.02813,0.19184,0.02343,0.12413,0.01919,0.39931,0.03042,0.29253,0.02469,0.26736,0.02598,0.06684,0.01488,0.76754,0.01498,0.01306,0.00187,0.34074,0.00607,0.02711,0.04232
conformal_sensor_reliability_filter,6,192,0.54601,0.02826,0.19184,0.02476,0.11372,0.01897,0.40191,0.02857,0.32292,0.02736,0.26997,0.02583,0.06944,0.01434,0.76731,0.01491,0.01328,0.00186,0.34077,0.00598,-0.00046,0.04585
conformal_sensor_reliability_filter,7,192,0.54080,0.02758,0.20226,0.02554,0.11372,0.01786,0.40451,0.03027,0.30903,0.02507,0.28125,0.02757,0.07378,0.01520,0.76739,0.01492,0.01318,0.00188,0.34050,0.00604,-0.02135,0.04531
conformal_sensor_reliability_filter,8,192,0.54861,0.03116,0.18576,0.02492,0.12066,0.02133,0.42361,0.02903,0.28646,0.02734,0.25260,0.02541,0.06597,0.01581,0.76727,0.01480,0.01312,0.00187,0.34081,0.00602,0.00908,0.05331
conformal_sensor_reliability_filter,9,192,0.53906,0.03212,0.19705,0.02487,0.12066,0.01902,0.38455,0.02702,0.31337,0.02794,0.25087,0.02460,0.07118,0.01591,0.76731,0.01491,0.01297,0.00188,0.34086,0.00602,-0.01338,0.04463
ensemble_uncertainty_gating,0,192,0.50260,0.02949,0.22222,0.02602,0.12760,0.01933,0.40365,0.03074,0.27431,0.02707,0.29948,0.02467,0.11285,0.02004,0.75870,0.01486,0.08138,0.00257,0.35447,0.00629,-0.10663,0.04725
ensemble_uncertainty_gating,1,192,0.53125,0.02830,0.23264,0.02813,0.15104,0.02091,0.36719,0.02910,0.30729,0.02799,0.29514,0.02472,0.13889,0.01994,0.75963,0.01490,0.08132,0.00254,0.35436,0.00628,-0.11356,0.04613
ensemble_uncertainty_gating,2,192,0.52951,0.02834,0.24045,0.02527,0.16059,0.02203,0.39670,0.02931,0.28906,0.02595,0.27691,0.02501,0.12153,0.02003,0.75868,0.01488,0.08143,0.00254,0.35431,0.00639,-0.12177,0.04502
ensemble_uncertainty_gating,3,192,0.51649,0.03038,0.23351,0.02554,0.13976,0.02185,0.37500,0.02834,0.28646,0.02535,0.29253,0.02727,0.14062,0.02098,0.75940,0.01486,0.08131,0.00252,0.35539,0.00624,-0.11960,0.04718
ensemble_uncertainty_gating,4,192,0.53906,0.02957,0.23264,0.02653,0.14844,0.02255,0.39583,0.02756,0.27604,0.02704,0.30642,0.02875,0.12587,0.01880,0.75897,0.01490,0.08133,0.00255,0.35468,0.00630,-0.10376,0.04970
ensemble_uncertainty_gating,5,192,0.49913,0.02524,0.23351,0.02698,0.13108,0.01947,0.38281,0.02984,0.31076,0.02634,0.32465,0.02831,0.11892,0.01815,0.75888,0.01493,0.08139,0.00258,0.35508,0.00636,-0.13418,0.04106
ensemble_uncertainty_gating,6,192,0.52691,0.03089,0.22222,0.02404,0.13194,0.02196,0.38108,0.03057,0.28559,0.02468,0.28993,0.02466,0.12674,0.01996,0.75967,0.01489,0.08168,0.00254,0.35481,0.00627,-0.08654,0.04627
ensemble_uncertainty_gating,7,192,0.52778,0.02888,0.22917,0.02593,0.13889,0.02023,0.38194,0.02574,0.28385,0.02621,0.29774,0.02698,0.11632,0.01903,0.75945,0.01504,0.08141,0.00256,0.35488,0.00637,-0.09866,0.04703
ensemble_uncertainty_gating,8,192,0.54080,0.02932,0.23177,0.02608,0.14497,0.01943,0.40625,0.02757,0.29340,0.02670,0.31858,0.02640,0.13194,0.01987,0.75861,0.01486,0.08132,0.00258,0.35510,0.00624,-0.10328,0.04745
ensemble_uncertainty_gating,9,192,0.53038,0.02754,0.23264,0.02518,0.14236,0.02032,0.37413,0.02811,0.32639,0.02913,0.31250,0.02735,0.11719,0.01869,0.75884,0.01491,0.08139,0.00256,0.35449,0.00627,-0.10718,0.04693
independent_fault_detectors,0,192,0.51823,0.02868,0.27257,0.02816,0.16146,0.02116,0.46094,0.02774,0.23872,0.02383,0.29167,0.02708,0.14670,0.02034,0.80734,0.01488,0.10754,0.00252,0.36751,0.00677,-0.18403,0.04982
independent_fault_detectors,1,192,0.52431,0.02964,0.24479,0.02506,0.14844,0.01965,0.45399,0.02986,0.22569,0.02338,0.25000,0.02388,0.13368,0.02007,0.80756,0.01490,0.10737,0.00256,0.36741,0.00677,-0.12167,0.04402
independent_fault_detectors,2,192,0.52083,0.03159,0.26389,0.02657,0.16406,0.02282,0.43750,0.02819,0.23524,0.02367,0.27691,0.02626,0.14931,0.01974,0.80808,0.01490,0.10749,0.00257,0.36675,0.00680,-0.17050,0.04973
independent_fault_detectors,3,192,0.51128,0.02906,0.27691,0.02798,0.15538,0.02118,0.44358,0.02930,0.23264,0.02400,0.27083,0.02442,0.13715,0.02018,0.80859,0.01494,0.10744,0.00256,0.36798,0.00683,-0.18234,0.04817
independent_fault_detectors,4,192,0.52778,0.02722,0.25087,0.02844,0.16580,0.02096,0.47222,0.02806,0.22830,0.02293,0.28385,0.02772,0.11892,0.01939,0.80779,0.01493,0.10763,0.00257,0.36770,0.00672,-0.14567,0.04981
independent_fault_detectors,5,192,0.49653,0.02813,0.27865,0.03063,0.15712,0.02092,0.42188,0.02833,0.22396,0.02480,0.25868,0.02640,0.14410,0.02036,0.80694,0.01482,0.10760,0.00255,0.36781,0.00690,-0.19815,0.05189
independent_fault_detectors,6,192,0.49566,0.02766,0.24826,0.02472,0.17101,0.02294,0.40625,0.02830,0.23611,0.02568,0.25868,0.02409,0.14236,0.02075,0.80711,0.01496,0.10752,0.00256,0.36741,0.00678,-0.17720,0.04494
independent_fault_detectors,7,192,0.52257,0.02937,0.25260,0.02729,0.16406,0.02082,0.43924,0.02937,0.23264,0.02609,0.30816,0.02806,0.12326,0.02164,0.80729,0.01490,0.10743,0.00253,0.36835,0.00680,-0.15956,0.05052
independent_fault_detectors,8,192,0.49740,0.02713,0.26562,0.02825,0.16319,0.02250,0.45052,0.02824,0.23438,0.02353,0.28125,0.02537,0.13368,0.01993,0.80824,0.01492,0.10748,0.00255,0.36761,0.00680,-0.19268,0.04868
independent_fault_detectors,9,192,0.52257,0.03239,0.24045,0.02650,0.16233,0.02294,0.42361,0.02953,0.22483,0.02349,0.28472,0.02717,0.14844,0.02122,0.80791,0.01484,0.10728,0.00255,0.36747,0.00683,-0.14412,0.05061
learned_latent_failure_classifier,0,192,0.61198,0.02752,0.23003,0.02715,0.13715,0.02018,0.47743,0.02887,0.48524,0.02727,0.21701,0.02354,0.09635,0.01780,0.66620,0.01495,0.05918,0.00256,0.26630,0.00406,0.03145,0.04550
learned_latent_failure_classifier,1,192,0.62413,0.02806,0.22743,0.02689,0.12760,0.01978,0.48698,0.03022,0.48177,0.02701,0.21354,0.02393,0.10851,0.01881,0.66744,0.01485,0.05931,0.00252,0.26589,0.00411,0.05215,0.04367
learned_latent_failure_classifier,2,192,0.61892,0.02650,0.22222,0.02488,0.13628,0.02080,0.50608,0.03285,0.48177,0.03026,0.19358,0.02171,0.10590,0.01825,0.66628,0.01489,0.05946,0.00254,0.26608,0.00412,0.05225,0.04221
learned_latent_failure_classifier,3,192,0.61111,0.02796,0.20747,0.02516,0.12934,0.01970,0.48524,0.02892,0.46007,0.02940,0.19792,0.02258,0.09462,0.01574,0.66719,0.01478,0.05934,0.00255,0.26650,0.00403,0.06733,0.04595
learned_latent_failure_classifier,4,192,0.61979,0.02949,0.23351,0.02519,0.14410,0.01978,0.48438,0.02896,0.48438,0.02773,0.23264,0.02564,0.08767,0.01653,0.66666,0.01496,0.05936,0.00256,0.26685,0.00406,0.02712,0.04888
learned_latent_failure_classifier,5,192,0.63628,0.02888,0.22917,0.02466,0.11892,0.01954,0.48872,0.02824,0.47743,0.02897,0.21007,0.02442,0.09896,0.01808,0.66600,0.01487,0.05942,0.00253,0.26646,0.00426,0.07312,0.04468
learned_latent_failure_classifier,6,192,0.63542,0.02820,0.22049,0.02237,0.11892,0.02042,0.46788,0.02864,0.50694,0.02822,0.21615,0.02461,0.09809,0.01841,0.66602,0.01499,0.05941,0.00254,0.26589,0.00406,0.08001,0.04002
learned_latent_failure_classifier,7,192,0.62240,0.02640,0.23524,0.02700,0.11545,0.01796,0.50781,0.02987,0.45573,0.02629,0.20660,0.02418,0.10156,0.01882,0.66668,0.01494,0.05940,0.00254,0.26656,0.00413,0.05582,0.04237
learned_latent_failure_classifier,8,192,0.59375,0.02840,0.20486,0.02518,0.13889,0.01994,0.49566,0.02859,0.46528,0.02853,0.21267,0.02427,0.10677,0.01708,0.66670,0.01495,0.05948,0.00257,0.26648,0.00408,0.03768,0.04073
learned_latent_failure_classifier,9,192,0.60764,0.02905,0.21267,0.02555,0.15799,0.02015,0.50087,0.02670,0.47917,0.02615,0.22049,0.02400,0.11024,0.01967,0.66572,0.01485,0.05928,0.00255,0.26627,0.00409,0.02448,0.04679
multimodal_mixture_of_experts_router,0,192,0.62413,0.02439,0.20052,0.02244,0.11632,0.01949,0.50868,0.03124,0.44271,0.02851,0.22569,0.02609,0.11024,0.01714,0.63838,0.01496,0.05640,0.00255,0.25711,0.00416,0.09105,0.04129
multimodal_mixture_of_experts_router,1,192,0.63455,0.02598,0.21528,0.02398,0.11979,0.01995,0.48003,0.02762,0.46094,0.02742,0.22743,0.02521,0.10503,0.01779,0.63822,0.01490,0.05639,0.00255,0.25736,0.00416,0.08344,0.04353
multimodal_mixture_of_experts_router,2,192,0.66406,0.02900,0.21701,0.02556,0.11111,0.01811,0.50694,0.02933,0.45139,0.03190,0.21528,0.02528,0.09201,0.01752,0.63806,0.01487,0.05628,0.00254,0.25665,0.00417,0.12500,0.04527
multimodal_mixture_of_experts_router,3,192,0.64323,0.02799,0.21354,0.02512,0.10243,0.01785,0.47483,0.02613,0.44618,0.03023,0.23003,0.02583,0.08594,0.01581,0.63884,0.01495,0.05627,0.00258,0.25663,0.00423,0.11193,0.04561
multimodal_mixture_of_experts_router,4,192,0.61545,0.02949,0.21788,0.02281,0.11285,0.01915,0.46007,0.03047,0.44878,0.02838,0.22917,0.02593,0.09201,0.01718,0.63848,0.01479,0.05641,0.00253,0.25724,0.00413,0.06978,0.04460
multimodal_mixture_of_experts_router,5,192,0.64062,0.02861,0.19444,0.02404,0.11372,0.01834,0.50260,0.02920,0.45920,0.02882,0.23177,0.02411,0.09635,0.01661,0.63803,0.01482,0.05635,0.00255,0.25720,0.00414,0.11781,0.04400
multimodal_mixture_of_experts_router,6,192,0.62934,0.02820,0.22830,0.02500,0.11198,0.01871,0.50174,0.03117,0.44965,0.02732,0.22483,0.02482,0.10330,0.01783,0.63890,0.01481,0.05632,0.00256,0.25678,0.00416,0.07166,0.04466
multimodal_mixture_of_experts_router,7,192,0.62760,0.02721,0.21875,0.02627,0.11719,0.02019,0.46615,0.02920,0.50608,0.02690,0.22135,0.02303,0.10764,0.01959,0.63821,0.01486,0.05611,0.00252,0.25687,0.00414,0.07610,0.04871
multimodal_mixture_of_experts_router,8,192,0.62674,0.02930,0.21354,0.02453,0.11545,0.01891,0.50955,0.02986,0.47483,0.02764,0.23785,0.02648,0.09635,0.01951,0.63761,0.01485,0.05644,0.00254,0.25694,0.00415,0.08012,0.04156
multimodal_mixture_of_experts_router,9,192,0.64149,0.02464,0.19878,0.02275,0.10851,0.01881,0.51128,0.03014,0.47656,0.02704,0.22830,0.02602,0.11892,0.01909,0.63769,0.01484,0.05644,0.00256,0.25652,0.00418,0.11394,0.03906
nominal_multimodal_policy,0,192,0.35330,0.02720,0.32378,0.02688,0.20312,0.02306,0.15538,0.02048,0.07205,0.01498,0.41059,0.02904,0.20920,0.02556,0.94093,0.01492,0.15352,0.00253,0.55051,0.00968,-0.50854,0.05102
nominal_multimodal_policy,1,192,0.34549,0.02559,0.30295,0.02743,0.19184,0.02215,0.15799,0.01986,0.06858,0.01432,0.45052,0.03013,0.19358,0.02250,0.94177,0.01484,0.15333,0.00255,0.55027,0.00970,-0.49296,0.04566
nominal_multimodal_policy,2,192,0.32552,0.02711,0.31250,0.02950,0.22656,0.02577,0.15365,0.02183,0.07465,0.01614,0.45833,0.02945,0.19444,0.02254,0.94084,0.01489,0.15363,0.00253,0.54901,0.00971,-0.55412,0.04993
nominal_multimodal_policy,3,192,0.32205,0.02654,0.34896,0.02566,0.21007,0.02244,0.17274,0.02405,0.07031,0.01415,0.44097,0.02697,0.21788,0.02256,0.94046,0.01485,0.15323,0.00252,0.55025,0.00962,-0.58377,0.04756
nominal_multimodal_policy,4,192,0.33507,0.02824,0.29601,0.02515,0.21875,0.02408,0.16059,0.02136,0.07726,0.01580,0.45399,0.02986,0.19531,0.02322,0.94096,0.01492,0.15336,0.00252,0.54969,0.00968,-0.51926,0.04592
nominal_multimodal_policy,5,192,0.33333,0.02885,0.28819,0.02675,0.21007,0.02418,0.15365,0.02116,0.07899,0.01635,0.45312,0.02949,0.19705,0.02428,0.94110,0.01491,0.15356,0.00253,0.55048,0.00971,-0.50564,0.04710
nominal_multimodal_policy,6,192,0.35764,0.02834,0.30208,0.03019,0.20920,0.02266,0.15885,0.01994,0.08160,0.01689,0.45226,0.02736,0.19097,0.02326,0.94100,0.01488,0.15341,0.00255,0.54972,0.00964,-0.49388,0.05400
nominal_multimodal_policy,7,192,0.36458,0.02931,0.32205,0.02916,0.21007,0.02394,0.15365,0.02210,0.06944,0.01513,0.45399,0.03005,0.19705,0.02343,0.94112,0.01494,0.15344,0.00253,0.54978,0.00973,-0.51121,0.05083
nominal_multimodal_policy,8,192,0.34549,0.02839,0.31597,0.02993,0.21962,0.02324,0.17274,0.02216,0.07726,0.01704,0.46528,0.03069,0.19618,0.02412,0.94067,0.01491,0.15337,0.00253,0.55018,0.00972,-0.53467,0.05169
nominal_multimodal_policy,9,192,0.33681,0.02642,0.31597,0.02954,0.19010,0.02284,0.16667,0.02117,0.08854,0.01652,0.46615,0.02660,0.21962,0.02386,0.94122,0.01497,0.15343,0.00254,0.55027,0.00969,-0.52513,0.05038
oracle_failure_aware_policy,0,192,0.89062,0.01751,0.12326,0.01967,0.05469,0.01471,0.68924,0.02645,0.76042,0.02514,0.03819,0.01104,0.00260,0.00293,0.36926,0.01476,0.00200,0.00000,0.00000,0.00000,0.62766,0.03151
oracle_failure_aware_policy,1,192,0.89236,0.01852,0.12066,0.02106,0.03819,0.01229,0.68056,0.02557,0.76910,0.02561,0.04167,0.01321,0.00434,0.00376,0.36925,0.01479,0.00200,0.00000,0.00000,0.00000,0.64428,0.03295
oracle_failure_aware_policy,2,192,0.87674,0.01996,0.12674,0.02068,0.04340,0.01310,0.68490,0.02591,0.78385,0.02117,0.04774,0.01378,0.00087,0.00170,0.36923,0.01488,0.00200,0.00000,0.00000,0.00000,0.61683,0.03209
oracle_failure_aware_policy,3,192,0.88368,0.01918,0.12674,0.02164,0.04514,0.01253,0.67622,0.02678,0.77951,0.02400,0.04167,0.01386,0.00260,0.00293,0.36976,0.01482,0.00200,0.00000,0.00000,0.00000,0.62367,0.03288
oracle_failure_aware_policy,4,192,0.87240,0.02106,0.12153,0.01868,0.04340,0.01265,0.68576,0.02694,0.75955,0.02456,0.03385,0.01170,0.00087,0.00170,0.36989,0.01487,0.00200,0.00000,0.00000,0.00000,0.62217,0.03045
oracle_failure_aware_policy,5,192,0.86892,0.02173,0.12066,0.02092,0.05382,0.01427,0.65972,0.02652,0.75174,0.02460,0.04427,0.01293,0.00347,0.00338,0.36985,0.01489,0.00200,0.00000,0.00000,0.00000,0.60735,0.03417
oracle_failure_aware_policy,6,192,0.88802,0.01932,0.12413,0.02120,0.04167,0.01182,0.68576,0.02779,0.78906,0.02445,0.04167,0.01365,0.00174,0.00240,0.36906,0.01488,0.00200,0.00000,0.00000,0.00000,0.63400,0.03112
oracle_failure_aware_policy,7,192,0.88889,0.01745,0.12066,0.02106,0.04861,0.01295,0.68490,0.02668,0.77604,0.02420,0.04080,0.01176,0.00260,0.00293,0.36984,0.01483,0.00200,0.00000,0.00000,0.00000,0.63284,0.03221
oracle_failure_aware_policy,8,192,0.88021,0.01981,0.10764,0.01884,0.04427,0.01175,0.68750,0.02960,0.75694,0.02374,0.04080,0.01271,0.00260,0.00293,0.36896,0.01482,0.00200,0.00000,0.00000,0.00000,0.64193,0.03169
oracle_failure_aware_policy,9,192,0.88542,0.01799,0.11024,0.01967,0.04948,0.01300,0.68576,0.02790,0.77431,0.02620,0.04167,0.01343,0.00521,0.00411,0.36897,0.01498,0.00200,0.00000,0.00000,0.00000,0.63917,0.02775
proposed_sensor_failure_composition_v4,0,192,0.69878,0.02729,0.18142,0.02181,0.09028,0.01686,0.54080,0.03068,0.54427,0.02726,0.17101,0.02269,0.05903,0.01298,0.54727,0.01492,0.02760,0.00247,0.19311,0.00274,0.25538,0.03953
proposed_sensor_failure_composition_v4,1,192,0.72049,0.02729,0.19097,0.02495,0.08160,0.01689,0.52951,0.02984,0.56944,0.02786,0.17188,0.02223,0.05642,0.01417,0.54617,0.01487,0.02741,0.00245,0.19235,0.00271,0.27446,0.04085
proposed_sensor_failure_composition_v4,2,192,0.68837,0.02749,0.15885,0.02215,0.07726,0.01598,0.51476,0.03040,0.56771,0.02916,0.15017,0.02069,0.07726,0.01616,0.54688,0.01490,0.02792,0.00247,0.19236,0.00281,0.28194,0.04031
proposed_sensor_failure_composition_v4,3,192,0.69792,0.02560,0.18056,0.02464,0.09809,0.01777,0.51302,0.02771,0.56771,0.02856,0.15799,0.02208,0.06250,0.01516,0.54670,0.01490,0.02760,0.00244,0.19252,0.00278,0.25222,0.04065
proposed_sensor_failure_composition_v4,4,192,0.69097,0.02813,0.19184,0.02367,0.09115,0.01753,0.56684,0.02845,0.56337,0.02931,0.16059,0.02189,0.06424,0.01502,0.54703,0.01491,0.02746,0.00248,0.19297,0.00276,0.23753,0.04299
proposed_sensor_failure_composition_v4,5,192,0.68576,0.02737,0.18750,0.02333,0.08594,0.01688,0.53819,0.02974,0.55642,0.02787,0.17101,0.02039,0.05469,0.01368,0.54640,0.01483,0.02765,0.00247,0.19324,0.00277,0.24054,0.04240
proposed_sensor_failure_composition_v4,6,192,0.68750,0.02819,0.17448,0.02280,0.08767,0.01739,0.54774,0.02980,0.55382,0.02935,0.16493,0.02171,0.07205,0.01592,0.54695,0.01493,0.02740,0.00247,0.19299,0.00263,0.25250,0.04304
proposed_sensor_failure_composition_v4,7,192,0.69184,0.02827,0.16493,0.02263,0.09635,0.01644,0.55469,0.02846,0.55556,0.02977,0.15017,0.02125,0.07639,0.01560,0.54662,0.01490,0.02779,0.00249,0.19313,0.00282,0.26345,0.04168
proposed_sensor_failure_composition_v4,8,192,0.71094,0.02561,0.18403,0.02448,0.10156,0.01770,0.53646,0.02603,0.55642,0.03066,0.15712,0.02133,0.06250,0.01310,0.54637,0.01480,0.02743,0.00250,0.19317,0.00274,0.25897,0.03990
proposed_sensor_failure_composition_v4,9,192,0.72222,0.02806,0.19010,0.02549,0.09115,0.01559,0.54688,0.02959,0.56510,0.03116,0.16840,0.02184,0.06510,0.01444,0.54691,0.01490,0.02750,0.00244,0.19267,0.00274,0.26812,0.03986
risk_aware_sensor_reconfiguration,0,192,0.64410,0.02785,0.19097,0.02338,0.09375,0.01815,0.48872,0.02654,0.48785,0.03113,0.21007,0.02442,0.08420,0.01600,0.59328,0.01496,0.02451,0.00241,0.23498,0.00365,0.15967,0.04636
risk_aware_sensor_reconfiguration,1,192,0.64236,0.02944,0.18490,0.02591,0.09201,0.01701,0.45833,0.02875,0.45226,0.02951,0.19965,0.02253,0.06944,0.01513,0.59370,0.01488,0.02455,0.00240,0.23447,0.00368,0.17251,0.04446
risk_aware_sensor_reconfiguration,2,192,0.64757,0.02952,0.17274,0.02242,0.10938,0.02056,0.50521,0.02874,0.46181,0.02823,0.21441,0.02334,0.09375,0.01716,0.59432,0.01487,0.02463,0.00242,0.23472,0.00368,0.16624,0.04476
risk_aware_sensor_reconfiguration,3,192,0.65451,0.02979,0.17448,0.02305,0.09462,0.01749,0.48090,0.02684,0.47743,0.02743,0.19965,0.02379,0.07986,0.01581,0.59267,0.01486,0.02467,0.00239,0.23516,0.00374,0.19145,0.04263
risk_aware_sensor_reconfiguration,4,192,0.67795,0.02437,0.19010,0.02537,0.07812,0.01652,0.47743,0.02907,0.43924,0.02556,0.20833,0.02542,0.08247,0.01671,0.59254,0.01489,0.02436,0.00238,0.23542,0.00371,0.20835,0.03974
risk_aware_sensor_reconfiguration,5,192,0.66146,0.02843,0.18056,0.02267,0.07986,0.01525,0.50347,0.02915,0.45312,0.02680,0.20660,0.02382,0.10069,0.01805,0.59393,0.01495,0.02449,0.00240,0.23527,0.00372,0.19664,0.04339
