ablation,seed,rows,success,ci95_success,safety_violation,ci95_safety_violation,damage,ci95_damage,fault_f1,ci95_fault_f1,interaction_f1,ci95_interaction_f1,missed_fault,ci95_missed_fault,false_isolation,ci95_false_isolation,recovery_latency,ci95_recovery_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
full_risk_calibrated_sensor_composition_v5,0,192,0.79688,0.02163,0.14323,0.02098,0.06163,0.01475,0.61024,0.02570,0.70226,0.02773,0.10590,0.01872,0.00608,0.00443,0.44214,0.01485,0.00206,0.00004,0.08639,0.00143,0.47061,0.03209
full_risk_calibrated_sensor_composition_v5,1,192,0.78125,0.02396,0.14931,0.02144,0.07378,0.01576,0.60851,0.02717,0.67882,0.02766,0.09809,0.01693,0.00521,0.00411,0.44231,0.01490,0.00206,0.00004,0.08745,0.00141,0.44098,0.03535
full_risk_calibrated_sensor_composition_v5,2,192,0.80208,0.02309,0.13628,0.02162,0.05122,0.01286,0.63368,0.02927,0.68056,0.02796,0.11024,0.01937,0.00347,0.00338,0.44259,0.01491,0.00207,0.00005,0.08714,0.00141,0.49111,0.03548
full_risk_calibrated_sensor_composition_v5,3,192,0.79601,0.02468,0.13281,0.02069,0.06597,0.01599,0.57726,0.02749,0.68750,0.02524,0.08420,0.01706,0.00434,0.00376,0.44240,0.01492,0.00205,0.00004,0.08673,0.00148,0.48432,0.03676
full_risk_calibrated_sensor_composition_v5,4,192,0.77691,0.02454,0.14323,0.02383,0.06076,0.01472,0.57986,0.02823,0.68229,0.02815,0.10330,0.01878,0.00521,0.00411,0.44264,0.01490,0.00206,0.00005,0.08606,0.00136,0.45226,0.03559
full_risk_calibrated_sensor_composition_v5,5,192,0.79427,0.02342,0.12934,0.02085,0.05035,0.01304,0.59115,0.02953,0.70747,0.02716,0.08507,0.01773,0.00434,0.00376,0.44309,0.01501,0.00206,0.00004,0.08675,0.00140,0.49877,0.03339
full_risk_calibrated_sensor_composition_v5,6,192,0.79514,0.02564,0.13542,0.01969,0.05816,0.01541,0.60503,0.02868,0.65799,0.02662,0.08594,0.01671,0.00781,0.00500,0.44214,0.01497,0.00206,0.00004,0.08647,0.00150,0.48573,0.03411
full_risk_calibrated_sensor_composition_v5,7,192,0.79167,0.02460,0.13802,0.02167,0.06163,0.01533,0.61806,0.02585,0.66146,0.02664,0.09983,0.01757,0.00694,0.00472,0.44269,0.01504,0.00206,0.00004,0.08692,0.00144,0.47255,0.03617
full_risk_calibrated_sensor_composition_v5,8,192,0.79167,0.02314,0.12240,0.02057,0.05382,0.01364,0.59809,0.03120,0.69792,0.02639,0.10417,0.01861,0.00608,0.00443,0.44270,0.01489,0.00205,0.00004,0.08674,0.00143,0.49474,0.03516
full_risk_calibrated_sensor_composition_v5,9,192,0.78299,0.02544,0.13194,0.02115,0.05903,0.01525,0.58681,0.02729,0.70139,0.02608,0.11024,0.01781,0.00347,0.00338,0.44343,0.01480,0.00207,0.00005,0.08648,0.00139,0.47015,0.03550
no_active_repair,0,192,0.73003,0.02736,0.17882,0.02454,0.06771,0.01510,0.60069,0.02905,0.67101,0.02713,0.13889,0.02121,0.01302,0.00720,0.57671,0.01488,0.00645,0.00122,0.15450,0.00228,0.32911,0.03975
no_active_repair,1,192,0.70747,0.02737,0.14757,0.02168,0.07292,0.01593,0.56163,0.02878,0.66667,0.02719,0.13889,0.01965,0.01476,0.00753,0.57606,0.01484,0.00646,0.00123,0.15559,0.00227,0.33571,0.03839
no_active_repair,2,192,0.73351,0.02621,0.15972,0.02324,0.08507,0.01671,0.58247,0.02803,0.63108,0.02677,0.12413,0.02134,0.00955,0.00549,0.57634,0.01488,0.00649,0.00123,0.15552,0.00233,0.34429,0.03903
no_active_repair,3,192,0.71788,0.02838,0.17622,0.02050,0.07986,0.01671,0.60417,0.02777,0.63455,0.02781,0.15017,0.02152,0.01128,0.00594,0.57713,0.01498,0.00655,0.00123,0.15492,0.00238,0.30675,0.04068
no_active_repair,4,192,0.74045,0.02628,0.17101,0.02319,0.06597,0.01406,0.59722,0.02817,0.63194,0.02893,0.15104,0.02316,0.00347,0.00338,0.57672,0.01497,0.00641,0.00121,0.15500,0.00225,0.34803,0.03799
no_active_repair,5,192,0.72569,0.02507,0.16493,0.02288,0.07639,0.01786,0.59288,0.02737,0.66406,0.02829,0.13976,0.02061,0.00608,0.00504,0.57631,0.01498,0.00640,0.00121,0.15554,0.00226,0.33412,0.03829
no_active_repair,6,192,0.71875,0.02583,0.15104,0.02173,0.07378,0.01594,0.59375,0.03029,0.65191,0.02842,0.13108,0.01991,0.00694,0.00530,0.57636,0.01496,0.00643,0.00120,0.15487,0.00227,0.34670,0.04056
no_active_repair,7,192,0.69618,0.02854,0.16927,0.02489,0.08073,0.01636,0.61198,0.02677,0.64236,0.02792,0.13976,0.02089,0.00608,0.00504,0.57690,0.01493,0.00639,0.00122,0.15479,0.00240,0.29626,0.04383
no_active_repair,8,192,0.69705,0.02722,0.17361,0.02261,0.07031,0.01608,0.57031,0.03177,0.68576,0.02457,0.13889,0.01980,0.00521,0.00411,0.57635,0.01483,0.00653,0.00121,0.15509,0.00227,0.30154,0.03776
no_active_repair,9,192,0.73264,0.02686,0.16406,0.02489,0.06858,0.01391,0.59375,0.02951,0.63368,0.02732,0.15191,0.02086,0.00521,0.00411,0.57612,0.01497,0.00648,0.00124,0.15479,0.00224,0.34500,0.04098
no_conformal_calibration,0,192,0.71094,0.02550,0.17622,0.02106,0.08854,0.01670,0.59375,0.02861,0.62500,0.02994,0.16059,0.02080,0.06597,0.01506,0.49015,0.01491,0.10224,0.00254,0.15065,0.00194,0.28303,0.03982
no_conformal_calibration,1,192,0.74306,0.02585,0.17101,0.02418,0.08941,0.01542,0.60069,0.02874,0.66059,0.02534,0.13715,0.01930,0.08160,0.01671,0.49084,0.01491,0.10202,0.00257,0.15142,0.00178,0.32324,0.04010
no_conformal_calibration,2,192,0.71267,0.02667,0.16406,0.02282,0.10069,0.01868,0.56771,0.02773,0.63628,0.02764,0.16580,0.02257,0.05382,0.01276,0.49021,0.01491,0.10215,0.00251,0.15075,0.00192,0.28927,0.04016
no_conformal_calibration,3,192,0.71181,0.02541,0.17882,0.02478,0.07465,0.01482,0.59375,0.02971,0.65972,0.02630,0.17101,0.02332,0.05729,0.01379,0.49160,0.01495,0.10186,0.00254,0.15074,0.00184,0.29121,0.04104
no_conformal_calibration,4,192,0.71354,0.02765,0.19878,0.02275,0.07726,0.01465,0.59549,0.02735,0.60243,0.02831,0.15538,0.02302,0.06771,0.01368,0.49087,0.01495,0.10202,0.00256,0.15086,0.00182,0.27155,0.03988
no_conformal_calibration,5,192,0.71615,0.02621,0.19531,0.02284,0.07726,0.01616,0.57639,0.02853,0.67014,0.02575,0.15972,0.02182,0.05556,0.01238,0.49043,0.01486,0.10208,0.00253,0.15105,0.00192,0.27959,0.03689
no_conformal_calibration,6,192,0.72049,0.02460,0.18316,0.02431,0.08681,0.01635,0.59722,0.02928,0.64583,0.02870,0.14410,0.02065,0.07378,0.01576,0.49121,0.01492,0.10206,0.00257,0.15057,0.00189,0.28941,0.04227
no_conformal_calibration,7,192,0.73003,0.02789,0.17708,0.02232,0.06858,0.01623,0.61198,0.02710,0.63108,0.02720,0.16493,0.02288,0.07552,0.01502,0.49083,0.01481,0.10198,0.00257,0.15142,0.00192,0.31387,0.04129
no_conformal_calibration,8,192,0.72917,0.02570,0.18229,0.02578,0.07639,0.01464,0.58420,0.02803,0.64410,0.02897,0.14236,0.02061,0.06337,0.01399,0.49079,0.01501,0.10228,0.00254,0.15073,0.00188,0.31064,0.03898
no_conformal_calibration,9,192,0.74392,0.02529,0.17882,0.02178,0.08420,0.01671,0.59201,0.02758,0.65712,0.02721,0.15712,0.02213,0.06771,0.01471,0.49048,0.01499,0.10189,0.00254,0.15028,0.00173,0.31735,0.03698
no_cross_modal_disagreement,0,192,0.63802,0.02799,0.16493,0.02089,0.08854,0.01670,0.50000,0.02813,0.38889,0.02858,0.23524,0.02266,0.02865,0.00985,0.55271,0.01494,0.00543,0.00105,0.23243,0.00428,0.20500,0.04216
no_cross_modal_disagreement,1,192,0.63715,0.02824,0.15799,0.02348,0.08941,0.01704,0.48351,0.02725,0.42188,0.02812,0.21615,0.02401,0.03733,0.01149,0.55394,0.01490,0.00548,0.00105,0.23364,0.00414,0.21436,0.04093
no_cross_modal_disagreement,2,192,0.65191,0.02595,0.16406,0.02307,0.07465,0.01595,0.50955,0.02688,0.39583,0.02860,0.21615,0.02496,0.03559,0.01055,0.55291,0.01491,0.00537,0.00104,0.23297,0.00423,0.23525,0.04009
no_cross_modal_disagreement,3,192,0.65017,0.02970,0.16493,0.02047,0.07378,0.01558,0.49740,0.02969,0.42014,0.02740,0.20139,0.02087,0.03733,0.01097,0.55276,0.01481,0.00554,0.00108,0.23308,0.00424,0.23731,0.04099
no_cross_modal_disagreement,4,192,0.66840,0.02740,0.17274,0.02229,0.06076,0.01391,0.48438,0.02926,0.41233,0.02813,0.21441,0.02444,0.02691,0.01079,0.55290,0.01486,0.00545,0.00107,0.23279,0.00426,0.25636,0.03878
no_cross_modal_disagreement,5,192,0.64062,0.02941,0.17795,0.02401,0.07639,0.01651,0.50521,0.02541,0.40017,0.02896,0.22396,0.02384,0.02865,0.00892,0.55298,0.01493,0.00542,0.00107,0.23353,0.00425,0.20685,0.04333
no_cross_modal_disagreement,6,192,0.64931,0.03061,0.17188,0.02363,0.08681,0.01821,0.47222,0.02827,0.40104,0.02896,0.23611,0.02613,0.03993,0.01144,0.55319,0.01485,0.00540,0.00102,0.23286,0.00425,0.20716,0.04467
no_cross_modal_disagreement,7,192,0.66667,0.02994,0.15885,0.01964,0.08247,0.01618,0.47483,0.02701,0.39410,0.02816,0.21875,0.02736,0.03646,0.01063,0.55285,0.01498,0.00541,0.00106,0.23320,0.00427,0.24824,0.04294
no_cross_modal_disagreement,8,192,0.64931,0.02664,0.17795,0.02352,0.08507,0.01739,0.51823,0.02958,0.41146,0.02664,0.21788,0.02442,0.03472,0.01074,0.55265,0.01487,0.00540,0.00105,0.23305,0.00415,0.20883,0.04101
no_cross_modal_disagreement,9,192,0.64757,0.02539,0.18056,0.02428,0.09201,0.01701,0.49045,0.02589,0.37760,0.02811,0.22222,0.02568,0.03906,0.01137,0.55281,0.01486,0.00540,0.00105,0.23250,0.00417,0.19622,0.04140
no_false_alarm_suppression,0,192,0.73872,0.02502,0.14062,0.02098,0.06250,0.01457,0.57118,0.02920,0.64323,0.02605,0.11545,0.01747,0.08854,0.01543,0.48433,0.01495,0.00339,0.00057,0.14476,0.00187,0.38513,0.03550
no_false_alarm_suppression,1,192,0.73698,0.02889,0.15712,0.02278,0.06944,0.01513,0.59809,0.02867,0.66406,0.02829,0.11719,0.01931,0.06684,0.01469,0.48478,0.01497,0.00343,0.00058,0.14555,0.00177,0.36450,0.04218
no_false_alarm_suppression,2,192,0.73177,0.02641,0.14323,0.02084,0.07205,0.01478,0.58854,0.03003,0.64062,0.02650,0.11545,0.01796,0.06684,0.01546,0.48474,0.01492,0.00341,0.00056,0.14495,0.00182,0.37268,0.04106
no_false_alarm_suppression,3,192,0.72049,0.02424,0.15712,0.02366,0.07812,0.01670,0.60156,0.02812,0.65104,0.02916,0.11198,0.01871,0.08333,0.01654,0.48452,0.01491,0.00343,0.00058,0.14511,0.00182,0.33853,0.03948
no_false_alarm_suppression,4,192,0.73351,0.02643,0.15712,0.02366,0.06858,0.01511,0.57465,0.02779,0.66059,0.02557,0.13889,0.02242,0.07639,0.01444,0.48475,0.01487,0.00342,0.00056,0.14534,0.00181,0.35294,0.03723
no_false_alarm_suppression,5,192,0.74566,0.02424,0.14410,0.02329,0.07118,0.01477,0.57726,0.03012,0.68750,0.02819,0.12500,0.01869,0.08767,0.01705,0.48504,0.01495,0.00334,0.00056,0.14594,0.00178,0.37843,0.03533
no_false_alarm_suppression,6,192,0.72309,0.02798,0.15451,0.02320,0.06858,0.01511,0.60243,0.02862,0.66753,0.02766,0.11545,0.01763,0.08420,0.01427,0.48392,0.01496,0.00329,0.00053,0.14494,0.00187,0.35064,0.03797
no_false_alarm_suppression,7,192,0.73785,0.02735,0.14931,0.02351,0.07118,0.01554,0.61024,0.02969,0.62934,0.02650,0.13628,0.02008,0.08941,0.01634,0.48422,0.01501,0.00337,0.00056,0.14511,0.00188,0.36133,0.04062
no_false_alarm_suppression,8,192,0.76823,0.02312,0.17708,0.02432,0.07899,0.01688,0.58681,0.02740,0.66753,0.02798,0.11545,0.02067,0.08073,0.01600,0.48422,0.01490,0.00340,0.00056,0.14486,0.00189,0.36364,0.03972
no_false_alarm_suppression,9,192,0.75000,0.02495,0.13281,0.02097,0.06771,0.01451,0.58941,0.02924,0.66233,0.02680,0.10243,0.01865,0.08160,0.01671,0.48498,0.01489,0.00337,0.00056,0.14515,0.00180,0.40605,0.03540
no_pairwise_interaction_edges,0,192,0.68490,0.02807,0.14670,0.02077,0.07205,0.01646,0.57031,0.03046,0.41927,0.02782,0.16840,0.02364,0.03906,0.01137,0.50624,0.01477,0.00302,0.00044,0.19737,0.00388,0.31021,0.04145
no_pairwise_interaction_edges,1,192,0.68750,0.02777,0.16319,0.02046,0.07812,0.01617,0.60938,0.02901,0.40104,0.02916,0.17014,0.02089,0.05729,0.01379,0.50551,0.01494,0.00306,0.00046,0.19789,0.00373,0.28524,0.03997
no_pairwise_interaction_edges,2,192,0.69705,0.02499,0.15191,0.02298,0.07639,0.01615,0.59201,0.02811,0.36632,0.03006,0.17969,0.02236,0.04861,0.01250,0.50594,0.01497,0.00303,0.00046,0.19693,0.00374,0.30755,0.03803
no_pairwise_interaction_edges,3,192,0.65451,0.02724,0.14410,0.02007,0.08767,0.01525,0.55642,0.02870,0.38628,0.02727,0.16667,0.02301,0.04080,0.01293,0.50602,0.01488,0.00299,0.00044,0.19714,0.00373,0.26997,0.03899
no_pairwise_interaction_edges,4,192,0.67361,0.02695,0.14062,0.01999,0.07552,0.01615,0.58160,0.02813,0.40017,0.02772,0.16753,0.02244,0.03559,0.01135,0.50610,0.01500,0.00304,0.00046,0.19711,0.00363,0.30376,0.03575
no_pairwise_interaction_edges,5,192,0.70226,0.02554,0.14323,0.02383,0.06944,0.01570,0.58767,0.02802,0.39410,0.02711,0.15712,0.02265,0.04167,0.01206,0.50556,0.01482,0.00306,0.00046,0.19735,0.00376,0.33633,0.04016
no_pairwise_interaction_edges,6,192,0.69618,0.02824,0.15365,0.02288,0.07378,0.01683,0.57552,0.03011,0.41927,0.02740,0.16580,0.02096,0.03559,0.01055,0.50627,0.01478,0.00302,0.00045,0.19663,0.00374,0.31418,0.04116
no_pairwise_interaction_edges,7,192,0.66406,0.02766,0.13542,0.02098,0.07552,0.01423,0.60764,0.02964,0.39757,0.02618,0.17014,0.02210,0.03906,0.01137,0.50658,0.01487,0.00310,0.00049,0.19684,0.00379,0.29813,0.03894
no_pairwise_interaction_edges,8,192,0.67014,0.02664,0.14757,0.02273,0.07552,0.01541,0.58247,0.02875,0.38628,0.02943,0.16146,0.02210,0.03385,0.01010,0.50558,0.01488,0.00300,0.00046,0.19705,0.00380,0.29512,0.04071
no_pairwise_interaction_edges,9,192,0.67969,0.02707,0.16059,0.02242,0.07292,0.01519,0.58247,0.02955,0.41840,0.02895,0.15017,0.02012,0.02865,0.00985,0.50649,0.01485,0.00302,0.00045,0.19709,0.00376,0.29722,0.03970
no_recovery_action_selection,0,192,0.71962,0.02780,0.18056,0.02464,0.11024,0.01829,0.60677,0.02773,0.62587,0.02790,0.12500,0.01930,0.00521,0.00411,0.70742,0.01490,0.00565,0.00109,0.17162,0.00286,0.26631,0.04248
no_recovery_action_selection,1,192,0.72396,0.02639,0.19097,0.02448,0.09635,0.01730,0.59635,0.02691,0.62847,0.02771,0.15104,0.02200,0.00608,0.00443,0.70713,0.01485,0.00572,0.00110,0.17252,0.00285,0.26281,0.04210
no_recovery_action_selection,2,192,0.70747,0.02492,0.18750,0.02358,0.08594,0.01618,0.59028,0.02791,0.64236,0.02823,0.13368,0.02079,0.00694,0.00472,0.70717,0.01488,0.00571,0.00111,0.17124,0.00294,0.26361,0.03819
no_recovery_action_selection,3,192,0.71181,0.02631,0.17708,0.02297,0.09028,0.01754,0.56771,0.02794,0.65278,0.02775,0.13542,0.02056,0.01215,0.00615,0.70777,0.01486,0.00575,0.00112,0.17129,0.00290,0.27376,0.04045
no_recovery_action_selection,4,192,0.72135,0.02316,0.15625,0.02056,0.09115,0.01702,0.58941,0.02728,0.64670,0.02783,0.13628,0.01950,0.01042,0.00572,0.70719,0.01490,0.00562,0.00109,0.17189,0.00284,0.30536,0.03552
no_recovery_action_selection,5,192,0.71181,0.02761,0.16840,0.02388,0.10330,0.01799,0.58420,0.02844,0.63628,0.02711,0.15191,0.02141,0.00608,0.00504,0.70712,0.01482,0.00580,0.00112,0.17198,0.00295,0.26908,0.04147
no_recovery_action_selection,6,192,0.71615,0.02803,0.19358,0.02460,0.10764,0.01989,0.60590,0.02785,0.62674,0.02724,0.12847,0.01929,0.00521,0.00411,0.70726,0.01486,0.00584,0.00112,0.17112,0.00286,0.24989,0.04396
no_recovery_action_selection,7,192,0.69358,0.02729,0.17969,0.02411,0.08507,0.01689,0.56510,0.02738,0.63802,0.02881,0.14583,0.02068,0.00781,0.00500,0.70747,0.01495,0.00576,0.00111,0.17196,0.00291,0.25496,0.04204
no_recovery_action_selection,8,192,0.70833,0.02740,0.17708,0.02627,0.09028,0.01737,0.61024,0.02890,0.64323,0.02746,0.14236,0.02046,0.00694,0.00472,0.70707,0.01491,0.00579,0.00109,0.17101,0.00286,0.26957,0.04413
no_recovery_action_selection,9,192,0.69618,0.02697,0.16840,0.02314,0.10417,0.01765,0.56944,0.02858,0.64931,0.02834,0.16059,0.02009,0.01476,0.00753,0.70792,0.01480,0.00569,0.00110,0.17131,0.00282,0.24793,0.04331
no_temporal_recovery_memory,0,192,0.71528,0.02470,0.16233,0.02332,0.08594,0.01618,0.57812,0.02518,0.59983,0.02741,0.12326,0.02068,0.01042,0.00621,0.66768,0.01495,0.00308,0.00046,0.17044,0.00292,0.30530,0.03887
no_temporal_recovery_memory,1,192,0.73872,0.02502,0.17708,0.02206,0.09028,0.01615,0.61892,0.02931,0.57465,0.02952,0.12674,0.01922,0.00955,0.00549,0.66731,0.01492,0.00311,0.00049,0.17090,0.00282,0.30846,0.03867
no_temporal_recovery_memory,2,192,0.70920,0.02700,0.15538,0.02508,0.09549,0.01813,0.56337,0.02941,0.60417,0.02692,0.12153,0.02061,0.00868,0.00578,0.66794,0.01494,0.00304,0.00046,0.17042,0.00290,0.29979,0.04304
no_temporal_recovery_memory,3,192,0.71615,0.02643,0.17448,0.02215,0.08333,0.01563,0.55903,0.02686,0.61111,0.02948,0.12240,0.02000,0.00955,0.00600,0.66767,0.01492,0.00319,0.00052,0.17016,0.00281,0.29564,0.03765
no_temporal_recovery_memory,4,192,0.72656,0.02566,0.16059,0.02255,0.07986,0.01821,0.58941,0.02608,0.58941,0.02652,0.11458,0.01909,0.01215,0.00660,0.66792,0.01488,0.00313,0.00050,0.17111,0.00279,0.32558,0.03618
no_temporal_recovery_memory,5,192,0.70920,0.02533,0.17535,0.02247,0.09028,0.01703,0.57292,0.02704,0.58767,0.02802,0.12500,0.02047,0.00868,0.00578,0.66814,0.01488,0.00314,0.00048,0.17144,0.00281,0.28141,0.03630
no_temporal_recovery_memory,6,192,0.70399,0.02800,0.16233,0.02204,0.09028,0.01686,0.62500,0.02609,0.60764,0.03022,0.14062,0.02056,0.01389,0.00696,0.66825,0.01501,0.00310,0.00048,0.17091,0.00287,0.28431,0.04183
no_temporal_recovery_memory,7,192,0.71441,0.02799,0.16146,0.02170,0.07465,0.01521,0.58681,0.02884,0.57292,0.02851,0.11458,0.01815,0.01389,0.00696,0.66829,0.01483,0.00311,0.00047,0.17103,0.00293,0.31628,0.04139
no_temporal_recovery_memory,8,192,0.71441,0.02639,0.17622,0.02427,0.09722,0.01606,0.55729,0.03010,0.58247,0.02824,0.12934,0.01800,0.00781,0.00555,0.66774,0.01490,0.00306,0.00045,0.17034,0.00280,0.27897,0.03924
no_temporal_recovery_memory,9,192,0.71181,0.02363,0.16667,0.02185,0.08420,0.01689,0.57812,0.02843,0.58941,0.02914,0.14323,0.02056,0.00694,0.00472,0.66794,0.01492,0.00309,0.00047,0.17046,0.00277,0.29336,0.03941
v4_composition_rules,0,192,0.68403,0.03117,0.19271,0.02491,0.09115,0.01736,0.54167,0.02974,0.56424,0.02852,0.17361,0.02087,0.06250,0.01396,0.54688,0.01491,0.02765,0.00246,0.19292,0.00277,0.22618,0.04084
v4_composition_rules,1,192,0.67969,0.02675,0.18750,0.02524,0.10503,0.01920,0.53125,0.02840,0.55903,0.02944,0.17014,0.02171,0.06858,0.01511,0.54572,0.01496,0.02764,0.00249,0.19393,0.00272,0.21585,0.04581
v4_composition_rules,2,192,0.72049,0.02507,0.19618,0.02376,0.09115,0.01668,0.50608,0.02580,0.54601,0.03082,0.17448,0.02215,0.06510,0.01383,0.54690,0.01494,0.02738,0.00245,0.19262,0.00274,0.25801,0.03731
v4_composition_rules,3,192,0.71181,0.02782,0.17188,0.02183,0.08507,0.01706,0.50608,0.03093,0.55990,0.02896,0.17188,0.02325,0.06684,0.01469,0.54644,0.01493,0.02770,0.00246,0.19245,0.00275,0.28099,0.04629
v4_composition_rules,4,192,0.69271,0.02758,0.17969,0.02399,0.09288,0.01594,0.55729,0.02789,0.56163,0.02848,0.17014,0.02275,0.06858,0.01511,0.54637,0.01495,0.02760,0.00247,0.19304,0.00268,0.24717,0.04149
v4_composition_rules,5,192,0.67969,0.02728,0.18316,0.02479,0.10156,0.01770,0.53385,0.02920,0.56771,0.02805,0.16753,0.02282,0.07031,0.01436,0.54686,0.01486,0.02757,0.00245,0.19255,0.00276,0.22356,0.04370
v4_composition_rules,6,192,0.69705,0.02579,0.19792,0.02549,0.09549,0.01907,0.52951,0.02632,0.57205,0.03160,0.15104,0.02049,0.06684,0.01428,0.54617,0.01493,0.02764,0.00246,0.19270,0.00268,0.23586,0.04072
v4_composition_rules,7,192,0.69878,0.02664,0.16319,0.02338,0.09896,0.01840,0.51997,0.02956,0.56163,0.02701,0.15799,0.01956,0.06424,0.01293,0.54707,0.01486,0.02765,0.00246,0.19344,0.00277,0.27064,0.04237
v4_composition_rules,8,192,0.70226,0.02497,0.18056,0.02318,0.09722,0.01762,0.54340,0.02859,0.59375,0.02851,0.15104,0.02091,0.07639,0.01597,0.54632,0.01487,0.02751,0.00248,0.19256,0.00279,0.25609,0.04141
v4_composition_rules,9,192,0.67708,0.03009,0.16406,0.02282,0.10677,0.01855,0.52778,0.02796,0.57031,0.02968,0.17969,0.02143,0.06597,0.01447,0.54671,0.01500,0.02767,0.00247,0.19283,0.00273,0.23473,0.04351
