ablation,seed,rows,success,ci95_success,safety_violation,ci95_safety_violation,damage,ci95_damage,fault_f1,ci95_fault_f1,interaction_f1,ci95_interaction_f1,missed_fault,ci95_missed_fault,false_isolation,ci95_false_isolation,recovery_latency,ci95_recovery_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
bayesian_fusion_only,0,192,0.60764,0.02750,0.21701,0.02544,0.13715,0.02158,0.48264,0.02620,0.42882,0.02659,0.23611,0.02733,0.09462,0.01715,0.68409,0.01498,0.03779,0.00254,0.28329,0.00470,0.03632,0.04316
bayesian_fusion_only,1,192,0.57292,0.02911,0.19618,0.02276,0.12674,0.02011,0.45399,0.02947,0.40799,0.02769,0.21354,0.02441,0.12066,0.01887,0.68358,0.01493,0.03794,0.00253,0.28405,0.00470,0.03323,0.04338
bayesian_fusion_only,2,192,0.61024,0.02787,0.19618,0.02364,0.13281,0.02205,0.45573,0.02902,0.40278,0.02918,0.21701,0.02292,0.11458,0.01924,0.68297,0.01489,0.03789,0.00256,0.28304,0.00474,0.06610,0.04032
bayesian_fusion_only,3,192,0.60764,0.02844,0.22049,0.02364,0.11111,0.01762,0.49740,0.02930,0.40625,0.02881,0.22135,0.02497,0.11111,0.01795,0.68424,0.01487,0.03779,0.00252,0.28302,0.00471,0.05436,0.04286
bayesian_fusion_only,4,192,0.57465,0.02852,0.21615,0.02519,0.12500,0.02117,0.48872,0.03062,0.39497,0.02807,0.20920,0.02439,0.09983,0.01724,0.68362,0.01502,0.03776,0.00254,0.28322,0.00460,0.02114,0.04611
bayesian_fusion_only,5,192,0.59462,0.03206,0.18576,0.02154,0.12587,0.01956,0.47656,0.03215,0.40191,0.02847,0.23090,0.02445,0.11458,0.01799,0.68358,0.01487,0.03802,0.00252,0.28392,0.00472,0.06314,0.04737
bayesian_fusion_only,6,192,0.57812,0.02864,0.21267,0.02474,0.14410,0.02093,0.47396,0.02961,0.42708,0.02911,0.23611,0.02228,0.11372,0.01866,0.68368,0.01489,0.03792,0.00256,0.28311,0.00470,0.00127,0.04592
bayesian_fusion_only,7,192,0.59635,0.02712,0.21528,0.02641,0.13368,0.01903,0.48351,0.02703,0.43056,0.02888,0.23958,0.02757,0.11111,0.01889,0.68411,0.01488,0.03763,0.00254,0.28373,0.00473,0.02476,0.04466
bayesian_fusion_only,8,192,0.59288,0.02882,0.19184,0.02380,0.10677,0.01774,0.50521,0.02993,0.42187,0.02894,0.20573,0.02354,0.10330,0.01767,0.68361,0.01490,0.03777,0.00255,0.28292,0.00479,0.08077,0.04608
bayesian_fusion_only,9,192,0.60069,0.02964,0.19792,0.02359,0.13194,0.02128,0.48698,0.02728,0.42448,0.02738,0.24045,0.02538,0.13628,0.01904,0.68295,0.01488,0.03790,0.00255,0.28290,0.00469,0.04315,0.04578
