stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6729,0.0154
0.0,conformal_risk_filter,0.7167,0.0103
0.0,proposed_branch_mechanism,0.7617,0.0118
0.0,oracle_branch_upper_bound,0.8100,0.0086
0.2,scalar_uncertainty_planner,0.6129,0.0148
0.2,conformal_risk_filter,0.6729,0.0136
0.2,proposed_branch_mechanism,0.7290,0.0098
0.2,oracle_branch_upper_bound,0.7907,0.0089
0.4,scalar_uncertainty_planner,0.5540,0.0179
0.4,conformal_risk_filter,0.6298,0.0147
0.4,proposed_branch_mechanism,0.6988,0.0123
0.4,oracle_branch_upper_bound,0.7717,0.0071
0.6,scalar_uncertainty_planner,0.5026,0.0141
0.6,conformal_risk_filter,0.5798,0.0151
0.6,proposed_branch_mechanism,0.6674,0.0148
0.6,oracle_branch_upper_bound,0.7495,0.0079
0.8,scalar_uncertainty_planner,0.4452,0.0169
0.8,conformal_risk_filter,0.5281,0.0132
0.8,proposed_branch_mechanism,0.6355,0.0170
0.8,oracle_branch_upper_bound,0.7302,0.0062
1.0,scalar_uncertainty_planner,0.3883,0.0152
1.0,conformal_risk_filter,0.4807,0.0108
1.0,proposed_branch_mechanism,0.6083,0.0155
1.0,oracle_branch_upper_bound,0.7050,0.0090
